"Microtus_arvalis"	"Apodemus_agrarius"	"Clethrionomys_glareolus"	"Apodemus_uralensis"	"Cricetulus_migratorius"	"Sorex_araneus"	"Apodemus_flavicollis"	"Arvicola_terrestris"	"Micromys_minutus"	"Ctenophthalmus_assimilis"	"Leptopsylla_taschenbergi"	"Ctenophthalmus_wagneri"	"Amphipsylla_rossica"	"Ctenophthalmus_agyrtes"	"Nosopsyllus_consimilis"	"Leptopsylla_segnis"	"Ctenophthalmus_orientalis"	"Hystrichopsylla_talpae"	"Peromyscopsylla_bidentata"	"Megabothris_turbidus"	"Nosopsyllus_mokrzeckyi"	"Palaeopsylla_soricis"	"Megabothris_walkeri"	"Doratopsylla_dasycnema"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0.0887323943661972	0.0126760563380282	0.164788732394366	0.183802816901408	0.0126760563380282	0.0823943661971831	0.120422535211268	0.114084507042254	0.0253521126760563	0.0190140845070423	0.00633802816901408	0.0443661971830986	0.00633802816901408	0.0190140845070423	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0.218691588785047	0.445794392523365	0.0504672897196262	0	0.0252336448598131	0.0168224299065421	0.00841121495327103	0.0252336448598131	0.0672897196261682	0	0.0252336448598131	0.00841121495327103	0	0.00841121495327103	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0.342	0	0	0	0.27	0	0	0.018	0.072	0.09	0.09	0	0.018	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0.0931034482758621	0.0620689655172414	0	0.186206896551724	0.217241379310345	0.0931034482758621	0.0310344827586207	0.0620689655172414	0.0620689655172414	0.0310344827586207	0	0.0620689655172414	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0.1125	0.1125	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0.1125	0.1125	0	0	0.1125	0	0	0	0	0.1125	0	0	0.225	0.1125	0.1125
"Apodemus_flavicollis"	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.203225806451613	0.37741935483871	0.275806451612903	0	0	0.0145161290322581	0.0145161290322581	0.0145161290322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0.03	0.795	0	0.045	0	0.015	0	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_wagneri"	0.688235294117647	0.158823529411765	0	0.0529411764705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_agyrtes"	0.0620689655172414	0.0931034482758621	0.46551724137931	0.186206896551724	0	0.0310344827586207	0.0620689655172414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.417857142857143	0.0642857142857143	0	0.225	0.192857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_segnis"	0.684	0.036	0	0.108	0.036	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_orientalis"	0.675	0.1125	0.0375	0.0375	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.2	0.4	0.2	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.245454545454545	0	0.409090909090909	0.163636363636364	0	0.0818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.09	0.27	0.45	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_mokrzeckyi"	0.7875	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.15	0	0.15	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0.54	0.18	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doratopsylla_dasycnema"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
