"Apodemus_flavicollis"	"Clethrionomys_glareolus"	"Apodemus_agrarius"	"Microtus_arvalis"	"Apodemus_uralensis"	"Sorex_araneus"	"Microtus_subterraneus"	"Neomys_fodiens"	"Crocidura_leucodon"	"Apodemus_sylvaticus"	"Arvicola_terrestris"	"Talpa_europaea"	"Neomys_anomalus"	"Sorex_alpinus"	"Micromys_minutus"	"Myoxus_glis"	"Muscardinus_avellanarius"	"Ctenophthalmus_agyrtes"	"Megabothris_turbidus"	"Ctenophthalmus_assimilis"	"Amalaraeus_penicilliger"	"Palaeopsylla_soricis"	"Peromyscopsylla_bidentata"	"Doratopsylla_dasycnema"	"Ctenophthalmus_solutus"	"Hystrichopsylla_orientalis"	"Rhadinopsylla_integella"	"Ctenophthalmus_uncinatus"	"Rhadinopsylla_pentacantha"	"Atyphloceras_nuperus"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_bisoctodentatus"	"Peromyscopsylla_silvatica"	"Amalaraeus_arvicolae"	"Rhadinopsylla_isacantha"	"Amphipsylla_rossica"	"Ctenophthalmus_obtusus"	"Palaeopsylla_kohauti"
"Apodemus_flavicollis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.580529461998292	0.180102476515798	0.0781383432963279	0	0.00307429547395389	0.00128095644748079	0	0.032536293766012	0.0122971818958155	0.0035866780529462	0.00435525192143467	0.000768573868488471	0	0.00333048676345004	0	0	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411910337905654	0.172833723653396	0.0451656072264972	0.178253596520575	0	0.0460689193710271	0	0	0	0.0207761793241887	0	0.00812980930076949	0.00812980930076949	0.000903312144529943	0	0.00451656072264972	0	0.00210772833723653	0.00120441619270659	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.505804749340369	0.189023746701847	0.153878627968338	0	0.0113984168865435	0.00427440633245383	0	0.00379947229551451	0.0299208443271768	0.000949868073878628	0.000949868073878628	0	0	0	0	0	0	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169879518072289	0.128313253012048	0.561144578313253	0.0171686746987952	0.00271084337349398	0.0153614457831325	0	0	0.0036144578313253	0	0	0	0	0	0	0	0	0	0.00180722891566265	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50625	0.159051724137931	0.230818965517241	0	0	0	0	0	0.00387931034482759	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122082018927445	0.0113564668769716	0.0482649842271293	0	0.482649842271293	0	0.218611987381703	0	0	0	0	0	0	0	0.0113564668769716	0	0	0	0	0	0.0056782334384858
"Microtus_subterraneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380769230769231	0.075	0.138461538461538	0.0519230769230769	0.1875	0.0115384615384615	0	0	0	0	0	0.0173076923076923	0	0	0	0	0.0375	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0743119266055046	0.0330275229357798	0.0330275229357798	0	0.123853211009174	0	0.619266055045872	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0165137614678899
"Crocidura_leucodon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0463917525773196	0	0.0278350515463918	0	0	0	0	0.120618556701031	0.0649484536082474	0	0.565979381443299	0	0	0	0.0278350515463918	0	0	0	0	0.0463917525773196	0
"Apodemus_sylvaticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.519718309859155	0.304225352112676	0.076056338028169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663934426229508	0.0737704918032787	0.162295081967213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Talpa_europaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385714285714286	0	0.257142857142857	0	0	0	0	0	0	0	0	0	0	0	0.257142857142857	0	0	0	0	0	0
"Neomys_anomalus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_alpinus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myoxus_glis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0	0	0.54	0	0	0	0	0	0	0
"Muscardinus_avellanarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Ctenophthalmus_agyrtes"	0.374683079184273	0.226198787433401	0.176097740216792	0.0310857982730112	0.0431563476024251	0.00711004960499725	0.0218261987874334	0.001488149917325	0.000826749954069447	0.00677934962336947	0.00744074958662502	0.00198419988976667	0	0.00132279992651112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.32067916877851	0.261834769386721	0.181550937658388	0.0647744551444501	0.0374049670552458	0.00182463253928028	0.0118601115053218	0.00182463253928028	0	0.0109477952356817	0.00228079067410035	0	0.00182463253928028	0	0.0031931069437405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.169444444444444	0.0833333333333333	0.18	0.345	0.0661111111111111	0.00944444444444444	0.0266666666666667	0.00222222222222222	0.00166666666666667	0.00333333333333333	0.00611111111111111	0.00444444444444444	0.00111111111111111	0	0	0.00111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0	0.847058823529412	0	0.0271860095389507	0	0	0.0257551669316375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.0368600682593857	0	0.0737201365187713	0.00921501706484642	0	0.522184300341297	0.199658703071672	0.0460750853242321	0	0	0	0	0	0.0122866894197952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.023936170212766	0.732446808510638	0.0430851063829787	0.0813829787234043	0	0	0.0191489361702128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doratopsylla_dasycnema"	0	0	0	0	0	0.422560975609756	0	0.411585365853659	0	0	0	0	0.0658536585365854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_solutus"	0.772297297297297	0	0.0486486486486487	0	0	0	0	0	0.0790540540540541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
