"Nephrosperma_vanhoutteanum"	"Deckenia_nobilis"	"Diospyros_seychellarum"	"Phoenicophorium_borsigianum"	"Premna_serratifolia"	"Canthium_bibracteatum"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Apis_mellifera"	"Lasioglossum_mahense"	"Megachile_seychellensis"	"Rhiparida_seychellensis"	"Unidentified_sp2_M_PL_089"	"Hemipyrellia_germana"	"Rhynchium_brunneum"	"Unidentified_sp4_M_PL_089"	"Nectarinia_dussumieri"	"Ceratina_tabescens"	"Lygistorrhina_sp1_M_PL_089"	"Unidentified_sp5_M_PL_089"	"Dichaetomyia_fasciculifera"	"Neophyllomyza_approximatonervis"	"Mabuya_sechellensis"	"Phelsuma_sp1_M_PL_089"	"Chalcidoma_disjunctum"	"Cratopus_aurostriatus"	"Eagris_sabadius"	"Ornidia_obesa"	"Polistes_olivaceus"	"Unidentified_sp1_M_PL_089"	"Unidentified_sp3_M_PL_089"	"Unidentified_sp6_M_PL_089"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0.294059405940594	0.302970297029703	0.0267326732673267	0.0801980198019802	0.115841584158416	0	0	0.0178217821782178	0	0	0.0356435643564356	0	0	0.0178217821782178	0	0	0	0	0	0	0	0	0.00891089108910891	0
"Deckenia_nobilis"	0	0	0	0	0	0	0	0	0	0	0	0.568421052631579	0.118421052631579	0	0	0	0.0947368421052632	0	0	0	0	0	0.0947368421052632	0	0	0	0	0	0	0	0	0.0236842105263158	0	0	0
"Diospyros_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0.639473684210526	0.0710526315789474	0.0947368421052632	0.0473684210526316	0	0	0.0473684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.291891891891892	0.340540540540541	0	0.0486486486486487	0	0.0243243243243243	0	0.121621621621622	0	0	0	0	0.0486486486486487	0	0	0	0	0.0243243243243243	0	0	0	0	0	0
"Premna_serratifolia"	0	0	0	0	0	0	0	0	0	0	0	0.28125	0.196875	0.05625	0	0	0.084375	0.253125	0	0	0	0	0	0	0.028125	0	0	0	0	0	0	0	0	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0	0	0	0	0.311538461538462	0.0346153846153846	0.346153846153846	0	0	0.0346153846153846	0	0	0	0.173076923076923	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0	0.623076923076923	0	0.0692307692307692	0	0	0	0	0	0.138461538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.207692307692308	0	0	0	0	0.0692307692307692	0	0	0.276923076923077	0	0	0	0	0	0.138461538461538	0.138461538461538	0	0	0.0692307692307692	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.1	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.3375	0.225	0.1125	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0.1125	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0
"Apis_mellifera"	0.218382352941176	0.158823529411765	0.178676470588235	0.0794117647058824	0.0661764705882353	0.0595588235294118	0.0595588235294118	0.0198529411764706	0.0330882352941176	0.0198529411764706	0.00661764705882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.463636363636364	0.0681818181818182	0.0409090909090909	0.190909090909091	0.0954545454545455	0.0136363636363636	0	0	0	0.0272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0.128571428571429	0	0.171428571428571	0	0.0857142857142857	0.428571428571429	0.0428571428571429	0	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
