"Apodemus_flavicollis"	"Clethrionomys_glareolus"	"Apodemus_sylvaticus"	"Microtus_agrestis"	"Neomys_fodiens"	"Sorex_araneus"	"Ctenophthalmus_agyrtes"	"Palaeopsylla_soricis"	"Nosopsyllus_fasciatus"	"Megabothris_turbidus"	"Peromyscopsylla_silvatica"	"Doratopsylla_dasycnema"	"Ctenophthalmus_uncinatus"	"Hystrichopsylla_talpae"	"Leptopsylla_segnis"	"Amalaraeus_penicilliger"	"Rhadinopsylla_integella"
"Apodemus_flavicollis"	0	0	0	0	0	0	0.688732394366197	0.0126760563380282	0.0802816901408451	0.0802816901408451	0.00845070422535211	0.0169014084507042	0	0	0.0126760563380282	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0.428275862068966	0.0248275862068966	0	0.0806896551724138	0.192413793103448	0	0.111724137931034	0.0372413793103448	0	0.0124137931034483	0.0124137931034483
"Apodemus_sylvaticus"	0	0	0	0	0	0	0.572727272727273	0.0163636363636364	0.278181818181818	0.0163636363636364	0	0	0	0.0163636363636364	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0.779268292682927	0	0	0.0439024390243902	0.0548780487804878	0.0219512195121951	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0.128571428571429	0.716326530612245	0	0	0	0.0551020408163265	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0.6	0	0	0	0.3	0	0	0	0	0
"Ctenophthalmus_agyrtes"	0.386052631578947	0.163421052631579	0.165789473684211	0.168157894736842	0.0165789473684211	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.0375	0.05	0.025	0	0.4875	0.3	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_fasciatus"	0.322641509433962	0	0.577358490566038	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.45	0.307894736842105	0.0473684210526316	0.0947368421052632	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0.0473684210526316	0.734210526315789	0	0.118421052631579	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doratopsylla_dasycnema"	0.171428571428571	0	0	0.0857142857142857	0.128571428571429	0.514285714285714	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_uncinatus"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0	0.675	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_segnis"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
