"Cornus_canadensis"	"Maianthemum_canadense"	"Oxalis_montana"	"Chimaphila_umbellata"	"Aralia_nudicaulis"	"Linnaea_borealis"	"Clintonia_borealis"	"Cypripedium_acaule"	"Pyrola_secunda"	"Trillium_undulatum"	"Trientalis_borealis"	"Medeola_virginiana"	"Eusphalerum_sp1_M_PL_004"	"Paramyia_nitens"	"Parasyrphus_relictus"	"Dialictus_sp1_M_PL_004"	"Bombus_vagans"	"Eusphalerum_phothos"	"Bombus_terricola"	"Evylaeus_quebecensis"	"Blera_confusa"	"Xylota_bigelowi"	"Pidonia_ruficolis"	"Andrena_w.scripta"	"Dialictus_cressoni"	"Eusphalerum_convexum"	"Bombylius_major"	"Bombus_perplexus"	"Carposcalis_confusus"	"Hylaeus_ellipticus"	"Sphaerophoria_bifurcata"	"Anthaxia_expansa"	"Eclimus_harrisi"	"Tropidia_quadrata"	"Andrena_melanochroa"	"Andrena_miranda"	"Bombus_ternarius"	"Orthoneura_pulchella"	"Osmia_proxima"	"Phaonia_serva"	"Sphaerophoria_sp1_M_PL_004"	"Temnostoma_balyras"	"Tychius_stephensi"	"Xylota_hinei"	"Agiotes_stabilis"	"Ancistrocerus_sp1_M_PL_004"	"Andrena_nivalis"	"Andrena_rufosignata"	"Celastrina_argiolus"	"Chalcosyrphus_nigra"	"Cheilosia_pallipes"	"Cheilosia_sialia"	"Crabro_sp1_M_PL_004"	"Dialictus_imitatus"	"Evylaeus_divergens"	"Fannia_ungulata"	"Halictus_rubicundus"	"Mallota_posticata"	"Melagyna_lasiophthalma"	"Melanostoma_sp1_M_PL_004"	"Sarcophaga_nearctica"	"Sphecodes_sp1_M_PL_004"	"Temnostoma_barberi"	"Zeraea_americana"	"Acmaeopsoides_rufula"	"Andrena_sigmundi"	"Andrena_thaspii"	"Andrena_wheeleri"	"Andrena_wilkella"	"Anthonomus_sp1_M_PL_004"	"Blera_badia"	"Blera_nigripes"	"Bombylius_pigmaeus"	"Cantharis_sp1_M_PL_004"	"Carposcalis_obscura"	"Cateres_pennatus"	"Chalcosyrphus_curvarius"	"Chalcosyrphus_inarmatus"	"Chalcosyrphus_memorum"	"Cheilosia_slossonae"	"Cheilosia_tristis"	"Dalopius_sp1_M_PL_004"	"Ephemerella_sp1_M_PL_004"	"Eremomyioides_setosa"	"Eudasyphora_cyanicolor"	"Eupyses_vestris"	"Evodinus_monticola"	"Halictus_confusus"	"Hoplitis_producta"	"Hylaeus_basalis"	"Hylaeus_stevensi"	"Judolia_montivagans"	"Lygus_refidorsus"	"Nomada_cuneata"	"Nomada_sayi"	"Orsodacne_atra"	"Osmia_lignaria"	"Osmia_pumila"	"Passaloecus_sp1_M_PL_004"	"Pegohylemyia_fugax"	"Phalaenophana_pyramusalis"	"Pieris_napi"	"Poanes_hobomok"	"Psithyrus_sp1_M_PL_004"	"Pyrophaena_rosarum"	"Rhopalum_sp1_M_PL_004"	"Sphaerophoria_longipilosa"	"Syritta_pipiens"	"Syritta_rectus"	"Temnostoma_alternans"	"Thamnotettix_confinis"	"Trachysida_aspera"	"Vespula_arenaria"	"Xylota_sp1_M_PL_004"
"Cornus_canadensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00538922155688623	0.0377245508982036	0.0916167664670659	0.0916167664670659	0.00538922155688623	0.0215568862275449	0.0377245508982036	0.0538922155688623	0.0538922155688623	0.0431137724550898	0.0377245508982036	0	0	0.0215568862275449	0.0107784431137725	0	0	0.00538922155688623	0.0161676646706587	0.00538922155688623	0.0107784431137725	0.0161676646706587	0.0107784431137725	0.00538922155688623	0.0107784431137725	0.0107784431137725	0.00538922155688623	0	0.0161676646706587	0.0161676646706587	0.0107784431137725	0	0.0107784431137725	0.00538922155688623	0.0107784431137725	0.0107784431137725	0.0107784431137725	0	0.0107784431137725	0.00538922155688623	0	0.00538922155688623	0	0	0.00538922155688623	0	0	0.00538922155688623	0.0107784431137725	0.0107784431137725	0.00538922155688623	0.00538922155688623	0.00538922155688623	0.00538922155688623	0	0	0.00538922155688623	0.00538922155688623	0.00538922155688623	0	0.00538922155688623	0	0	0.00538922155688623	0.00538922155688623	0.00538922155688623	0	0	0.00538922155688623	0	0	0.00538922155688623	0	0.00538922155688623	0.00538922155688623	0	0.00538922155688623	0	0.00538922155688623	0.00538922155688623	0	0.00538922155688623	0.00538922155688623	0	0	0	0	0	0.00538922155688623	0	0.00538922155688623	0	0	0.00538922155688623	0.00538922155688623	0.00538922155688623	0.00538922155688623	0	0	0	0.00538922155688623
"Maianthemum_canadense"	0	0	0	0	0	0	0	0	0	0	0	0	0.0105882352941176	0	0.434117647058824	0.148235294117647	0.0105882352941176	0	0	0.0105882352941176	0	0	0	0	0.0317647058823529	0	0.0317647058823529	0	0.0105882352941176	0	0.0105882352941176	0	0	0.0211764705882353	0	0.0105882352941176	0	0.0105882352941176	0	0	0.0105882352941176	0	0	0.0105882352941176	0.0211764705882353	0	0.0105882352941176	0	0	0	0	0	0	0	0.0105882352941176	0	0.0105882352941176	0	0.0105882352941176	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105882352941176	0	0	0	0	0	0	0.0105882352941176	0	0	0	0.0105882352941176	0	0	0	0	0	0	0	0	0	0.0105882352941176	0	0	0	0	0	0.0105882352941176	0.0105882352941176	0	0	0	0	0	0	0	0	0	0.0105882352941176	0	0	0
"Oxalis_montana"	0	0	0	0	0	0	0	0	0	0	0	0	0.711111111111111	0	0	0.0111111111111111	0	0.122222222222222	0	0	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222222222222	0	0	0	0	0	0	0	0	0.0222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chimaphila_umbellata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.784285714285714	0	0	0.0642857142857143	0	0.0514285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aralia_nudicaulis"	0	0	0	0	0	0	0	0	0	0	0	0	0.422727272727273	0	0	0.0136363636363636	0.109090909090909	0.0272727272727273	0.0272727272727273	0.0136363636363636	0	0	0	0.0136363636363636	0.0409090909090909	0.0954545454545455	0	0.0409090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136363636363636	0	0	0.0136363636363636	0.0136363636363636	0	0	0	0	0	0	0	0	0	0.0136363636363636	0	0	0	0	0	0	0	0.0136363636363636	0	0	0	0	0.0136363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136363636363636	0	0
"Linnaea_borealis"	0	0	0	0	0	0	0	0	0	0	0	0	0.0486486486486487	0	0	0.145945945945946	0.0243243243243243	0	0	0.072972972972973	0	0	0	0	0.0243243243243243	0	0	0	0.0243243243243243	0.121621621621622	0.0243243243243243	0	0.072972972972973	0	0	0	0	0	0.0243243243243243	0.0486486486486487	0.0243243243243243	0	0	0	0	0	0	0	0	0	0	0	0.0243243243243243	0	0	0.0486486486486487	0	0	0.0243243243243243	0	0	0	0	0.0243243243243243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243243243243243	0	0	0	0	0.0243243243243243	0	0	0	0	0	0	0.0243243243243243	0.0243243243243243	0	0	0	0	0	0.0243243243243243	0	0	0	0	0	0	0	0	0
"Clintonia_borealis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.0375	0.225	0	0.1125	0	0	0	0.0375	0	0.0375	0	0	0	0.0375	0	0	0	0	0	0	0	0.075	0	0	0	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0	0.0375	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0.0375	0	0	0.0375	0	0	0	0	0	0	0	0
"Cypripedium_acaule"	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pyrola_secunda"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0
"Trillium_undulatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
