"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Syzygium_wrightii"	"Dillenia_ferruginea"	"Chrysobalanus_icaco"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Dracaena_reflexa"	"Paragenipa_wrightii"	"Northea_hornei"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_120"	"Unidentified_sp2_M_PL_120"	"Unidentified_sp4_M_PL_120"	"Neophyllomyza_approximatonervis"	"Xylocopa_caffra"	"Dichaetomyia_fasciculifera"	"Ornidia_obesa"	"Lygistorrhina_sp1_M_PL_120"	"Eagris_sabadius"	"Hemipyrellia_germana"	"Unidentified_sp3_M_PL_120"	"Cratopus_aurostriatus"	"Megachile_seychellensis"	"Rhynchium_brunneum"	"Scaptodrosophila_sp1_M_PL_120"	"Unidentified_sp1_M_PL_120"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0.356603773584906	0.322641509433962	0	0.0339622641509434	0.135849056603774	0	0	0	0.0339622641509434	0	0	0	0	0	0	0.0169811320754717	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.174193548387097	0.290322580645161	0	0.0580645161290323	0	0.261290322580645	0	0	0	0	0.0870967741935484	0	0	0	0.0290322580645161	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.482142857142857	0.353571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0321428571428571	0.0321428571428571	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.075	0.15	0	0	0	0	0.225	0	0.0375	0	0.075	0.0375	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.765	0.09	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0	0	0	0	0.582352941176471	0	0.158823529411765	0	0	0	0	0	0	0.158823529411765	0	0	0	0	0	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0.18	0.09	0	0	0.09	0	0.27	0	0	0	0	0	0	0.18	0	0	0	0	0.09
"Dracaena_reflexa"	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0	0.771428571428571	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
