"Diplopterys_pubipetala"	"Byrsonima_gardnerana"	"Banisteriopsis_muricata"	"Heteropterys_sp1_M_PL_059"	"Heteropterys_sp2_M_PL_059"	"Dicella_bracteosa"	"Carolus_chasei"	"Stigmaphyllon_paralias"	"Banisteriopsis_stellaris"	"Banisteriopsis_schizoptera"	"Stigmaphyllon_auriculatum"	"Stigmaphyllon_ciliatum"	"Janusia_anisandra"	"Centris_aenea"	"Centris_fuscata"	"Centris_caxiensis"	"Centris_tarsata"	"Centris_flavifrons"	"Centris_trigonoides"	"Centris_obsoleta"	"Epicharis_sp1_M_PL_059"	"Apis_mellifera"	"Centris_sp1_M_PL_059"	"Centris_sp2_M_PL_059"	"Xylocopa_sp1_M_PL_059"	"Xylocopa_grisescens"
"Diplopterys_pubipetala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217372881355932	0.216737288135593	0.117584745762712	0.0730932203389831	0.0661016949152542	0.0406779661016949	0	0.0521186440677966	0.0578389830508475	0.0584745762711864	0	0	0
"Byrsonima_gardnerana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201453488372093	0.0697674418604651	0.459593023255814	0.101162790697674	0.0619186046511628	0	0	0	0.0061046511627907	0	0	0	0
"Banisteriopsis_muricata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0897280966767372	0.106042296072508	0.0244712990936556	0.0317220543806647	0.061631419939577	0.14773413897281	0.206646525679758	0.0824773413897281	0.00996978851963746	0	0.0833836858006042	0.0371601208459214	0.0190332326283988
"Heteropterys_sp1_M_PL_059"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222668393782383	0.198186528497409	0.153886010362694	0.0897668393782383	0.117746113989637	0.0874352331606218	0	0.00816062176165803	0	0	0	0.0221502590673575	0
"Heteropterys_sp2_M_PL_059"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236842105263158	0.209957325746799	0.168990042674253	0.106258890469417	0	0.103698435277383	0	0.037126600284495	0.037126600284495	0	0	0	0
"Dicella_bracteosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240576923076923	0.221538461538462	0.154038461538462	0.0571153846153846	0.226730769230769	0	0	0	0	0	0	0	0
"Carolus_chasei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322037914691943	0.240995260663507	0.230331753554502	0.106635071090047	0	0	0	0	0	0	0	0	0
"Stigmaphyllon_paralias"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343636363636364	0.556363636363636	0	0	0	0	0	0	0	0	0	0	0
"Banisteriopsis_stellaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276050420168067	0.283613445378151	0.230672268907563	0.109663865546218	0	0	0	0	0	0	0	0	0
"Banisteriopsis_schizoptera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294827586206897	0.289655172413793	0.160344827586207	0.155172413793103	0	0	0	0	0	0	0	0	0
