"Microtus_arvalis"	"Dryomys_nitedula"	"Arvicola_terrestris"	"Neomys_schelkovnikovi"	"Ctenophthalmus_wladimiri"	"Ceratophyllus_sciurorum"	"Amphipsylla_rossica"	"Frontopsylla_elata"	"Megabothris_walkeri"	"Ctenophthalmus_bogatschevi"	"Neopsylla_pleskei"	"Nosopsyllus_consimilis"	"Hystrichopsylla_talpae"	"Palaeopsylla_soricis"	"Callopsylla_caspia"	"Leptopsylla_taschenbergi"	"Peromyscopsylla_bidentata"	"Rhadinopsylla_integella"	"Stenoponia_ivanovi"
"Microtus_arvalis"	0	0	0	0	0.482926829268293	0	0.214024390243902	0.0768292682926829	0	0.0384146341463415	0.0329268292682927	0.0219512195121951	0.0109756097560976	0	0.00548780487804878	0	0.00548780487804878	0.00548780487804878	0.00548780487804878
"Dryomys_nitedula"	0	0	0	0	0	0.886764705882353	0	0	0	0	0	0	0	0	0	0.0132352941176471	0	0	0
"Arvicola_terrestris"	0	0	0	0	0.18	0	0	0.12	0.54	0	0	0.06	0	0	0	0	0	0	0
"Neomys_schelkovnikovi"	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0.6	0	0	0	0	0
"Ctenophthalmus_wladimiri"	0.87032967032967	0	0.0296703296703297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_sciurorum"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0.7875	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_bogatschevi"	0.7875	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.72	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_ivanovi"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
