"Clethrionomys_centralis"	"Alticola_argentatus"	"Microtus_gregalis"	"Sicista_tianshanica"	"Sorex_minutus"	"Sorex_asper"	"Apodemus_uralensis"	"Amalaraeus_penicilliger"	"Amphipsylla_primaris"	"Paraneopsylla_ioffi"	"Corrodopsylla_birulai"	"Frontopsylla_ornata"	"Amphipsylla_kuznetzovi"	"Neopsylla_mana"	"Rhadinopsylla_dahurica"	"Frontopsylla_elata"	"Amphipsylla_sibirica"	"Stenoponia_suknevi"	"Rhadinopsylla_angusta"	"Pectinoctenus_nemorosa"	"Palaeopsylla_soricis"	"Callopsylla_caspia"	"Ctenophthalmus_assimilis"
"Clethrionomys_centralis"	0	0	0	0	0	0	0	0.645337620578778	0.147588424437299	0.0188102893890675	0.00868167202572347	0.0122990353697749	0.00144694533762058	0.032556270096463	0.022427652733119	0.00144694533762058	0.00217041800643087	0.000723472668810289	0.00361736334405145	0.000723472668810289	0.000723472668810289	0.00144694533762058	0
"Alticola_argentatus"	0	0	0	0	0	0	0	0.163504823151125	0.409485530546624	0.27491961414791	0.00868167202572347	0.00144694533762058	0.00144694533762058	0.0115755627009646	0.0202572347266881	0.00289389067524116	0	0.00289389067524116	0.00144694533762058	0.00144694533762058	0	0	0
"Microtus_gregalis"	0	0	0	0	0	0	0	0.122727272727273	0.0116883116883117	0	0.0233766233766234	0.0525974025974026	0.420779220779221	0.111038961038961	0.0116883116883117	0.0584415584415584	0	0.0584415584415584	0.0175324675324675	0	0	0	0.0116883116883117
"Sicista_tianshanica"	0	0	0	0	0	0	0	0.0926470588235294	0	0	0.105882352941176	0.635294117647059	0.0264705882352941	0	0	0.0397058823529412	0	0	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0.0661764705882353	0.0132352941176471	0	0.741176470588235	0.0529411764705882	0	0	0	0	0	0	0	0	0.0264705882352941	0	0
"Sorex_asper"	0	0	0	0	0	0	0	0.0157894736842105	0	0.0157894736842105	0.663157894736842	0.142105263157895	0.0157894736842105	0.0315789473684211	0	0	0	0	0.0157894736842105	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0.225	0	0	0
"Amalaraeus_penicilliger"	0.772666025024062	0.0978825794032724	0.0181905678537055	0.00606352261790183	0.00433108758421559	0.000866217516843118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_primaris"	0.37469387755102	0.519795918367347	0.0036734693877551	0	0.00183673469387755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paraneopsylla_ioffi"	0.107834101382488	0.788018433179724	0	0	0	0.00414746543778802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.084375	0.0421875	0.028125	0.05625	0.39375	0.2953125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_ornata"	0.173863636363636	0.0102272727272727	0.0920454545454546	0.490909090909091	0.0409090909090909	0.0920454545454546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_kuznetzovi"	0.0230769230769231	0.0115384615384615	0.830769230769231	0.0230769230769231	0	0.0115384615384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_mana"	0.547297297297297	0.0972972972972973	0.231081081081081	0	0	0.0243243243243243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_dahurica"	0.593617021276596	0.268085106382979	0.0382978723404255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0.105882352941176	0.105882352941176	0.529411764705882	0.158823529411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.18	0	0	0	0	0	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_suknevi"	0.0692307692307692	0.138461538461538	0.692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_angusta"	0.45	0.09	0.27	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_nemorosa"	0.15	0.15	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.3	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
