"Claytonia_virginica"	"Erythronium_umbilicatum"	"Stellaria_pubera"	"Thalictrum_thalictroides"	"Cardamine_angustata_angustata"	"Hepatica_americana"	"Sangiunaria_canadensis"	"Tiarella_cordifolia_collina"	"Aesculus_sylvatica"	"Viola_papilionacea"	"Uvularia_sessilifolia"	"Podophyllum_peltatum"	"Trillium_catesbei"	"Bombylius_major"	"Andrena_erigeniae"	"Andrena_nigrihirta"	"Andrena_tridens"	"Apis_mellifera"	"Nomada_sp1_M_PL_025"	"Bombus_bimaculatus"	"Gonia_sp1_M_PL_025"	"Halictid_sp1_M_PL_025"	"Dialictus_abanci"	"Hylema_platura"	"Osmia_conjucta"	"Nomada_perplexa"	"Andrena_carlini"	"Platycheirus_obscurus"	"Osmia_sp1_M_PL_025"	"Nomada_pygmaea"	"Andrena_nasonii"	"Evylaeus_macoupinensis"	"Osmia_lignaria"	"Augochlora_pura"	"Toxomerous_geminatus"	"Ceratina_calcarata"	"Dialictus_cressonii"	"Euchlo_creusa_lotta"	"Xylocopa_virginica_virginica"	"Osmia_atriventris"	"Andrena_violae"	"Bombus_pennsylvanicus"	"Ephemoropsis_laboriosa"	"Nomada_luteola"	"Andrena_arabis"	"Andrena_ziziaeformis"	"Augochorella_striata"	"Lycaenopsis_argiolus"	"Unidentified_sp1_M_PL_025"	"Andrena_ceanothi"	"Andrena_dunningi"	"Andrena_imatrix"	"Andrena_personata"	"Lassioglossum_fuscipenne"	"Nomada_bishopii"	"Nomada_sayi"	"Osmia_simillima"
"Claytonia_virginica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3762	0.3402	0.0117	0.0018	0.0036	0.0288	0	0.0333	0.0198	0.0063	0.0144	0.0063	0.0054	9e-04	0.009	0.0036	0.0072	0.0027	0.0036	0.0027	9e-04	0.0036	0.0027	0.0045	0.0045	9e-04	0	0	0	0	0	0	9e-04	9e-04	0.0018	0	9e-04	0	9e-04	0	0	0	0	0
"Erythronium_umbilicatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00414746543778802	0	0.566129032258065	0.149308755760369	0.107834101382488	0.00207373271889401	0	0	0	0.00622119815668203	0	0.00829493087557604	0.0165898617511521	0.00829493087557604	0	0.0145161290322581	0	0	0	0.00829493087557604	0.00207373271889401	0	0	0	0	0.00414746543778802	0	0	0	0	0	0	0	0.00207373271889401	0	0	0	0	0	0	0	0	0	0
"Stellaria_pubera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.479475982532751	0.0117903930131004	0.0235807860262009	0	0	0.17292576419214	0	0.0157205240174672	0	0.0117903930131004	0	0.0275109170305677	0.0157205240174672	0.00786026200873362	0.00393013100436681	0.0117903930131004	0.0196506550218341	0.0314410480349345	0	0	0.0117903930131004	0.0117903930131004	0.00786026200873362	0	0	0	0.0117903930131004	0	0	0	0.0117903930131004	0	0	0	0	0	0	0	0	0.00393013100436681	0	0.00393013100436681	0.00393013100436681	0
"Thalictrum_thalictroides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.726708074534162	0.00559006211180124	0	0	0	0.00559006211180124	0	0.0447204968944099	0.0503105590062112	0.0335403726708075	0	0	0	0	0.0111801242236025	0.00559006211180124	0	0	0.00559006211180124	0	0	0	0.0111801242236025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cardamine_angustata_angustata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.480405405405405	0.0121621621621622	0.0972972972972973	0.0243243243243243	0.0304054054054054	0.0121621621621622	0.0304054054054054	0.0121621621621622	0	0	0	0.00608108108108108	0.0121621621621622	0.0425675675675676	0.0243243243243243	0.00608108108108108	0.00608108108108108	0.0121621621621622	0	0.0121621621621622	0.0182432432432432	0	0	0	0.0121621621621622	0.00608108108108108	0	0	0.00608108108108108	0	0	0.0121621621621622	0	0	0	0.0121621621621622	0	0.00608108108108108	0	0	0.00608108108108108	0	0	0
"Hepatica_americana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.27	0.09	0.04	0.04	0.02	0.04	0.01	0.05	0.08	0	0	0.01	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sangiunaria_canadensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.382978723404255	0	0	0	0.402127659574468	0	0.0191489361702128	0	0	0	0	0	0	0.0382978723404255	0	0	0	0	0	0	0	0.0191489361702128	0	0.0191489361702128	0	0.0191489361702128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tiarella_cordifolia_collina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0.028125	0	0.50625	0	0	0	0	0.028125	0	0	0	0	0	0	0.028125	0	0	0	0	0.028125	0	0	0	0	0	0.05625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aesculus_sylvatica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.803571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0.0321428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viola_papilionacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.566666666666667	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.133333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333
"Uvularia_sessilifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.642857142857143	0.0857142857142857	0	0	0	0	0	0.0857142857142857	0	0	0	0	0	0	0	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0
"Podophyllum_peltatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trillium_catesbei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bombylius_major"	0.461029411764706	0.00220588235294118	0.134558823529412	0.143382352941176	0.0871323529411765	0.0220588235294118	0.0220588235294118	0.00882352941176471	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_erigeniae"	0.8859375	0	0.00703125	0.00234375	0.0046875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_nigrihirta"	0.0334285714285714	0.702	0.0154285714285714	0	0.0411428571428571	0.0694285714285714	0	0	0	0	0.0385714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_tridens"	0.0202247191011236	0.728089887640449	0	0	0.0404494382022472	0.0910112359550562	0	0	0	0	0.0202247191011236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0413793103448276	0.537931034482759	0	0	0.0517241379310345	0.0413793103448276	0.217241379310345	0.0103448275862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nomada_sp1_M_PL_025"	0.342857142857143	0.0107142857142857	0.471428571428571	0.0107142857142857	0.0214285714285714	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bombus_bimaculatus"	0	0	0	0	0.0803571428571429	0.0321428571428571	0.0160714285714286	0.289285714285714	0.401785714285714	0	0	0.0482142857142857	0.0321428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gonia_sp1_M_PL_025"	0.605454545454545	0	0.0654545454545455	0.130909090909091	0.0327272727272727	0.0654545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Halictid_sp1_M_PL_025"	0.61875	0	0	0.253125	0	0.028125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dialictus_abanci"	0.242307692307692	0.103846153846154	0.103846153846154	0.207692307692308	0	0.173076923076923	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
