"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Alstonia_macrophylla"	"Gastonia_crassa"	"Erythroxylum_sechellarum"	"Chrysobalanus_icaco"	"Paragenipa_wrightii"	"Roscheria_melanochaetes"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Unidentified_sp3_M_PL_130"	"Phelsuma_sp1_M_PL_130"	"Unidentified_sp2_M_PL_130"	"Unidentified_sp1_M_PL_130"	"Unidentified_sp5_M_PL_130"	"Nectarinia_dussumieri"	"Neophyllomyza_approximatonervis"	"Rhynchium_brunneum"	"Unidentified_sp6_M_PL_130"	"Unidentified_sp7_M_PL_130"	"Hemipyrellia_sp1_M_PL_130"	"Mabuya_sechellensis"	"Unidentified_sp4_M_PL_130"	"Ornidia_obesa"	"Simosyrphus_aegyptius"	"Forcipomyia_sp1_M_PL_130"	"Lygistorrhina_sp1_M_PL_130"	"Rhiparida_seychellensis"	"Scaptodrosophila_sp1_M_PL_130"	"Ceratina_tabescens"	"Cratopus_aurostriatus"	"Megachile_seychellensis"	"Polistes_olivaceus"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0.24406779661017	0.305084745762712	0.0457627118644068	0	0	0.122033898305085	0.0152542372881356	0	0	0.0305084745762712	0	0	0	0.0152542372881356	0	0	0.0152542372881356	0.0152542372881356	0.0305084745762712	0.0152542372881356	0	0.0457627118644068	0	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0.0613636363636364	0.122727272727273	0.0409090909090909	0.204545454545455	0	0	0.0818181818181818	0.143181818181818	0	0.0409090909090909	0	0.0613636363636364	0	0.0204545454545455	0	0.0613636363636364	0.0204545454545455	0	0.0204545454545455	0	0	0	0	0.0204545454545455	0	0
"Alstonia_macrophylla"	0	0	0	0	0	0	0	0	0	0.3	0.115384615384615	0.138461538461538	0	0	0	0	0	0.0461538461538462	0.0230769230769231	0.0692307692307692	0	0	0.0692307692307692	0	0	0.0461538461538462	0.0692307692307692	0	0	0	0	0	0	0	0.0230769230769231
"Gastonia_crassa"	0	0	0	0	0	0	0	0	0	0.291176470588235	0.132352941176471	0.0264705882352941	0	0.211764705882353	0	0	0	0.105882352941176	0	0	0	0	0	0.132352941176471	0	0	0	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0.218181818181818	0.572727272727273	0	0	0	0	0.0545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0.0545454545454545	0	0	0	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0	0	0.7	0.05	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0.423529411764706	0.423529411764706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529411764705882	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.18	0.36	0	0	0.12	0	0	0	0	0.18	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0
"Apis_mellifera"	0.197260273972603	0.036986301369863	0.16027397260274	0.135616438356164	0.0986301369863014	0.172602739726027	0.0986301369863014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.272727272727273	0.0818181818181818	0.0681818181818182	0.0681818181818182	0.286363636363636	0.0136363636363636	0.109090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.225	0.15	0.45	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_130"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
