"Microtus_oeconomus"	"Sorex_arcticus"	"Clethrionomys_rutilus"	"Sorex_caecutiens"	"Sorex_roboratus"	"Neomys_fodiens"	"Lemmus_sibiricus"	"Clethrionomys_rufocanus"	"Arvicola_terrestris"	"Microtus_middendorffi"	"Sorex_minutus"	"Corrodopsylla_birulai"	"Peromyscopsylla_bidentata"	"Megabothris_rectangulatus"	"Amphipsylla_sibirica"	"Amalaraeus_penicilliger"	"Catallagia_dacenkoi"	"Megabothris_calcarifer"	"Catallagia_ioffi"	"Rhadinopsylla_integella"	"Amphalius_runatus"
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0.154929577464789	0.353521126760563	0.245070422535211	0.0971830985915493	0.0028169014084507	0.0211267605633803	0.0253521126760563	0	0	0
"Sorex_arcticus"	0	0	0	0	0	0	0	0	0	0	0	0.738645418326693	0.0448207171314741	0.0412350597609562	0.0627490039840637	0	0.00358565737051793	0	0	0.00358565737051793	0.00537848605577689
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0.0794952681388013	0.0340694006309148	0.144794952681388	0.281072555205047	0.323659305993691	0	0.028391167192429	0.00851735015772871	0	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0.788429752066116	0.00743801652892562	0.0223140495867769	0.0669421487603306	0	0.00743801652892562	0	0	0.00743801652892562	0
"Sorex_roboratus"	0	0	0	0	0	0	0	0	0	0	0	0.82258064516129	0	0.00967741935483871	0.0483870967741935	0	0.00967741935483871	0	0	0.00967741935483871	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0.867567567567568	0	0.0162162162162162	0.0162162162162162	0	0	0	0	0	0
"Lemmus_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0.11123595505618	0	0	0	0.78876404494382	0	0	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0.153947368421053	0.177631578947368	0.153947368421053	0.189473684210526	0.0236842105263158	0.106578947368421	0	0.0710526315789474	0	0.0236842105263158
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0.0782608695652174	0	0.430434782608696	0.391304347826087	0	0	0	0	0	0
"Microtus_middendorffi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.0927835051546392	0.347516401124649	0.0236176194939082	0.178819119025305	0.143392689784442	0.090253045923149	0.00927835051546392	0.0109653233364574	0.00168697282099344	0	0.00168697282099344	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.740655737704918	0.0737704918032787	0.0354098360655738	0.0059016393442623	0	0	0	0.0442622950819672	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.55531914893617	0.0734042553191489	0.162765957446809	0.0191489361702128	0.00638297872340425	0.00638297872340425	0	0.0414893617021277	0.0351063829787234	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.230855018587361	0.117100371747212	0.331226765799257	0.0602230483271375	0.033457249070632	0.00669144981412639	0	0.0535315985130112	0.033457249070632	0.033457249070632	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.00918367346938775	0	0.523469387755102	0	0	0	0.358163265306122	0.00918367346938775	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.45	0.06	0	0.06	0.06	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0.578571428571429	0	0.321428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0	0	0.3	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0	0.3	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphalius_runatus"	0	0.54	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0
