"Sideroxylon_puberulum"	"Psiadia_terebinthina"	"Psidium_cattleianum"	"Helichrysum_proteoides"	"Stillingia_lineata"	"Grangeria_borbonica"	"Antidesma_madagascariense"	"Labourdonnaisia_callophylloides"	"Olea_lancea"	"Euodia_obtusifolia"	"Warneckea_trinervis"	"Homalanthus_populifolius"	"Phyllanthus_phillyreifolius"	"Wikstroemia_indica"	"Badula_platiphylla"	"Eugenia_orbiculata"	"Euodia_chapelieri"	"Gaertnera_sp1_M_PL_078"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_078"	"Villa_unifasciata"	"Pachycerina_crinicornis"	"Musca_domestica"	"Chrysomya_megacephala"	"Technomyrmex_albipes"	"Cerambycidae_sp1_M_PL_078"	"Stomorhina_lunata"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_078"	"Pelecophora_intemipta"	"Scolia_carniflex"
"Sideroxylon_puberulum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.864	0	0	0	0	0.036	0	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.423529411764706	0	0.158823529411765	0	0	0	0.0529411764705882	0.105882352941176	0.0529411764705882	0	0.0529411764705882	0	0.0529411764705882
"Psidium_cattleianum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.54	0	0	0	0	0	0	0	0	0	0
"Helichrysum_proteoides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.1	0.3	0.2	0	0	0	0.1	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.6	0	0	0	0	0	0	0	0	0
"Grangeria_borbonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385714285714286	0.257142857142857	0	0	0.128571428571429	0	0	0	0.128571428571429	0	0	0	0
"Antidesma_madagascariense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.15	0.15	0	0	0.3	0	0	0	0	0	0
"Labourdonnaisia_callophylloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0.15	0	0	0	0	0	0	0	0.15	0
"Olea_lancea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0.225	0	0	0	0	0	0	0	0	0	0
"Euodia_obtusifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0
"Warneckea_trinervis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0
"Homalanthus_populifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0
"Phyllanthus_phillyreifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0
"Wikstroemia_indica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0
"Badula_platiphylla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0
"Eugenia_orbiculata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0
"Euodia_chapelieri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0
"Gaertnera_sp1_M_PL_078"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.490909090909091	0.163636363636364	0.0818181818181818	0	0	0.0613636363636364	0	0.0409090909090909	0	0	0.0613636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chaetocnema_sp1_M_PL_078"	0	0	0	0.072	0.108	0.072	0.072	0.072	0.108	0.108	0	0.072	0.072	0.072	0.036	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Villa_unifasciata"	0	0.207692307692308	0.415384615384615	0	0	0	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0	0	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycerina_crinicornis"	0	0	0	0.1	0.6	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Musca_domestica"	0	0	0	0.675	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysomya_megacephala"	0.3	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
