"Rhombomys_opimus"	"Spermophilus_pygmaeus"	"Spermophilus_fulvus"	"Meriones_meridianus"	"Stylodipus_telum"	"Allactaga_elater"	"Allactaga_major"	"Pygeretmus_pumilio"	"Meriones_tamariscinus"	"Cricetulus_migratorius"	"Allocricetulus_eversmanni"	"Xenopsylla_skrjabini"	"Nosopsyllus_laeviceps"	"Coptopsylla_lamellifer"	"Neopsylla_setosa"	"Citellophilus_trispinus"	"Rhadinopsylla_cedestis"	"Echidnophaga_oschanini"	"Oropsylla_ilovaiskii"	"Citellophilus_tesquorum"	"Ctenophthalmus_dolichus"	"Mesopsylla_hebes"	"Mesopsylla_tuschkan"	"Mesopsylla_lenis"	"Ctenophthalmus_breviatus"	"Xenopsylla_conformis"	"Ophthalmopsylla_volgensis"	"Frontopsylla_semura"	"Amphipsylla_schelkovnikovi"	"Amphipsylla_kalabukhovi"	"Paradoxopsyllus_repandus"	"Leptopsylla_segnis"	"Stenoponia_conspecta"
"Rhombomys_opimus"	0	0	0	0	0	0	0	0	0	0	0	0.791428666588952	0.0698354677013772	0.0144631883961431	0.0004571266798781	2.24816399940049e-05	0.00840063947775983	0.00653466335825742	0.00317740511915269	7.49387999800163e-05	0.00465369947875901	0.000112408199970024	9.74204399740212e-05	8.2432679978018e-05	7.49387999800163e-06	0.000562040999850122	7.49387999800163e-06	4.49632799880098e-05	0	0	2.24816399940049e-05	7.49387999800163e-06	7.49387999800163e-06
"Spermophilus_pygmaeus"	0	0	0	0	0	0	0	0	0	0	0	0.0980341604898485	0.0368353206574283	0	0.472188204962939	0.0252336448598131	0.00348050273928456	0.00029004189494038	0.0754108926844989	0.130518852723171	0.00116016757976152	0.00029004189494038	0.000870125684821141	0.0142120528520786	0.0292942313889784	0.00174025136964228	0.00029004189494038	0.0101514663229133	0	0	0	0	0
"Spermophilus_fulvus"	0	0	0	0	0	0	0	0	0	0	0	0.0355597365945437	0.0253998118532455	0	0.0203198494825964	0.682408278457197	0	0	0.073236124176858	0.0630761994355597	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_meridianus"	0	0	0	0	0	0	0	0	0	0	0	0.714676889375685	0.136035049288061	0.00492880613362541	0.00887185104052574	0	0.00690032858707557	0.00492880613362541	0.00591456736035049	0	0	0.00197152245345016	0.00591456736035049	0.00295728368017525	0	0.00591456736035049	0	0	0	0	0	0.000985761226725082	0
"Stylodipus_telum"	0	0	0	0	0	0	0	0	0	0	0	0.200970873786408	0.0655339805825243	0	0.0699029126213592	0	0	0	0.0109223300970874	0.148543689320388	0	0.0720873786407767	0.170388349514563	0.0109223300970874	0.00655339805825243	0	0.135436893203883	0.0087378640776699	0	0	0	0	0
"Allactaga_elater"	0	0	0	0	0	0	0	0	0	0	0	0.306315789473684	0.088421052631579	0	0.00315789473684211	0	0.00315789473684211	0	0.00315789473684211	0	0	0.161052631578947	0.151578947368421	0.154736842105263	0	0	0.0252631578947368	0.00315789473684211	0	0	0	0	0
"Allactaga_major"	0	0	0	0	0	0	0	0	0	0	0	0.0985401459854015	0	0	0	0	0	0.00656934306569343	0	0	0	0.571532846715328	0.180656934306569	0.0394160583941606	0	0	0.00328467153284672	0	0	0	0	0	0
"Pygeretmus_pumilio"	0	0	0	0	0	0	0	0	0	0	0	0.493714285714286	0.0462857142857143	0	0	0	0.0102857142857143	0	0	0	0	0.108	0.123428571428571	0.0874285714285714	0	0	0.0308571428571429	0	0	0	0	0	0
"Meriones_tamariscinus"	0	0	0	0	0	0	0	0	0	0	0	0.287394957983193	0.491596638655462	0.0756302521008403	0	0.0151260504201681	0.00756302521008403	0.0151260504201681	0	0	0	0	0	0.00756302521008403	0	0	0	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0.1125	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0.5625	0	0	0	0
"Allocricetulus_eversmanni"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0.15	0	0.15	0	0	0.45	0	0	0
"Xenopsylla_skrjabini"	0.887396134814676	0.0028400709550929	0.000705816450378116	0.00609186817290636	0.000773037064699841	0.00081504994865092	0.00025207730370647	0.000806647371860704	0.000319297918028195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_laeviceps"	0.85783982816815	0.0116907026695305	0.00552316661552623	0.0127032832157103	0.00276158330776312	0.00257747775391224	0	0.000828474992328935	0.00598343050015342	9.20527769254373e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coptopsylla_lamellifer"	0.89305912596401	0	0	0.00231362467866324	0	0	0	0	0.00462724935732648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_setosa"	0.0308426966292135	0.82314606741573	0.0242696629213483	0.00455056179775281	0.0161797752808989	0.00050561797752809	0	0	0	0.00050561797752809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_trispinus"	0.00158450704225352	0.0459507042253521	0.851408450704225	0	0	0	0	0	0.00105633802816901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_cedestis"	0.881905594405594	0.00944055944055944	0	0.00550699300699301	0	0.000786713286713287	0	0.00157342657342657	0.000786713286713287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Echidnophaga_oschanini"	0.889795918367347	0.00102040816326531	0	0.00510204081632653	0	0	0.00204081632653061	0	0.00204081632653061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
