"Clethrionomys_rutilus"	"Sorex_araneus"	"Neomys_fodiens"	"Microtus_arvalis"	"Microtus_oeconomus"	"Sorex_minutus"	"Microtus_gregalis"	"Microtus_agrestis"	"Sorex_caecutiens"	"Apodemus_uralensis"	"Sicista_betulina"	"Apodemus_agrarius"	"Clethrionomys_glareolus"	"Sorex_tundrensis"	"Micromys_minutus"	"Spermophilus_major"	"Ctenophthalmus_assimilis"	"Corrodopsylla_birulai"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"	"Neopsylla_pleskei"	"Frontopsylla_elata"	"Megabothris_turbidus"	"Peromyscopsylla_bidentata"	"Amphipsylla_kuznetzovi"	"Rhadinopsylla_integella"	"Ctenophthalmus_breviatus"	"Peromyscopsylla_silvatica"	"Amphipsylla_sibirica"	"Megabothris_rectangulatus"	"Oropsylla_ilovaiskii"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289002036659878	0.0427698574338086	0.0629327902240326	0.339103869653768	0.029938900203666	0.029938900203666	0.0311608961303462	0.034826883910387	0.0152749490835031	0.020162932790224	0	0	0	0.00488798370672098	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182842785355348	0.30689160086145	0.31335247666906	0.0187365398420675	0.0310122038765255	0.0116295764536971	0.00581478822684853	0.012275664034458	0.00581478822684853	0.00581478822684853	0	0.00581478822684853	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.414869888475836	0.0892193308550186	0	0.00669144981412639	0.0892193308550186	0	0	0	0	0	0	0	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.525313807531381	0.0282426778242678	0.0433054393305439	0.114853556485356	0.0790794979079498	0.00753138075313808	0.0357740585774059	0	0.050836820083682	0.00753138075313808	0.00753138075313808	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.355263157894737	0.0270676691729323	0.0473684210526316	0.121804511278195	0.243609022556391	0.0642857142857143	0.0203007518796992	0.0101503759398496	0	0	0	0	0	0	0.0101503759398496	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109859154929577	0.109859154929577	0.629577464788732	0.0126760563380282	0.0253521126760563	0	0	0.0126760563380282	0	0	0	0	0	0	0	0	0
"Microtus_gregalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436224489795918	0	0.0275510204081633	0.156122448979592	0.036734693877551	0.0275510204081633	0.036734693877551	0	0.0275510204081633	0.036734693877551	0.0780612244897959	0	0.036734693877551	0	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389189189189189	0	0.0243243243243243	0.0851351351351351	0.285810810810811	0	0.0608108108108108	0.0547297297297297	0	0	0	0	0	0	0	0	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15929203539823	0.358407079646018	0.286725663716814	0.079646017699115	0	0	0	0.015929203539823	0	0	0	0	0	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526415094339623	0.0254716981132075	0	0.0339622641509434	0.0169811320754717	0	0.195283018867925	0.0509433962264151	0	0	0	0	0	0	0.0254716981132075	0.0254716981132075	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317647058823529	0	0	0	0.105882352941176	0	0	0.105882352941176	0.264705882352941	0.105882352941176	0	0	0	0	0	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0.128571428571429	0.128571428571429	0	0	0.192857142857143	0	0	0	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163636363636364	0.163636363636364	0	0.245454545454545	0.163636363636364	0	0	0.163636363636364	0	0	0	0	0	0	0	0	0
