"Toddalia_asiatica"	"Molinaea_alternifolia"	"Aphloia_theiformis"	"Psiadia_terebinthina"	"Stillingia_lineata"	"Croton_fothergillifolius"	"Roussea_simplex"	"Erythroxylum_macrocarpum"	"Chassalia_coriacea"	"Bertiera_zaluzania"	"Dodonaea_viscosa"	"Antirhea_borbonica"	"Claoxylon_linostachys"	"Stomorhina_lunata"	"Pachycerina_crinicornis"	"Apis_mellifera"	"Brachymyrmex_sp1_M_PL_062"	"Fannia_pusio"	"Technomyrmex_albipes"	"Chaetocnema_sp1_M_PL_062"	"Chrysomya_megacephala"	"Eristalinus_flaveolus"	"Musca_domestica"	"Allograpta_nasuta"	"Syritta_nigrofemorata"	"Phorinia_sp1_M_PL_062"	"Leptotes_pirithous"	"Lygaeidae_sp1_M_PL_062"	"Lygistorrhina_sp1_M_PL_062"	"Nacoleia_sp1_M_PL_062"	"Polistes_hebraeus"	"Psilopa_iceryae"	"Diptera_sp1_M_PL_062"	"Paragus_borbonicus"	"Stomoxys_niger"	"Episyrphus_sp1_M_PL_062"	"Unidentified_sp7_M_PL_062"	"Graphomya_maculata"	"Sepsis_lateralis"	"Acalyptrate_sp1_M_PL_062"	"Homoneura_sp1_M_PL_062"	"Limnophora_quaterna"	"Pelecophora_intemipta"	"Stomoxys_calcitrans"	"Villa_unifasciata"	"Zosterops_mauritianus"	"Dioxyna_sororcula"	"Henotesia_narcissus"	"Phelsuma_cepediana"	"Pteromalidae_sp1_M_PL_062"	"Tarundia_servillei"	"Cheloninae_sp1_M_PL_062"	"Hyadina_sp1_M_PL_062"	"Ischiodon_aegyptius"	"Mauritiborium_undulatus"	"Panara_naso"	"Pterophoridae_sp1_M_PL_062"	"Sarcophaga_arno"
"Toddalia_asiatica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152205882352941	0.377205882352941	0	0.0198529411764706	0.0330882352941176	0.0727941176470588	0	0.00661764705882353	0.00661764705882353	0.0132352941176471	0.00661764705882353	0.0198529411764706	0.0463235294117647	0.00661764705882353	0	0	0	0	0.0529411764705882	0	0	0.00661764705882353	0	0	0	0.0264705882352941	0	0	0	0.0198529411764706	0	0	0	0.0132352941176471	0.0132352941176471	0	0	0	0.00661764705882353	0	0	0	0	0	0
"Molinaea_alternifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146153846153846	0.0153846153846154	0.138461538461538	0.0846153846153846	0.230769230769231	0.0538461538461538	0	0.0461538461538462	0.0153846153846154	0.0153846153846154	0	0	0	0.0230769230769231	0	0	0.0384615384615385	0	0	0	0.0384615384615385	0.0230769230769231	0	0	0.0153846153846154	0	0	0	0	0	0.00769230769230769	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202941176470588	0.0176470588235294	0.405882352941176	0.114705882352941	0	0	0	0	0.0529411764705882	0	0.00882352941176471	0.0176470588235294	0	0	0	0	0.0264705882352941	0.0264705882352941	0	0	0	0	0.0264705882352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240697674418605	0.0209302325581395	0.0837209302325581	0.230232558139535	0	0	0	0.0209302325581395	0.0209302325581395	0.0104651162790698	0.0209302325581395	0.0313953488372093	0.0313953488372093	0	0.0837209302325581	0	0	0.0104651162790698	0	0	0.0104651162790698	0.0104651162790698	0	0.0523255813953488	0	0	0	0	0	0	0	0.0104651162790698	0	0	0	0	0	0	0	0	0	0	0	0.0104651162790698	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245454545454545	0	0.0163636363636364	0.114545454545455	0.0490909090909091	0.18	0	0	0.0327272727272727	0	0	0	0	0	0	0	0	0	0.114545454545455	0	0	0	0	0	0	0.0490909090909091	0.0490909090909091	0	0	0	0	0	0	0	0	0.0327272727272727	0	0	0.0163636363636364	0	0	0	0	0
"Croton_fothergillifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153191489361702	0.172340425531915	0	0.0191489361702128	0	0	0.134042553191489	0.0382978723404255	0.0191489361702128	0.134042553191489	0	0.0191489361702128	0	0.0382978723404255	0	0	0	0	0	0	0.0191489361702128	0.0382978723404255	0.0191489361702128	0.0191489361702128	0.0191489361702128	0	0	0	0	0	0.0191489361702128	0.0191489361702128	0	0	0	0	0	0	0	0	0	0	0	0	0.0191489361702128
"Roussea_simplex"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114893617021277	0.229787234042553	0.0765957446808511	0.0191489361702128	0	0	0	0	0.0191489361702128	0.134042553191489	0	0	0	0	0.153191489361702	0	0.0574468085106383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0574468085106383	0	0	0.0382978723404255	0	0	0	0	0	0	0	0	0
"Erythroxylum_macrocarpum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.0321428571428571	0	0	0	0	0.0321428571428571	0.0642857142857143	0.0964285714285714	0	0.0642857142857143	0.0964285714285714	0.0321428571428571	0.0321428571428571	0	0	0	0	0	0	0	0	0.0321428571428571	0	0	0	0	0	0.0964285714285714	0	0.0321428571428571	0	0	0	0	0	0	0	0	0	0.0321428571428571	0.0321428571428571	0	0	0
"Chassalia_coriacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245454545454545	0.163636363636364	0	0	0	0	0	0	0	0	0	0.0818181818181818	0	0.163636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163636363636364	0	0	0	0	0.0818181818181818	0	0
"Bertiera_zaluzania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0.54	0	0	0.09	0	0	0	0	0	0	0.09	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
