"Clethrionomys_rutilus"	"Sorex_araneus"	"Clethrionomys_glareolus"	"Microtus_arvalis"	"Microtus_agrestis"	"Sorex_caecutiens"	"Clethrionomys_rufocanus"	"Microtus_oeconomus"	"Apodemus_agrarius"	"Neomys_fodiens"	"Sorex_isodon"	"Sorex_roboratus"	"Micromys_minutus"	"Tamias_sibiricus"	"Arvicola_terrestris"	"Sorex_arcticus"	"Sorex_minutus"	"Apodemus_peninsulae"	"Sorex_minutissimus"	"Sciurus_vulgaris"	"Sicista_betulina"	"Myopus_schisticolor"	"Sorex_daphaenodon"	"Talpa_altaica"	"Cricetus_cricetus"	"Apodemus_uralensis"	"Talpa_europaea"	"Peromyscopsylla_silvatica"	"Corrodopsylla_birulai"	"Megabothris_rectangulatus"	"Doratopsylla_dasycnema"	"Palaeopsylla_soricis"	"Ctenophthalmus_uncinatus"	"Amalaraeus_penicilliger"	"Hystrichopsylla_talpae"	"Rhadinopsylla_li"	"Ceratophyllus_indages"	"Megabothris_walkeri"	"Ctenophthalmus_assimilis"	"Tarsopsylla_octodecimdentata"	"Neopsylla_pleskei"	"Frontopsylla_elata"	"Amphipsylla_sibirica"	"Neopsylla_acanthina"	"Nosopsyllus_fasciatus"	"Leptopsylla_segnis"	"Catallagia_dacenkoi"	"Megabothris_calcarifer"	"Megabothris_turbidus"	"Catallagia_ioffi"	"Ctenophthalmus_pisticus"	"Neopsylla_mana"	"Rhadinopsylla_integella"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.493409742120344	0.0343839541547278	0.151289398280802	0.0171919770773639	0.0128939828080229	0.0472779369627507	0.0782234957020057	0.0472779369627507	0.00601719197707736	0	0	0.00257879656160458	0	0	0	0	0	0	0.00171919770773639	0.00343839541547278	0	0	0.00257879656160458	0	0	0.00171919770773639
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0901734104046243	0.247109826589595	0.0372832369942197	0.276589595375723	0.164739884393064	0.0225433526011561	0.0147398843930636	0.0372832369942197	0.00606936416184971	0.00173410404624277	0	0	0	0	0	0.00173410404624277	0	0	0	0	0	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.304258064516129	0.0464516129032258	0.109161290322581	0.132387096774194	0.0383225806451613	0.0929032258064516	0.101032258064516	0.0383225806451613	0.00812903225806452	0	0.00348387096774194	0.00580645161290323	0	0.00348387096774194	0.00464516129032258	0.00464516129032258	0.00232258064516129	0	0	0	0.00232258064516129	0.00232258064516129	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.0227272727272727	0.197727272727273	0.0181818181818182	0.075	0.115909090909091	0.0522727272727273	0.104545454545455	0.0159090909090909	0	0.0227272727272727	0.00454545454545455	0	0	0	0.00454545454545455	0.0113636363636364	0	0	0.00454545454545455	0	0	0	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320689655172414	0.0439655172413793	0.155172413793103	0.129310344827586	0.0206896551724138	0.0594827586206897	0.0336206896551724	0.0775862068965517	0.0181034482758621	0	0.0206896551724138	0.00517241379310345	0	0	0.00517241379310345	0.00517241379310345	0	0	0	0	0	0.00517241379310345	0	0	0	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078	0.237	0.066	0.168	0.213	0.045	0.021	0.045	0.021	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637714285714286	0	0.0462857142857143	0.0205714285714286	0.0154285714285714	0.0514285714285714	0.0617142857142857	0.0205714285714286	0.036	0.0102857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.02	0.253333333333333	0	0.0733333333333333	0.12	0.126666666666667	0.0866666666666667	0.0466666666666667	0	0.02	0	0	0	0	0.02	0	0	0	0	0.0133333333333333	0	0	0	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0782608695652174	0.0391304347826087	0.0626086956521739	0.0234782608695652	0.117391304347826	0.109565217391304	0	0.117391304347826	0.0547826086956522	0	0	0.0547826086956522	0	0.0626086956521739	0.0547826086956522	0	0.0234782608695652	0.0782608695652174	0.0234782608695652	0	0	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.5	0	0	0.26	0.02	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_isodon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204545454545455	0	0.0306818181818182	0.143181818181818	0.582954545454546	0	0.0204545454545455	0.0306818181818182	0.0715909090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_roboratus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.744	0	0	0.048	0	0	0	0.084	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.416666666666667	0.216666666666667	0	0.116666666666667	0	0	0	0.116666666666667	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0352941176470588	0	0	0	0	0	0	0	0.123529411764706	0.705882352941177	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0352941176470588	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109756097560976	0	0.285365853658537	0	0	0.109756097560976	0.109756097560976	0.0439024390243902	0.153658536585366	0	0.0439024390243902	0	0	0	0.0439024390243902	0	0	0	0	0	0	0	0	0	0	0
"Sorex_arcticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.351219512195122	0.0439024390243902	0	0.307317073170732	0	0	0	0.153658536585366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0439024390243902	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.329268292682927	0.197560975609756	0	0.131707317073171	0.0878048780487805	0	0	0.153658536585366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apodemus_peninsulae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0486486486486487	0.072972972972973	0.17027027027027	0	0.218918918918919	0.072972972972973	0	0.0486486486486487	0.17027027027027	0	0	0	0	0.0486486486486487	0	0	0	0	0.0486486486486487	0	0	0	0	0	0	0
"Sorex_minutissimus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.282857142857143	0	0	0	0.0771428571428572	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233333333333333	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189473684210526	0	0	0	0.142105263157895	0.0947368421052632	0	0.142105263157895	0.331578947368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
