"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Paragenipa_wrightii"	"Canthium_bibracteatum"	"Phoenicophorium_borsigianum"	"Memecylon_eleagni"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_087"	"Nectarinia_dussumieri"	"Unidentified_sp1_M_PL_087"	"Hemipyrellia_sp1_M_PL_087"	"Rhiparida_seychellensis"	"Unidentified_sp4_M_PL_087"	"Cratopus_aurostriatus"	"Neophyllomyza_approximatonervis"	"Megachile_seychellensis"	"Mabuya_sechellensis"	"Chalcidoma_disjunctum"	"Unidentified_sp3_M_PL_087"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0.220588235294118	0.229411764705882	0.15	0	0.0529411764705882	0.0705882352941176	0.0529411764705882	0.0529411764705882	0.0264705882352941	0.0352941176470588	0	0	0	0.00882352941176471
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0.496551724137931	0.248275862068966	0	0	0.0931034482758621	0	0	0	0	0	0.0620689655172414	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0.527586206896552	0.186206896551724	0	0.186206896551724	0	0	0	0	0	0	0	0	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0	0.710526315789474	0.142105263157895	0	0	0	0	0	0	0	0	0.0473684210526316	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0.12	0.72	0	0	0	0	0	0	0.06	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0.835714285714286	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0.4	0.2	0	0.3	0	0	0	0	0	0	0	0	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0
"Apis_mellifera"	0.244565217391304	0.156521739130435	0.166304347826087	0.146739130434783	0.0195652173913043	0.127173913043478	0.0391304347826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.410526315789474	0.126315789473684	0.0947368421052632	0.0473684210526316	0.189473684210526	0	0.0315789473684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_087"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0.6	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_087"	0.6	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_087"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_087"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0.675	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0	0.6	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mabuya_sechellensis"	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chalcidoma_disjunctum"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_087"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
