"Prunus_mahaleb"	"Crataegus_monogyna"	"Juniperus_phoenicea"	"Berberis_vulgaris"	"Hedera_helix"	"Rosa_canina"	"Lonicera_arborea"	"Juniperus_sabina"	"Taxus_baccata"	"Juniperus_communis"	"Daphne_laureola"	"Rhamnus_myrtifolius"	"Rubus_ulmifolius"	"Sorbus_aria"	"Amelanchier_ovalis"	"Arum_italicum"	"Prunus_prostrata"	"Rhamnus_saxatilis"	"Rubia_peregrina"	"Cotoneaster_granatensis"	"Juniperus_oxycedrus"	"Lonicera_splendida"	"Lonicera_etrusca"	"Paeonia_officinalis"	"Polygonatum_odoratum"	"Turdus_viscivorus"	"Phoenicurus_ochruros"	"Turdus_merula"	"Fringilla_coelebs"	"Turdus_torquatus"	"Parus_ater"	"Turdus_iliacus"	"Erithacus_rubecula"	"Sylvia_communis"	"Sylvia_atricapilla"	"Garrulus_glandarius"	"Phoenicurus_phoenicurus"	"Turdus_pilaris"	"Coccothraustes_coccothraustes"	"Parus_major"	"Columba_palumbus"	"Parus_caeruleus"	"Parus_cristatus"	"Corvus_corone"	"Sylvia_melanocephala"	"Sitta_europaea"	"Sylvia_cantillans"	"Dendrocopos_major"	"Serinus_serinus"	"Pica_pica"	"Sylvia_borin"	"Turdus_philomelos"	"Loxia_curvirostra"	"Serinus_citinella"	"Sylvia_conspicillata"	"Corvus_corax"	"Ficedula_hypoleuca"	"Emberiza_cia"
"Prunus_mahaleb"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163475021910605	0.185560911481157	0.114964943032428	0.154404031551271	0	0.0771034180543383	0	0.0345092024539877	0.0358895705521472	0.0122261174408414	0.0266213847502191	0.0218886941279579	0	0.000591586327782647	0.00808501314636284	0.0108457493426819	0.0120289219982472	0.00729623137598598	0.0037467134092901	0.00690184049079755	0.00650744960560912	0.0063102541630149	0.00414110429447853	0.00354951796669588	0	0.00157756354075372	0	0	0.00118317265556529	0.000394390885188431	0	0.000197195442594216	0
"Crataegus_monogyna"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100926784059314	0	0.0925857275254866	0.0567191844300278	0.312789620018536	0.00333642261353105	0.12678405931418	0.00166821130676552	0	0.00500463392029657	0.0108433734939759	0	0.0617238183503244	0.055885078776645	0.0225208526413346	0.0100092678405931	0.00583873957367933	0.00250231696014829	0.00834105653382762	0	0.000834105653382762	0	0	0	0.0108433734939759	0	0.00500463392029657	0.00333642261353105	0	0	0.00166821130676552	0	0.000834105653382762
"Juniperus_phoenicea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308035714285714	0	0.0267857142857143	0	0.490178571428571	0	0.00535714285714286	0	0	0	0.0107142857142857	0	0.0214285714285714	0.0214285714285714	0	0.00803571428571428	0	0	0.00803571428571428	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Berberis_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0348837209302326	0.0767441860465116	0.0906976744186047	0.0418604651162791	0.331395348837209	0	0.12906976744186	0.0558139534883721	0	0.027906976744186	0	0.00697674418604651	0.0418604651162791	0	0.027906976744186	0	0.013953488372093	0	0.00697674418604651	0	0	0	0	0	0.013953488372093	0	0	0	0	0	0	0	0
"Hedera_helix"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0293877551020408	0.0036734693877551	0.517959183673469	0.0073469387755102	0.0073469387755102	0	0.0257142857142857	0	0	0.308571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rosa_canina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0.272727272727273	0	0.316363636363636	0	0.0490909090909091	0	0	0	0	0	0.103636363636364	0.0218181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0.00545454545454545	0.0109090909090909	0	0	0	0	0
"Lonicera_arborea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00947368421052632	0.0189473684210526	0.0663157894736842	0.0473684210526316	0.625263157894737	0.0757894736842105	0.00947368421052632	0	0	0.0378947368421053	0	0	0	0	0.00947368421052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Juniperus_sabina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0847058823529412	0	0.0423529411764706	0	0.656470588235294	0	0.0952941176470588	0	0	0	0	0	0	0	0	0	0	0	0.0211764705882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Taxus_baccata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.24	0.15	0	0.165	0	0.09	0.075	0	0	0	0	0	0.03	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Juniperus_communis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325	0	0.275	0	0.225	0	0.025	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Daphne_laureola"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264705882352941	0	0	0	0.0529411764705882	0	0.529411764705882	0	0	0	0	0.0529411764705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhamnus_myrtifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0.3	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rubus_ulmifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138461538461538	0.138461538461538	0	0	0	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.207692307692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0.0692307692307692	0	0.0692307692307692	0
"Sorbus_aria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amelanchier_ovalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0.6	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arum_italicum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Prunus_prostrata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhamnus_saxatilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rubia_peregrina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cotoneaster_granatensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
