"Lasiopodomys_brandtii"	"Spermophilus_undulatus"	"Marmota_sibirica"	"Ellobius_tancrei"	"Alticola_argentatus"	"Allactaga_sibirica"	"Phodopus_sungorus"	"Amphipsylla_primaris"	"Neopsylla_mana"	"Citellophilus_tesquorum"	"Oropsylla_silantiewi"	"Frontopsylla_hetera"	"Rhadinopsylla_dahurica"	"Amalaraeus_penicilliger"	"Neopsylla_pleskei"	"Rhadinopsylla_li"	"Oropsylla_alaskensis"	"Amphipsylla_dumalis"	"Rhadinopsylla_rothschildi"	"Frontopsylla_elatoides"	"Paradoxopsyllus_scorodumovi"	"Ctenophyllus_hirticrus"	"Paramonopsyllus_scalonae"	"Frontopsylla_elata"	"Pectinoctenus_pavlovskii"	"Frontopsylla_luculenta"	"Ophthalmopsylla_praefecta"
"Lasiopodomys_brandtii"	0	0	0	0	0	0	0	0.43850998984084	0.275150694209279	0.00444971215712834	0.000609549610565527	0.0555299695225195	0.0581510328479512	0.0280392820860142	0.0268811378259397	0.004632577040298	0.000548594649508974	0	0.00713173044361666	0	0	0	0	0	0.000243819844226211	0.000121909922113105	0
"Spermophilus_undulatus"	0	0	0	0	0	0	0	0.00290188853063105	0.0157531091662828	0.573744818056195	0.00746199907876555	0.0203132197144173	0	0	0.00165822201750345	0.115660985720866	0.11027176416398	0	0	0.0344081068631967	0.0111929986181483	0.00290188853063105	0.00207277752187932	0.00165822201750345	0	0	0
"Marmota_sibirica"	0	0	0	0	0	0	0	0	0.00610583446404342	0.0073270013568521	0.877408412483039	0.00427408412483039	0	0	0	0	0	0	0	0	0.00122116689280868	0.00366350067842605	0	0	0	0	0
"Ellobius_tancrei"	0	0	0	0	0	0	0	0.0173076923076923	0.0173076923076923	0	0	0	0	0	0	0	0	0.865384615384615	0	0	0	0	0	0	0	0	0
"Alticola_argentatus"	0	0	0	0	0	0	0	0.0473684210526316	0.852631578947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allactaga_sibirica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
"Phodopus_sungorus"	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_primaris"	0.898501248959201	0.000874271440466278	0	0.000374687760199833	0.000249791840133222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_mana"	0.882981960443382	0.00743316670289068	0.0019560965007607	0.000586828950228211	0.00704194740273854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_tesquorum"	0.0447243022464261	0.847923757658271	0.00735194009530293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_silantiewi"	0.00614334470989761	0.0110580204778157	0.882798634812287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_hetera"	0.846130030959752	0.0455108359133127	0.0065015479876161	0	0	0	0.00185758513931889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_dahurica"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0.891910112359551	0.00808988764044944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_li"	0.192676056338028	0.707323943661972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_alaskensis"	0.0294545454545455	0.870545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_dumalis"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_rothschildi"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elatoides"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradoxopsyllus_scorodumovi"	0	0.837931034482759	0.0620689655172414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophyllus_hirticrus"	0	0.484615384615385	0.415384615384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paramonopsyllus_scalonae"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pavlovskii"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_luculenta"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ophthalmopsylla_praefecta"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
