"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_oeconomus"	"Megabothris_advenarius"	"Amalaraeus_penicilliger"	"Stenoponia_montana"	"Catallagia_dacenkoi"	"Hystrichopsylla_microti"	"Amphipsylla_marikovskii"	"Rhadinopsylla_integella"
"Clethrionomys_rutilus"	0	0	0	0.458333333333333	0.220833333333333	0.145833333333333	0.0208333333333333	0.0333333333333333	0.00833333333333333	0.0125
"Clethrionomys_rufocanus"	0	0	0	0.317647058823529	0.264705882352941	0	0.264705882352941	0	0.0529411764705882	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0.9	0
"Megabothris_advenarius"	0.811475409836066	0.0885245901639344	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.757142857142857	0.142857142857143	0	0	0	0	0	0	0	0
"Stenoponia_montana"	0.9	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.3	0.6	0	0	0	0	0	0	0	0
"Hystrichopsylla_microti"	0.9	0	0	0	0	0	0	0	0	0
"Amphipsylla_marikovskii"	0.3	0.3	0.3	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.9	0	0	0	0	0	0	0	0	0
