"Psiadia_terebinthina"	"Gaertnera_sp1_M_PL_079"	"Stillingia_lineata"	"Syzygium_coriaceum"	"Antidesma_madagascariense"	"Psathura_terniflora"	"Tabernaemontana_persicarifolia"	"Labourdonnaisia_callophylloides"	"Euodia_obtusifolia"	"Tristhema_mauritiana"	"Olea_lancea"	"Psidium_cattleianum"	"Villa_unifasciata"	"Nacoleia_sp1_M_PL_079"	"Chaetocnema_sp1_M_PL_079"	"Technomyrmex_albipes"	"Ahasverus_advena"	"Apis_mellifera"	"Dysauxes_florida"	"Brachymyrmex_sp1_M_PL_079"	"Allograpta_nasuta"	"Polistes_hebraeus"	"Syritta_nigrofemorata"	"Chrysomya_megacephala"	"Miridae_sp1_M_PL_079"	"Orthellia_albigena"	"Pachycerina_crinicornis"	"Phalanta_phalantha"	"Phorinia_sp1_M_PL_079"	"Stomorhina_lunata"
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0.0947368421052632	0	0.331578947368421	0	0.0473684210526316	0.0947368421052632	0.0947368421052632	0	0.0473684210526316	0	0.0947368421052632	0	0.0473684210526316	0	0	0	0	0.0473684210526316
"Gaertnera_sp1_M_PL_079"	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.54	0	0	0.06	0.06	0	0	0	0.12	0	0	0	0	0	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.24	0	0	0.3	0	0	0	0.06	0	0	0	0	0.06	0.06	0	0	0
"Syzygium_coriaceum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.36	0	0	0	0.27	0	0	0	0.09	0	0	0	0	0.09	0
"Antidesma_madagascariense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0
"Psathura_terniflora"	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0
"Tabernaemontana_persicarifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Labourdonnaisia_callophylloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0
"Euodia_obtusifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tristhema_mauritiana"	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0
"Olea_lancea"	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psidium_cattleianum"	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Villa_unifasciata"	0.1	0.1	0.15	0	0	0.25	0	0	0	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nacoleia_sp1_M_PL_079"	0	0.50625	0.225	0	0	0	0.16875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chaetocnema_sp1_M_PL_079"	0.45	0	0	0.0642857142857143	0	0	0.192857142857143	0	0.192857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Technomyrmex_albipes"	0	0	0	0.4	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ahasverus_advena"	0.128571428571429	0.128571428571429	0.642857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.257142857142857	0.128571428571429	0	0	0	0	0	0.514285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
