"Nephrosperma_vanhoutteanum"	"Premna_serratifolia"	"Psidium_cattleianum"	"Deckenia_nobilis"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Ochna_kirkii"	"Alstonia_macrophylla"	"Apis_mellifera"	"Lasioglossum_mahense"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_112"	"Rhynchium_brunneum"	"Xylocopa_caffra"	"Megachile_seychellensis"	"Lygistorrhina_sp1_M_PL_112"	"Hemipyrellia_germana"	"Phelsuma_sp1_M_PL_112"	"Neophyllomyza_approximatonervis"	"Hemipyrellia_sp1_M_PL_112"	"Chalcidoma_disjunctum"	"Unidentified_sp2_M_PL_112"	"Eagris_sabadius"	"Eristalinus_vicarians"	"Rhiparida_seychellensis"	"Simosyrphus_aegyptius"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0.183870967741936	0.22258064516129	0.067741935483871	0.212903225806452	0	0	0.0387096774193548	0.0967741935483871	0.0193548387096774	0.00967741935483871	0.0483870967741935	0	0	0	0	0	0	0
"Premna_serratifolia"	0	0	0	0	0	0	0	0	0.018	0.252	0	0	0.342	0	0.162	0	0	0	0	0.072	0	0	0.018	0.018	0.018	0
"Psidium_cattleianum"	0	0	0	0	0	0	0	0	0.43953488372093	0.0418604651162791	0.209302325581395	0	0	0.104651162790698	0	0	0.104651162790698	0	0	0	0	0	0	0	0	0
"Deckenia_nobilis"	0	0	0	0	0	0	0	0	0.351219512195122	0.197560975609756	0.109756097560976	0	0	0	0	0	0.0878048780487805	0.131707317073171	0.0219512195121951	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0.0857142857142857	0.642857142857143	0	0	0	0	0	0.0857142857142857	0	0	0	0	0	0.0857142857142857	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0.642857142857143	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0	0	0	0	0
"Ochna_kirkii"	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0	0.771428571428571	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143
"Alstonia_macrophylla"	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.247826086956522	0.0130434782608696	0.273913043478261	0.208695652173913	0.0260869565217391	0.130434782608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.313636363636364	0.190909090909091	0.0272727272727273	0.122727272727273	0.204545454545455	0.0272727272727273	0.0136363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.273913043478261	0	0.391304347826087	0.195652173913043	0	0	0	0.0391304347826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_112"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhynchium_brunneum"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0	0.264705882352941	0	0	0	0.635294117647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0.276923076923077	0.623076923076923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_112"	0.75	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.163636363636364	0	0.409090909090909	0.327272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_112"	0.128571428571429	0	0	0.771428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0.75	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_112"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chalcidoma_disjunctum"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_112"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eagris_sabadius"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eristalinus_vicarians"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Simosyrphus_aegyptius"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
