"Pandanus_barklyi"	"Syzygium_coriaceum"	"Pittosporum_senacia"	"Aphloia_theiformis"	"Gaertnera_sp1_M_PL_067"	"Tabernaemontana_persicarifolia"	"Diospyros_revaughanii"	"Psiadia_terebinthina"	"Stillingia_lineata"	"Gaertnera_rotundifolia"	"Euodia_obtusifolia"	"Turraea_rigida"	"Gaertnera_petrinensis"	"Labourdonnaisia_callophylloides"	"Phyllanthus_phillyreifolius"	"Euodia_chapelieri"	"Ochna_mauritiana"	"Cordemoya_integrifolia"	"Smilax_anceps"	"Apis_mellifera"	"Nacoleia_sp1_M_PL_067"	"Technomyrmex_albipes"	"Villa_unifasciata"	"Phorinia_sp1_M_PL_067"	"Paragus_borbonicus"	"Pachycerina_crinicornis"	"Phelsuma_cepediana"	"Chrysomya_megacephala"	"Hippotion_eson"	"Nogodinidae_sp1_M_PL_067"	"Brachymyrmex_sp1_M_PL_067"	"Lecithoceridae_sp1_M_PL_067"	"Episyrphus_sp1_M_PL_067"	"Eristalinus_flaveolus"	"Ischiodon_aegyptius"	"Musca_domestica"	"Nacoleia_sp2_M_PL_067"	"Syritta_sp1_M_PL_067"	"Allograpta_nasuta"	"Cephonodes_trochilus"	"Fannia_pusio"	"Lygaeidae_sp1_M_PL_067"	"Melanagromyza_sojae"	"Pheidole_megacephala"	"Sarrothripinae_sp1_M_PL_067"	"Stomorhina_lunata"	"Zosterops_mauritianus"
"Pandanus_barklyi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.823943661971831	0	0	0	0	0	0	0.0253521126760563	0	0	0	0	0	0.0253521126760563	0	0.0253521126760563	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_coriaceum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306382978723404	0.229787234042553	0.21063829787234	0.0574468085106383	0	0.0574468085106383	0	0	0	0	0	0.0191489361702128	0	0.0191489361702128	0	0	0	0	0	0	0	0	0	0	0
"Pittosporum_senacia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.02	0.5	0.06	0.02	0	0.06	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109090909090909	0	0.490909090909091	0.245454545454545	0.0545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gaertnera_sp1_M_PL_067"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.585	0	0.045	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0
"Tabernaemontana_persicarifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.757894736842105	0	0	0	0	0	0	0	0	0	0	0.0947368421052632	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0	0
"Diospyros_revaughanii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.7	0	0	0	0	0	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.12	0.06	0.24	0	0.06	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.06	0.06	0	0.06	0	0	0.24	0	0	0	0	0.06	0	0.12	0.06	0	0.06	0	0.06	0	0	0.06	0
"Gaertnera_rotundifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
