"Symplocos_prunifolia"	"Cleyera_japonica"	"Eurya_japonica"	"Schefflera_octophylla"	"Myrsine_sguinii"	"Daphniphyllum_teijsmannii"	"Myrica_rubra"	"Ardisia_sieboldii"	"Litsea_acuminata"	"Vaccinium_bracteatum"	"Neolitsea_aciculata"	"Persea_thunbergii"	"Diospyros_morrisiana"	"Prunus_jamasakura"	"Taxillus_yadoriki"	"Hypsipetes_amaurotis"	"Turdus_pallidus"	"Sphenurus_formosae"	"Zosterops_japonica"	"Columba_janthina"	"Turdus_chrysolaus"	"Ficedula_narcissina"	"Turdus_dauma"
"Symplocos_prunifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.1125	0.225	0.1125	0	0.1125	0.1125	0
"Cleyera_japonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.257142857142857	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0.128571428571429
"Eurya_japonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257142857142857	0.128571428571429	0.257142857142857	0.257142857142857	0	0	0	0
"Schefflera_octophylla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257142857142857	0.257142857142857	0	0.128571428571429	0.257142857142857	0	0	0
"Myrsine_sguinii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0.3	0	0	0	0
"Daphniphyllum_teijsmannii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0.18	0.36	0	0
"Myrica_rubra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0.45	0	0.225	0	0	0
"Ardisia_sieboldii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.6	0	0	0	0	0	0
"Litsea_acuminata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Vaccinium_bracteatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0
"Neolitsea_aciculata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Persea_thunbergii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Diospyros_morrisiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0
"Prunus_jamasakura"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Taxillus_yadoriki"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Hypsipetes_amaurotis"	0.0818181818181818	0.0409090909090909	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0409090909090909	0.0409090909090909	0.122727272727273	0	0.0818181818181818	0.0818181818181818	0	0.0409090909090909	0.0409090909090909	0	0	0	0	0	0	0	0
"Turdus_pallidus"	0.0692307692307692	0.138461538461538	0.0692307692307692	0.138461538461538	0.138461538461538	0	0	0.138461538461538	0	0.207692307692308	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sphenurus_formosae"	0.225	0.1125	0.225	0	0	0	0.225	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0
"Zosterops_japonica"	0.128571428571429	0.128571428571429	0.257142857142857	0.128571428571429	0.257142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Columba_janthina"	0	0.18	0	0.36	0	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_chrysolaus"	0.3	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficedula_narcissina"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_dauma"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
