"Sp"	"MDim"
"Hamelia_versicolor"	1
"Vitex_mollis"	1
"Combretum_farinosum"	1
"Ipomoea_bracteata"	1
"Mirabilis_sp1_M_PL_065"	1
"Ipomoea_wolcottiana"	1
"Opuntia_excelsa"	1
"Nopalea_karwinskiana"	1
"Ceiba_aesculifolia"	1
"Caesalpinia_pulcherrima"	1
"Cordia_seleriana"	1
"Psittacanthus_calyculatus"	1
"Tillandsia_bartramii"	1
"Pithecellobium_mangens"	1
"Tillandsia_paucifolia"	1
"Tillandsia_dasyrifolia"	1
"Groton_suberosus"	1
"Justicia_mexicana"	1
"Erythrina_lanata"	1
"Ipomoea_quamoclit"	1
"Tabebuia_donnell-smithii"	1
"Amazilia_rutila"	2
"Chlorostilbon_canivetii"	2
"Cynanthus_latirostris"	2
"Heliomaster_constantii"	2
"Archilochus_colubris"	2
