"Sp"	"MDim"
"Apollonia_melanostoma"	1
"Proterorhinus_marmoratus"	1
"Perca_flavescens"	1
"Sander_vitreus"	1
"Sphaeromyxa_sevastopoli"	2
"Dichelyne_cotylophora"	2
"Raphidascaris_acus"	2
"Eustrongylides_tubifex"	2
"Spiroxys_sp."	2
"Leptorhynchoides_thecatus"	2
"Neochasmus_umbellus"	2
"Diplostomum_spathaceum"	2
"Diplostomum_sp."	2
"Ichthyocotylurus_pileatus"	2
"Digenea_gen._sp."	2
"Proteocephalus_sp."	2
"Scolex_pleuronectis"	2
"Philometra_cylindraceum"	2
"Rhabdochona_decaturensis"	2
"Contracaecum_sp."	2
"Spinitectus_sp."	2
"Spiroxys_contortus"	2
"Philometra_sp."	2
"Dioctophymidae"	2
"Neoechinorhynchus_tumidus"	2
"Neoechinorhynchus_sp."	2
"Southwellina_hispida"	2
