"Sp"	"MDim"
"Coregonus_artedii"	1
"Coregonus_clupeaformis"	1
"Salvelinus_namaycush"	1
"Oncorhynchus_kisutch"	1
"Esox_lucius"	1
"Catostomus_catostomus"	1
"Catostomus_commersoni"	1
"Lota_lota"	1
"Pungitius_pungitius"	1
"Stizostedion_vitreum"	1
"Gyrodactylus__sp."	2
"Discocotyle__sagittata"	2
"Diplostomum__spathaceum_(L)"	2
"Apatemon__gracilis_(L)"	2
"Cotylurus__erraticus_(L)"	2
"Lissorchis__attenuatum"	2
"Bunodera__luciopercae"	2
"Crepidostomum__farionis"	2
"Phyllodistomum__coregoni"	2
"Glaridacris__sp."	2
"Hunterella__nodulosa"	2
"Cyathocephalus__truncatus"	2
"Eubothrium__rugosum"	2
"Eubothrium__salvelini"	2
"Bothriocephalus__cuspidatus"	2
"Diphyllobothrium__sp._(L)"	2
"Schistocephalus__solidus_(L)"	2
"Triaenophorus__crassus"	2
"Triaenophorus__crassus_(L)"	2
"Triaenophorus__nodulosus"	2
"Triaenophorus__nodulosus_(L)"	2
"Proteocephalus__exiguus"	2
"Proteocephalus__filicollis"	2
"Proteocephalus__pinguis"	2
"Proteocephalus__sp._A"	2
"Raphidascaris__acus"	2
"Raphidascaris__acus_(L)"	2
"Haplonema__hamulatum"	2
"Philonema__agubernaculum"	2
"Cystidicola__farionis"	2
"Rhabdochona__cascadilla"	2
"Neoechinorhynchus__strigosus"	2
"Metechinorhynchus__salmonis"	2
"Pomphorhynchus__bulbocolli"	2
"Cystobranchus__verrilli"	2
"Ergasilus__auritus"	2
"Ergasilus__nerkae"	2
"Ergasilus__sp._A"	2
"Salmincola__extensus"	2
"Salmincola__extumescens"	2
