"Sp"	"MDim"
"Salmo_salar"	1
"Salvelinus_fontinalis"	1
"Salvelinus_namaycush"	1
"Coregonus_clupeaformis"	1
"Esox_lucius"	1
"Tetraonchus_monenteron"	2
"Discocotyle_sagittata"	2
"Crepidostomum_farionis"	2
"Crepidostomum_cooperi"	2
"Phyllodistomum_coregoni"	2
"Phyllodistomum_lachancei"	2
"Triaenophorus_crassus"	2
"Triaenophorus_crassus_(L)"	2
"Eubothrium_salvelini"	2
"Diphyllobothrium_sp._(L)"	2
"Proteocephalus_pinguis"	2
"Proteocephalus_tumidocollus"	2
"Proteocephalus_sp.1"	2
"Proteocephalus_sp.2"	2
"Raphidascaris_sp."	2
"Raphidascaris_canadensis"	2
"Capillaria_salvelini"	2
"Metabronema_salvelini"	2
"Metechinorhynchus_lateralis"	2
"Salmincola_extumescens"	2
"Salmincola_coregonorum"	2
"Salmincola_edwardsii"	2
"Salmincola_siscowet"	2
