"Sp"	"MDim"
"Channa_striata"	1
"Channa_micropeltes"	1
"Clarias_macrocephalus"	1
"Oxyeleotris_marmorata"	1
"Clarias_batrachus"	1
"Pangasius_hypophthalmus"	1
"Hemibagrus_nemurus"	1
"Notopterus_notopterus"	1
"Anabas_testudineus"	1
"Pangasius_bocourti"	1
"Barbonymus_gonionotus"	1
"Oreochromis_niloticus_niloticus"	1
"Channa_lucius"	1
"Ompok_bimaculatus"	1
"Pangasius_conchophilus"	1
"Trichogaster_pectoralis"	1
"Barbonymus_altus"	1
"Labeo_rohita"	1
"Cirrhinus_cirrhosus"	1
"Glossogobius_giuris"	1
"Leptobarbus_hoevenii"	1
"Monopterus_albus"	1
"Pangasius_larnaudii"	1
"Wallago_attu"	1
"Hampala_macrolepidota"	1
"Clarias_sp."	1
"Oreochromis_sp."	1
"Osphronemus_goramy"	1
"Oxyeleotris_urophthalmus"	1
"Pangasius_pangasius"	1
"Trichogaster_trichopterus"	1
"Catla_catla"	1
"Cirrhinus_jullieni"	1
"Clarias_gariepinus_x_C._macrocephalus"	1
"Helostoma_temminckii"	1
"Pangasius_micronemus"	1
"?Carassius_gibelio"	1
"Aristichthys_nobilis"	1
"Bunaka_gyrinoides"	1
"Carassius_auratus_auratus"	1
"Ctenopharyngodon_idellus"	1
"Cyprinus_carpio"	1
"Cyprinus_rubrofuscus"	1
"Hypophthalmichthys_harmandi"	1
"Labiobarbus_leptocheila"	1
"Osteochilus_melanopleurus"	1
"Pangasius_sp."	1
"Puntiorplites_proctozysron"	1
"Puntius_brevis"	1
"Pallisentis__(Pallisentis)_nagpurensis"	2
"Ergasilus_sp."	2
"Myxobolus_sp."	2
"Centrocestus_formosanus"	2
"Dactylogyrus_sp."	2
"Henneguya_sp."	2
"Thaparocleidus_sp."	2
"Philometra_sp."	2
"Contracaecum_rudolphii"	2
"Lernaea_cyprinacea"	2
"Proteocephalus_sp."	2
"Procamallanus_sp."	2
"Masenia_collata"	2
"Eudiplozoon_nipponicum"	2
"Spectatus__sp."	2
"Lamproglena_chinensis"	2
"Zschokkella_parasiluri"	2
"Henneguya_shaharini"	2
"Prosorhynchoides_gracilescens"	2
"Gyrodactylus_fusci"	2
"Quadriacanthus_kobiensis"	2
"Lytocestus_parvulus"	2
"Senga_parva"	2
"Senga_sp."	2
"Proteocephalus_gobiorum"	2
"Proteocephalus_osculatus"	2
"Cucullanus_cyprini"	2
"Caspiobdella_fadejewi"	2
"Argulus_sp."	2
"Henneguya_schizura"	2
"Myxobolus_clarii"	2
"Myxobolus_koi"	2
"Myxobolus_minutus"	2
"Myxobolus_semeniformis"	2
"Orientocreadium_batrachoides"	2
"Bacciger_bacciger"	2
"Gyrodactylus_ophiocephali"	2
"Gyrodactylus_squaliobarbi"	2
"Cichlidogyrus_sclerosus"	2
"Cichlidogyrus_tilapiae"	2
"Heteronchocleidus_sp."	2
"Thaparocleidus_caecus"	2
"Thaparocleidus_pangasi"	2
"Lytocestus_adhaerens"	2
"Caryphyllaeidae_gen._sp."	2
"Senga_ophicephaliana"	2
"Paraproteocephalus_parasiluri"	2
"Proteocephalus_sagittus"	2
"Dichelyne_(Cucullanellus)_minutus"	2
"Pingus_sinensis"	2
"Procamallanus_(Procamallanus)_glossogobii"	2
"Spinitectus_clariasi"	2
"Spinitectus_ophicephali"	2
"Acanthocephalorhynchoides_ussuriensis"	2
"Pallisentis_sp."	2
"Argulus_chinensis"	2
"Lernaea_lophiara"	2
"Lernaea_sp."	2
"Ergasilus_philippinensis"	2
"Zschokkella_sp"	2
"Ceratomyxa_sp."	2
"Myxobilatus__sp."	2
"Henneguya_ophiocephali"	2
"Henneguya_schulmani"	2
"Myxobolus_cheisini"	2
"Myxobolus_exiguus"	2
"Myxobolus_macrocapsularis"	2
"Myxobolus_miyairii"	2
"Myxobolus_oblongus"	2
"Myxobolus_poljanskii"	2
"Thelohanellus_catlae"	2
"Clinostomum_complanatum"	2
"Clinostomum_piscidium"	2
"Euclinostomum_multicaecum"	2
"Azygia_hwangtsiyui"	2
"Singhia_kruinensis"	2
"Allocreadium_isoporum"	2
"Coitocaecum_plagiorchi"	2
"Plagioporus_myoxocephalus"	2
"Apophallus_sp."	2
"Orientocreadium_siluri"	2
"Gyrodactylus_niloticus"	2
"Bychowskyella_tchangi"	2
"Cichlidogyrus_sp."	2
"Cornudiscoides_malayensis"	2
"Dactylogyrus_kalyanensis"	2
"Dactylogyrus_labei"	2
"Dactylogyrus_viticulus"	2
"Dactylogyrus_yogendrai"	2
"Malayanodiscoides_bihamuli"	2
"Pseudodactylogyrus_sp"	2
"Thaparocleidus_notopterus"	2
"Thaparocleidus_sudhakari"	2
"Thaparocleidus_wallagonius"	2
"Trianchoratus_gussevi"	2
"Trianchoratus_ophicephali"	2
"Trianchoratus_pahangensis"	2
"Trianchoratus_trichogasterium"	2
"Dactylogyridae_gen._sp."	2
"Sundanonchus_foliaceus"	2
"Sundanonchus_micropeltis"	2
"Sundanonchus_sp."	2
"Caryophyllaeus_fimbriceps"	2
"Paracaryophyllaeus_gotoi"	2
"Paraseuratum_sp."	2
"Camallanus_(Zeylanema)_anabantis"	2
"Camallanus__(Camallanus)_hampalae"	2
"Neocamallanus_maculati"	2
"Neocamallanus_ophicephali"	2
"Neocamallanus_trichogasterae"	2
"Procamallanus_(Procamallanus)_malaccensis"	2
"Gnathostoma_hispidum"	2
"Spinitectus_notopteri"	2
"Pseudorhadinorhynchus_vietnamensis"	2
"Pallisentis_(Demidueterospinus)_ophiocephali"	2
"Dendronucleata_dogieli"	2
"Piscicola_geometra"	2
"Argulus_japonicus"	2
"Lamproglena_sp."	2
"Caligus_sp."	2
"Corallana_grandiventra"	2
