"Nephrosperma_vanhoutteanum"	"Premna_serratifolia"	"Psidium_cattleianum"	"Deckenia_nobilis"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Ochna_kirkii"	"Alstonia_macrophylla"	"Apis_mellifera"	"Lasioglossum_mahense"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_112"	"Rhynchium_brunneum"	"Xylocopa_caffra"	"Megachile_seychellensis"	"Lygistorrhina_sp1_M_PL_112"	"Hemipyrellia_germana"	"Phelsuma_sp1_M_PL_112"	"Neophyllomyza_approximatonervis"	"Hemipyrellia_sp1_M_PL_112"	"Chalcidoma_disjunctum"	"Unidentified_sp2_M_PL_112"	"Eagris_sabadius"	"Eristalinus_vicarians"	"Rhiparida_seychellensis"	"Simosyrphus_aegyptius"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0.102150537634409	0.123655913978495	0.0376344086021505	0.118279569892473	0	0	0.021505376344086	0.0537634408602151	0.010752688172043	0.00537634408602151	0.0268817204301075	0	0	0	0	0	0	0
"Premna_serratifolia"	0	0	0	0	0	0	0	0	0.01	0.14	0	0	0.19	0	0.09	0	0	0	0	0.04	0	0	0.01	0.01	0.01	0
"Psidium_cattleianum"	0	0	0	0	0	0	0	0	0.244186046511628	0.0232558139534884	0.116279069767442	0	0	0.0581395348837209	0	0	0.0581395348837209	0	0	0	0	0	0	0	0	0
"Deckenia_nobilis"	0	0	0	0	0	0	0	0	0.195121951219512	0.109756097560976	0.0609756097560976	0	0	0	0	0	0.0487804878048781	0.0731707317073171	0.0121951219512195	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0.0476190476190476	0.357142857142857	0	0	0	0	0	0.0476190476190476	0	0	0	0	0	0.0476190476190476	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0.357142857142857	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0	0	0	0	0
"Ochna_kirkii"	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0.428571428571429	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857
"Alstonia_macrophylla"	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.13768115942029	0.0072463768115942	0.152173913043478	0.115942028985507	0.0144927536231884	0.072463768115942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.174242424242424	0.106060606060606	0.0151515151515152	0.0681818181818182	0.113636363636364	0.0151515151515152	0.00757575757575758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.152173913043478	0	0.217391304347826	0.108695652173913	0	0	0	0.0217391304347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_112"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhynchium_brunneum"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0	0.147058823529412	0	0	0	0.352941176470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0.153846153846154	0.346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_112"	0.416666666666667	0	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.0909090909090909	0	0.227272727272727	0.181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_112"	0.0714285714285714	0	0	0.428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0.416666666666667	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_112"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chalcidoma_disjunctum"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_112"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eagris_sabadius"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eristalinus_vicarians"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Simosyrphus_aegyptius"	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
