"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Roscheria_melanochaetes"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Dillenia_suffruticosa"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Gastonia_crassa"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Neophyllomyza_approximatonervis"	"Forcipomyia_sp1_M_PL_128"	"Unidentified_sp6_M_PL_128"	"Xylocopa_caffra"	"Unidentified_sp1_M_PL_128"	"Mabuya_sechellensis"	"Nectarinia_dussumieri"	"Lygistorrhina_sp1_M_PL_128"	"Ornidia_obesa"	"Phelsuma_sp1_M_PL_128"	"Unidentified_sp7_M_PL_128"	"Cratopus_aurostriatus"	"Unidentified_sp5_M_PL_128"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Unidentified_sp3_M_PL_128"	"Unidentified_sp4_M_PL_128"	"Chalcidoma_disjunctum"	"Polistes_olivaceus"	"Simosyrphus_aegyptius"	"Unidentified_sp2_M_PL_128"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0.16	0.0666666666666667	0.173333333333333	0.0133333333333333	0	0	0.0333333333333333	0	0	0.0266666666666667	0	0.00666666666666667	0	0.0133333333333333	0	0	0	0	0	0	0	0	0.00666666666666667
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.0955882352941176	0.198529411764706	0	0	0.110294117647059	0	0	0	0	0.00735294117647059	0	0.0220588235294118	0.0367647058823529	0	0	0	0	0.0147058823529412	0.0147058823529412	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1875	0.1875	0	0	0.0625	0	0	0	0	0	0	0.025	0.0375	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.172413793103448	0.293103448275862	0	0	0	0	0	0	0	0.0344827586206897	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.277777777777778	0	0	0	0	0.0185185185185185	0	0	0.0185185185185185	0	0.111111111111111	0	0	0	0	0.037037037037037	0.037037037037037	0	0	0	0	0	0
"Dillenia_suffruticosa"	0	0	0	0	0	0	0	0	0	0	0	0.117647058823529	0	0	0	0	0.352941176470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294117647058824	0
"Excoecaria_benthiamiana"	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0.34375	0.03125	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.03125	0	0
"Gastonia_crassa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0.166666666666667	0.0555555555555556	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0.166666666666667	0.277777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.121212121212121	0.0656565656565657	0	0.0505050505050505	0.0757575757575758	0.0202020202020202	0.0858585858585859	0.0555555555555556	0	0.0202020202020202	0.00505050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
