"Microtus_arvalis"	"Apodemus_agrarius"	"Clethrionomys_glareolus"	"Apodemus_uralensis"	"Cricetulus_migratorius"	"Sorex_araneus"	"Apodemus_flavicollis"	"Arvicola_terrestris"	"Micromys_minutus"	"Ctenophthalmus_assimilis"	"Leptopsylla_taschenbergi"	"Ctenophthalmus_wagneri"	"Amphipsylla_rossica"	"Ctenophthalmus_agyrtes"	"Nosopsyllus_consimilis"	"Leptopsylla_segnis"	"Ctenophthalmus_orientalis"	"Hystrichopsylla_talpae"	"Peromyscopsylla_bidentata"	"Megabothris_turbidus"	"Nosopsyllus_mokrzeckyi"	"Palaeopsylla_soricis"	"Megabothris_walkeri"	"Doratopsylla_dasycnema"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0.0492957746478873	0.00704225352112676	0.0915492957746479	0.102112676056338	0.00704225352112676	0.0457746478873239	0.0669014084507042	0.0633802816901408	0.0140845070422535	0.0105633802816901	0.00352112676056338	0.0246478873239437	0.00352112676056338	0.0105633802816901	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0.121495327102804	0.247663551401869	0.0280373831775701	0	0.014018691588785	0.00934579439252336	0.00467289719626168	0.014018691588785	0.0373831775700935	0	0.014018691588785	0.00467289719626168	0	0.00467289719626168	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0.15	0	0	0.01	0.04	0.05	0.05	0	0.01	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0.0517241379310345	0.0344827586206897	0	0.103448275862069	0.120689655172414	0.0517241379310345	0.0172413793103448	0.0344827586206897	0.0344827586206897	0.0172413793103448	0	0.0344827586206897	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0.0625	0.0625	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0.0625	0.0625	0	0	0.0625	0	0	0	0	0.0625	0	0	0.125	0.0625	0.0625
"Apodemus_flavicollis"	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.112903225806452	0.209677419354839	0.153225806451613	0	0	0.00806451612903226	0.00806451612903226	0.00806451612903226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0.0166666666666667	0.441666666666667	0	0.025	0	0.00833333333333333	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_wagneri"	0.382352941176471	0.0882352941176471	0	0.0294117647058824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_agyrtes"	0.0344827586206897	0.0517241379310345	0.258620689655172	0.103448275862069	0	0.0172413793103448	0.0344827586206897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.232142857142857	0.0357142857142857	0	0.125	0.107142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_segnis"	0.38	0.02	0	0.06	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_orientalis"	0.375	0.0625	0.0208333333333333	0.0208333333333333	0.0208333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.111111111111111	0.222222222222222	0.111111111111111	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.136363636363636	0	0.227272727272727	0.0909090909090909	0	0.0454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.05	0.15	0.25	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_mokrzeckyi"	0.4375	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.0833333333333333	0	0.0833333333333333	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0.3	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doratopsylla_dasycnema"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
