"Toddalia_asiatica"	"Aphloia_theiformis"	"Geniostoma_borbonicum"	"Sideroxylon_cinereum"	"Roussea_simplex"	"Psiadia_terebinthina"	"Croton_fothergillifolius"	"Erythroxylum_macrocarpum"	"Claoxylon_linostachys"	"Antirhea_borbonica"	"Dodonaea_viscosa"	"Molinaea_alternifolia"	"Stomorhina_lunata"	"Apis_mellifera"	"Pachycerina_crinicornis"	"Melanostoma_annulipes"	"Chrysomya_megacephala"	"Stomoxys_niger"	"Henotesia_narcissus"	"Stomoxys_calcitrans"	"Fannia_pusio"	"Brachymyrmex_sp1_M_PL_061"	"Musca_domestica"	"Chaetocnema_sp1_M_PL_061"	"Phorinia_sp1_M_PL_061"	"Allograpta_nasuta"	"Technomyrmex_albipes"	"Zosterops_mauritianus"	"Eristalinus_flaveolus"	"Polistes_hebraeus"	"Psilopa_iceryae"	"Leptotes_pirithous"	"Allograpta_sp1_M_PL_061"	"Melanagromyza_sojae"	"Nacoleia_sp1_M_PL_061"	"Lygistorrhina_sp1_M_PL_061"	"Sarcophaga_arno"	"Acopsis_viridicans"	"Atherigona_sp1_M_PL_061"	"Dasytinae_sp1_M_PL_061"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_061"	"Homoneura_sp1_M_PL_061"	"Nacoleia_sp2_M_PL_061"	"Orthellia_albigena"	"Paragus_borbonicus"	"Pelecophora_intemipta"	"Sapromyza_sp1_M_PL_061"	"Sepsis_lateralis"	"Unidentified_sp1_M_PL_061"
"Pachycerina_crinicornis"	0.245454545454545	0.00909090909090909	0.0909090909090909	0.0727272727272727	0.0545454545454545	0	0	0.0181818181818182	0	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanostoma_annulipes"	0.0694444444444444	0.138888888888889	0.138888888888889	0	0	0.0416666666666667	0	0.0416666666666667	0.0555555555555556	0	0	0.0138888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysomya_megacephala"	0.209677419354839	0.032258064516129	0.112903225806452	0.0483870967741935	0	0.0161290322580645	0.0806451612903226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stomoxys_niger"	0	0.0263157894736842	0.342105263157895	0.0789473684210526	0	0	0.0263157894736842	0.0263157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Henotesia_narcissus"	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.388888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stomoxys_calcitrans"	0	0.09375	0.125	0	0	0.1875	0.09375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fannia_pusio"	0.25	0.0357142857142857	0.0714285714285714	0.0357142857142857	0.0357142857142857	0.0357142857142857	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Brachymyrmex_sp1_M_PL_061"	0	0	0	0	0.166666666666667	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Musca_domestica"	0.0833333333333333	0	0.166666666666667	0	0.0416666666666667	0.0833333333333333	0.0833333333333333	0	0.0416666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chaetocnema_sp1_M_PL_061"	0.0454545454545455	0	0	0	0	0	0.272727272727273	0.136363636363636	0.0454545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
