"Nephrosperma_vanhoutteanum"	"Pittosporum_senacia"	"Chrysobalanus_icaco"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Paragenipa_wrightii"	"Northea_hornei"	"Phoenicophorium_borsigianum"	"Ixora_pudica"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp3_M_PL_123"	"Nectarinia_dussumieri"	"Ornidia_obesa"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Megachile_seychellensis"	"Phelsuma_sp1_M_PL_123"	"Neophyllomyza_approximatonervis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_123"	"Rhynchium_brunneum"	"Unidentified_sp5_M_PL_123"	"Polistes_olivaceus"	"Tricimba_seychellensis"	"Chalcidoma_disjunctum"	"Dichaetomyia_fasciculifera"	"Eagris_sabadius"	"Eristalinus_vicarians"	"Hemipyrellia_sp1_M_PL_123"	"Lampides_boeticus"	"Mabuya_sechellensis"	"Scaptodrosophila_sp1_M_PL_123"	"Unidentified_sp1_M_PL_123"	"Unidentified_sp4_M_PL_123"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0.118279569892473	0.145161290322581	0.112903225806452	0	0	0	0.021505376344086	0.021505376344086	0.010752688172043	0.021505376344086	0.0161290322580645	0	0	0.010752688172043	0	0.010752688172043	0	0.00537634408602151	0	0	0.00537634408602151	0	0	0	0	0
"Pittosporum_senacia"	0	0	0	0	0	0	0	0	0	0.302469135802469	0.037037037037037	0	0.00617283950617284	0.0555555555555556	0.0308641975308642	0.00617283950617284	0.0308641975308642	0	0	0	0.0123456790123457	0	0	0	0	0	0	0	0.00617283950617284	0	0.00617283950617284	0.00617283950617284	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0	0	0.384615384615385	0.00641025641025641	0	0.0192307692307692	0.0128205128205128	0.0384615384615385	0	0	0	0	0	0	0.0192307692307692	0	0.0128205128205128	0	0	0	0.00641025641025641	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0.202702702702703	0.243243243243243	0	0	0	0	0	0	0	0	0	0.027027027027027	0	0	0	0	0.0135135135135135	0	0	0	0	0	0	0	0.0135135135135135	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0.264705882352941	0.161764705882353	0	0.0294117647058824	0.0294117647058824	0	0.0147058823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0.21875	0.234375	0	0.03125	0	0	0	0	0.015625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Northea_hornei"	0	0	0	0	0	0	0	0	0	0.14	0	0	0.2	0	0.02	0	0	0.1	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0.0625	0.15625	0	0	0	0	0.15625	0	0.03125	0	0.03125	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0.03125
"Ixora_pudica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
"Apis_mellifera"	0.0588235294117647	0.131016042780749	0.160427807486631	0.0401069518716578	0.0481283422459893	0.0374331550802139	0.018716577540107	0.0053475935828877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
