"Spermophilus_undulatus"	"Marmota_sibirica"	"Lasiopodomys_brandtii"	"Alticola_semicanus"	"Allocricetulus_curtatus"	"Cricetulus_barabensis"	"Allactaga_sibirica"	"Meriones_meridianus"	"Ellobius_tancrei"	"Phodopus_sungorus"	"Microtus_gregalis"	"Eolagurus_przewalskii"	"Dipus_sagitta"	"Meriones_unguiculatus"	"Sciurus_vulgaris"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Citellophilus_tesquorum"	"Oropsylla_silantiewi"	"Amphipsylla_primaris"	"Frontopsylla_elatoides"	"Rhadinopsylla_li"	"Oropsylla_alaskensis"	"Neopsylla_mana"	"Frontopsylla_hetera"	"Paradoxopsyllus_dashidorzhii"	"Neopsylla_pleskei"	"Paradoxopsyllus_scorodumovi"	"Amphipsylla_vinogradovi"	"Amalaraeus_penicilliger"	"Paramonopsyllus_scalonae"	"Frontopsylla_elata"	"Ctenophyllus_hirticrus"	"Nosopsyllus_laeviceps"	"Rhadinopsylla_dahurica"	"Ophthalmopsylla_praefecta"	"Neopsylla_abagaitui"	"Frontopsylla_wagneri"	"Ophthalmopsylla_kiritschenkovi"	"Amphipsylla_dumalis"	"Neopsylla_bidentatiformis"	"Amphipsylla_longispina"	"Callopsylla_caspia"	"Pectinoctenus_pavlovskii"	"Neopsylla_galea"	"Amphalius_runatus"	"Paradoxopsyllus_kalabukhovi"	"Wagnerina_longicauda"	"Paradoxopsyllus_integer"	"Tarsopsylla_octodecimdentata"	"Rhadinopsylla_rothschildi"	"Amphipsylla_kuznetzovi"	"Ceratophyllus_indages"	"Megabothris_rectangulatus"	"Rhadinopsylla_altaica"	"Rhadinopsylla_pseudodahurica"	"Xenopsylla_conformis"
"Spermophilus_undulatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.324987806860673	0.000162575191025849	0.000650300764103398	0.0494228580718582	0.0482848317346773	0.0454397658917249	0.0082100471468054	0.0144691920013006	0	0.000162575191025849	0.000162575191025849	0.000243862786538774	0	0	0	0.00292635343846529	0	0.000162575191025849	0	0.00292635343846529	0	0	0	0.000243862786538774	0	0	0	0	0.00138188912371972	0	0	0	0	0	0.000162575191025849	0	0	0	0	0
"Marmota_sibirica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00350701402805611	0.490981963927856	0.000501002004008016	0	0.000501002004008016	0	0.000751503006012024	0.00275551102204409	0.000501002004008016	0.000501002004008016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasiopodomys_brandtii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000816326530612245	0	0.227755102040816	0	0	0	0.124489795918367	0.0436734693877551	0	0.0575510204081633	0.00285714285714286	0	0.0346938775510204	0	0	0.00122448979591837	0	0.00448979591836735	0	0	0	0	0	0	0	0	0	0.000816326530612245	0	0	0	0	0	0.00163265306122449	0	0	0	0	0	0
"Alticola_semicanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00472589792060491	0	0.173913043478261	0	0	0	0.00378071833648393	0.00850661625708885	0.0207939508506616	0.00945179584120983	0.102079395085066	0	0	0.0623818525519849	0.0472589792060491	0.00661625708884688	0	0.0207939508506616	0	0	0	0	0	0	0.00189035916824197	0.0217391304347826	0	0	0.00189035916824197	0	0.0103969754253308	0	0	0.00189035916824197	0	0	0	0	0.00189035916824197	0
"Allocricetulus_curtatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0.427272727272727	0.00681818181818182	0.00909090909090909	0	0	0	0.00454545454545455	0	0	0	0	0	0	0	0	0	0.00454545454545455	0	0.0227272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cricetulus_barabensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225988700564972	0.0395480225988701	0	0	0	0.285310734463277	0	0	0	0	0	0	0	0	0	0	0	0.076271186440678	0.00564971751412429	0	0.0254237288135593	0.0282485875706215	0	0	0	0.0169491525423729	0	0	0	0	0	0	0	0
"Allactaga_sibirica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117647058823529	0	0	0.0176470588235294	0.0176470588235294	0	0	0	0	0	0	0	0	0	0	0.217647058823529	0	0.194117647058824	0	0	0	0.0294117647058824	0	0.0117647058823529	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_meridianus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0350877192982456	0	0	0	0	0	0	0.271929824561404	0	0	0	0	0.0263157894736842	0	0	0	0	0	0	0	0.149122807017544	0	0	0	0	0	0	0	0	0	0.0175438596491228
"Ellobius_tancrei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phodopus_sungorus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0344827586206897	0	0	0	0	0.0517241379310345	0	0	0	0	0	0	0	0	0	0.0517241379310345	0	0	0	0	0	0	0.189655172413793	0	0	0.137931034482759	0	0	0	0	0	0.0344827586206897	0	0	0	0	0	0
