"Nephrosperma_vanhoutteanum"	"Chrysobalanus_icaco"	"Mimusops_sechellarum"	"Memecylon_eleagni"	"Dillenia_suffruticosa"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_125"	"Lygistorrhina_sp1_M_PL_125"	"Ornidia_obesa"	"Xylocopa_caffra"	"Nectarinia_dussumieri"	"Rhynchium_brunneum"	"Unidentified_sp2_M_PL_125"	"Unidentified_sp3_M_PL_125"	"Unidentified_sp4_M_PL_125"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0.18	0.253333333333333	0.0533333333333333	0	0	0	0	0	0.00666666666666667	0.00666666666666667	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0.421875	0	0.03125	0	0.03125	0	0	0.015625	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0.0625	0.0625	0	0.3125	0	0	0.0625	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
"Dillenia_suffruticosa"	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"Apis_mellifera"	0.232758620689655	0.232758620689655	0.00862068965517241	0.0258620689655172	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.487179487179487	0	0.0128205128205128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_125"	0.4	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_125"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhynchium_brunneum"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_125"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_125"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_125"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
