"Microtus_arvalis"	"Apodemus_sylvaticus"	"Prometheomys_schaposchnikowi"	"Apodemus_mystacinus"	"Microtus_majori"	"Dryomys_nitedula"	"Cricetulus_migratorius"	"Sorex_araneus"	"Chionomys_nivalis"	"Myoxus_glis"	"Ctenophthalmus_proximus"	"Ctenophthalmus_hypanis"	"Ctenophthalmus_inornatus"	"Megabothris_turbidus"	"Ctenophthalmus_shovi"	"Amphipsylla_rossica"	"Myoxopsylla_jordani"	"Nosopsyllus_fasciatus"	"Leptopsylla_segnis"	"Leptopsylla_taschenbergi"	"Hystrichopsylla_talpae"	"Amphipsylla_georgica"	"Hystrichopsylla_satunini"	"Rhadinopsylla_integella"	"Ceratophyllus_sciurorum"	"Amalaraeus_penicilliger"	"Ctenophthalmus_euxinicus"	"Palaeopsylla_caucasica"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0.00182481751824818	0.239051094890511	0.00821167883211679	0.107664233576642	0.0328467153284672	0.0958029197080292	0	0	0	0	0.0118613138686131	0	0	0	0	0.00273722627737226	0	0
"Apodemus_sylvaticus"	0	0	0	0	0	0	0	0	0	0	0.307471264367816	0.00766283524904215	0.0028735632183908	0.0383141762452107	0.0431034482758621	0.00383141762452107	0.00383141762452107	0.028735632183908	0.0181992337164751	0.0268199233716475	0.0028735632183908	0.00191570881226054	0.00478927203065134	0.0028735632183908	0.00383141762452107	0	0	0.0028735632183908
"Prometheomys_schaposchnikowi"	0	0	0	0	0	0	0	0	0	0	0	0.0114503816793893	0.475190839694656	0.00381679389312977	0	0.00954198473282443	0	0	0	0	0	0	0	0	0	0	0	0
"Apodemus_mystacinus"	0	0	0	0	0	0	0	0	0	0	0.2890625	0.01171875	0	0.01171875	0.05078125	0	0.0078125	0.05859375	0.04296875	0	0	0	0.015625	0	0	0	0.01171875	0
"Microtus_majori"	0	0	0	0	0	0	0	0	0	0	0.129807692307692	0.0192307692307692	0	0.129807692307692	0.163461538461538	0.0144230769230769	0	0	0.0192307692307692	0	0.00961538461538462	0	0.0144230769230769	0	0	0	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116279069767442	0	0	0.488372093023256	0	0	0	0	0	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0.0425531914893617	0.0425531914893617	0.170212765957447	0	0.106382978723404	0	0	0	0	0	0.138297872340426	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0.34375	0	0	0	0.09375	0	0	0	0.0625	0	0	0	0	0	0	0	0	0
"Chionomys_nivalis"	0	0	0	0	0	0	0	0	0	0	0	0.0909090909090909	0.136363636363636	0.0909090909090909	0	0.0909090909090909	0	0	0	0	0	0	0	0.0909090909090909	0	0	0	0
"Myoxus_glis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_proximus"	0.00229885057471264	0.368965517241379	0	0.0850574712643678	0.0310344827586207	0	0	0.0126436781609195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_hypanis"	0.453287197231834	0.013840830449827	0.0103806228373702	0.00519031141868512	0.0069204152249135	0	0.0069204152249135	0	0.00346020761245675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_inornatus"	0.0167910447761194	0.00559701492537313	0.46455223880597	0	0	0	0.00746268656716418	0	0.00559701492537313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.280952380952381	0.0952380952380952	0.00476190476190476	0.00714285714285714	0.0642857142857143	0.00476190476190476	0.0380952380952381	0	0.00476190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_shovi"	0.137404580152672	0.17175572519084	0	0.049618320610687	0.129770992366412	0	0	0.0114503816793893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0.406976744186047	0.0155038759689922	0.0193798449612403	0	0.0116279069767442	0	0.0387596899224806	0	0.00775193798449612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myoxopsylla_jordani"	0	0.0212765957446809	0	0.0106382978723404	0	0.446808510638298	0	0	0	0.0212765957446809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
