"Rhombomys_opimus"	"Meriones_meridianus"	"Meriones_libycus"	"Spermophilus_fulvus"	"Meriones_tamariscinus"	"Allactaga_elater"	"Dipus_sagitta"	"Cricetulus_migratorius"	"Ellobius_talpinus"	"Spermophilopsis_leptodactylus"	"Pygeretmus_pumilio"	"Diplomesodon_pulchellum"	"Microtus_socialis"	"Crocidura_suaveolens"	"Allactaga_major"	"Allactaga_severtzovi"	"Eremodipus_lichtensteini"	"Xenopsylla_gerbilli"	"Coptopsylla_lamellifer"	"Nosopsyllus_laeviceps"	"Xenopsylla_conformis"	"Xenopsylla_skrjabini"	"Echidnophaga_oschanini"	"Ctenophthalmus_dolichus"	"Citellophilus_trispinus"	"Neopsylla_setosa"	"Nosopsyllus_turkmenicus"	"Rhadinopsylla_cedestis"	"Stenoponia_conspecta"	"Xenopsylla_hirtipes"	"Stenoponia_vlasovi"	"Oropsylla_ilovaiskii"	"Nosopsyllus_tersus"	"Nosopsyllus_aralis"	"Rostropsylla_daca"	"Mesopsylla_lenis"	"Mesopsylla_tuschkan"	"Desertopsylla_rothschildi"	"Ophthalmopsylla_volgensis"	"Frontopsylla_macrophthalma"	"Amphipsylla_rossica"	"Synosternus_longispinus"	"Mesopsylla_eucta"	"Paradoxopsyllus_repandus"	"Leptopsylla_nana"	"Mesopsylla_hebes"	"Nosopsyllus_fidus"
"Rhombomys_opimus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420857877974045	0.0339913914244414	0.0182821502917172	0.00592292546616363	0.00661749014523448	0.00626316149736065	0.00315875936655701	0.000334196338335541	0.000356341878827655	0.000589876669471768	0.00126632226995817	0.000605982517102397	0.000674432369532568	0.000547598819441369	0.000122807088183542	0.000275812640674513	9.86483167375995e-05	1.40926166767999e-05	4.02646190765712e-06	0	0	0	0	0	1.00661547691428e-05	0	6.03969286148568e-06	0	0	0
"Meriones_meridianus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313645797301972	0.0182462815634728	0.11293670010377	0.0309581459702525	0	0	0.00735039778623314	0.000259425804219993	0	0.0137495676236596	0	0.00181598062953995	0	0.000605326876513317	0	0.000259425804219993	0.000172950536146662	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_libycus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00678661616161616	0.0110479797979798	0.112531565656566	0.310921717171717	0.00331439393939394	0	0	0.0118371212121212	0.00426136363636364	0.0252525252525253	0.00773358585858586	0.00347222222222222	0.000315656565656566	0.00126262626262626	0.000473484848484848	0.000473484848484848	0.000315656565656566	0	0	0	0	0	0	0	0	0	0	0	0	0
"Spermophilus_fulvus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0500417014178482	0.000417014178482068	0.00521267723102585	0.00625521267723103	0.000417014178482068	0.00187656380316931	0	0.272935779816514	0.130733944954128	0	0	0	0.00187656380316931	0	0.0289824854045038	0	0	0	0	0	0	0	0.00125104253544621	0	0	0	0	0	0	0
"Meriones_tamariscinus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0609756097560976	0.100430416068867	0.0286944045911047	0.126255380200861	0	0	0.00143472022955524	0	0	0.114060258249641	0	0.0121951219512195	0	0.00430416068866571	0	0	0.0516499282639885	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allactaga_elater"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0852272727272727	0.0170454545454545	0.0738636363636364	0.0227272727272727	0	0.0227272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0.153409090909091	0.0227272727272727	0	0.0340909090909091	0.0340909090909091	0	0.0170454545454545	0.0170454545454545	0	0	0	0
"Dipus_sagitta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1875	0.01875	0.01875	0.14375	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11875	0	0	0	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169491525423729	0.0677966101694915	0.127118644067797	0.0508474576271186	0	0.0423728813559322	0.0169491525423729	0	0.0254237288135593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ellobius_talpinus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463636363636364	0	0	0	0	0.0181818181818182	0	0	0	0	0.0181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Spermophilopsis_leptodactylus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46875	0	0	0	0	0	0	0	0	0	0	0	0
