"Clethrionomys_rutilus"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Sorex_caecutiens"	"Sorex_arcticus"	"Sciurus_vulgaris"	"Sorex_daphaenodon"	"Alticola_macrotis"	"Lemmus_sibiricus"	"Spermophilus_parryii"	"Sorex_cinereus"	"Sorex_minutissimus"	"Sorex_roboratus"	"Megabothris_advenarius"	"Catallagia_dacenkoi"	"Corrodopsylla_birulai"	"Megabothris_calcarifer"	"Amalaraeus_penicilliger"	"Ceratophyllus_indages"	"Catallagia_ioffi"	"Tarsopsylla_octodecimdentata"	"Oropsylla_alaskensis"	"Megabothris_beljaevi"	"Amphipsylla_marikovskii"	"Rhadinopsylla_pseudodahurica"	"Peromyscopsylla_ostsibirica"	"Ctenophyllus_armatus"	"Neopsylla_acanthina"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231117824773414	0.0725075528700906	0.00302114803625378	0.0181268882175227	0.113293051359517	0	0.0377643504531722	0	0	0	0.00755287009063444	0.00906344410876133	0.00453172205438067	0	0.00302114803625378
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0268595041322314	0.231404958677686	0.0309917355371901	0.161157024793388	0.0330578512396694	0	0.00413223140495868	0	0	0	0.012396694214876	0	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185606060606061	0.128787878787879	0	0.0378787878787879	0.0416666666666667	0	0.0492424242424242	0	0	0	0.0151515151515152	0.0303030303030303	0.0113636363636364	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0	0	0	0	0.388888888888889	0.0476190476190476	0	0	0	0	0	0.0238095238095238	0.0158730158730159	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181818181818182	0.0181818181818182	0.463636363636364	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_arcticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326086956521739	0	0.467391304347826	0	0	0	0	0	0	0
"Sorex_daphaenodon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188888888888889	0.177777777777778	0.133333333333333	0	0	0	0	0	0	0	0	0	0	0
"Alticola_macrotis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0.0476190476190476	0	0	0.107142857142857	0	0.0595238095238095	0	0	0.25	0	0	0	0	0
"Lemmus_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0357142857142857	0	0.380952380952381	0	0	0	0	0	0	0	0	0	0	0
"Spermophilus_parryii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
"Sorex_cinereus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_minutissimus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_roboratus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_advenarius"	0.332608695652174	0.0282608695652174	0.106521739130435	0.00652173913043478	0.00434782608695652	0	0	0	0.00652173913043478	0.0152173913043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.107142857142857	0.25	0.0758928571428571	0	0.00446428571428571	0	0	0.0379464285714286	0.00892857142857143	0.00669642857142857	0	0	0.00446428571428571	0.00446428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.00694444444444444	0.0520833333333333	0	0	0.177083333333333	0.1875	0	0.0555555555555556	0	0	0	0.0208333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0.0416666666666667	0.270833333333333	0.0347222222222222	0	0	0	0	0.0416666666666667	0	0.111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.337837837837838	0.0720720720720721	0.0495495495495495	0	0	0	0	0	0.0405405405405405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0	0	0	0.471153846153846	0	0	0.0288461538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0.245098039215686	0.0196078431372549	0.127450980392157	0.0588235294117647	0	0	0	0	0.0490196078431373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tarsopsylla_octodecimdentata"	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_alaskensis"	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_beljaevi"	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_marikovskii"	0.166666666666667	0.2	0.133333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_pseudodahurica"	0.214285714285714	0	0.285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_ostsibirica"	0.166666666666667	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophyllus_armatus"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_acanthina"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
