"Microtus_arvalis"	"Sorex_araneus"	"Neomys_fodiens"	"Clethrionomys_glareolus"	"Talpa_europaea"	"Microtus_agrestis"	"Arvicola_terrestris"	"Sorex_minutus"	"Apodemus_uralensis"	"Apodemus_agrarius"	"Sicista_betulina"	"Sorex_minutissimus"	"Apodemus_flavicollis"	"Micromys_minutus"	"Crocidura_suaveolens"	"Palaeopsylla_soricis"	"Ctenophthalmus_assimilis"	"Amphipsylla_rossica"	"Ctenophthalmus_agyrtes"	"Doratopsylla_dasycnema"	"Megabothris_turbidus"	"Ctenophthalmus_uncinatus"	"Hystrichopsylla_talpae"	"Amalaraeus_penicilliger"	"Megabothris_rectangulatus"	"Ctenophthalmus_bisoctodentatus"	"Amphipsylla_vinogradovi"	"Paradoxopsyllus_scorodumovi"	"Leptopsylla_segnis"	"Peromyscopsylla_bidentata"	"Peromyscopsylla_silvatica"	"Nosopsyllus_fasciatus"	"Rhadinopsylla_integella"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0400858983536149	0.205977093772369	0.150143163922691	0.0261274158911954	0.00232641374373658	0.0366857551896922	0.0105583392984968	0.0105583392984968	0.00805297065139585	0.00608446671438797	0.000536864710093057	0.000536864710093057	0.000357909806728704	0.000894774516821761	0.000715819613457409	0.000357909806728704	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358537806710065	0.0262894341512268	0.0107661492238358	0.00876314471707561	0.0528292438657987	0.0085127691537306	0.00450676014021032	0.0250375563345018	0.000751126690035053	0.00150225338007011	0	0.000751126690035053	0.000500751126690035	0.00125187781672509	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.401877133105802	0.0261660978384528	0.00113765642775882	0.00227531285551763	0.0517633674630262	0.00910125142207053	0.00170648464163823	0.00398179749715586	0	0	0.000568828213879408	0.000853242320819113	0.000568828213879408	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0440456769983687	0.104404567699837	0.0269168026101142	0.0774877650897227	0.00734094616639478	0.0203915171288744	0.0889070146818923	0.0187601957585644	0.0562805872756933	0.0350734094616639	0.000815660685154976	0.00244698205546493	0.00163132137030995	0.00244698205546493	0.00407830342577488	0.00734094616639478	0	0.00163132137030995
"Talpa_europaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0934959349593496	0.115176151761518	0.0176151761517615	0.116531165311653	0.0176151761517615	0.0040650406504065	0.037940379403794	0.0203252032520325	0	0	0.0704607046070461	0.0040650406504065	0.002710027100271	0	0	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0324858757062147	0.101694915254237	0.018361581920904	0.0918079096045198	0.00423728813559322	0.101694915254237	0.0508474576271186	0.0367231638418079	0.0211864406779661	0.0254237288135593	0.00141242937853107	0.00423728813559322	0.00282485875706215	0.00423728813559322	0.00282485875706215	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297397769516729	0.163568773234201	0.016728624535316	0.156133828996283	0	0.107806691449814	0	0.00743494423791822	0.00743494423791822	0	0.00185873605947955	0.00557620817843866	0.00371747211895911	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321428571428571	0.0595238095238095	0.0416666666666667	0	0.0238095238095238	0.0119047619047619	0	0.0119047619047619	0	0	0	0.0178571428571429	0.0119047619047619	0	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.1171875	0	0.125	0	0.0234375	0.0546875	0.015625	0	0.078125	0	0.0234375	0.015625	0	0	0	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241935483870968	0.233870967741935	0.0806451612903226	0.0725806451612903	0	0	0	0.032258064516129	0	0	0	0.0241935483870968	0.0161290322580645	0	0	0	0.0161290322580645	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137931034482759	0.120689655172414	0	0.120689655172414	0	0	0.0344827586206897	0	0	0	0	0.0517241379310345	0.0344827586206897	0	0	0	0	0
