"Hamelia_versicolor"	"Vitex_mollis"	"Combretum_farinosum"	"Ipomoea_bracteata"	"Mirabilis_sp1_M_PL_065"	"Ipomoea_wolcottiana"	"Opuntia_excelsa"	"Nopalea_karwinskiana"	"Ceiba_aesculifolia"	"Caesalpinia_pulcherrima"	"Cordia_seleriana"	"Psittacanthus_calyculatus"	"Tillandsia_bartramii"	"Pithecellobium_mangens"	"Tillandsia_paucifolia"	"Tillandsia_dasyrifolia"	"Groton_suberosus"	"Justicia_mexicana"	"Erythrina_lanata"	"Ipomoea_quamoclit"	"Tabebuia_donnell-smithii"	"Amazilia_rutila"	"Chlorostilbon_canivetii"	"Cynanthus_latirostris"	"Heliomaster_constantii"	"Archilochus_colubris"
"Hamelia_versicolor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.262295081967213	0.147044212617983	0.0804769001490313	0.0101838052657725	0
"Vitex_mollis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136914165350184	0.486308583464982	0	0	0
"Combretum_farinosum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.326831588962892	0.0637488106565176	0.10941960038059	0	0
"Ipomoea_bracteata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377697841726619	0	0.0892086330935252	0.0244604316546763	0.00863309352517986
"Mirabilis_sp1_M_PL_065"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
"Ipomoea_wolcottiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0484210526315789	0	0.295789473684211	0	0.155789473684211
"Opuntia_excelsa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44272076372315	0.00238663484486874	0	0.0548926014319809	0
"Nopalea_karwinskiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0753968253968254	0	0	0.424603174603175	0
"Ceiba_aesculifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280730897009967	0	0.0415282392026578	0.177740863787375	0
"Caesalpinia_pulcherrima"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Cordia_seleriana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148648648648649	0.351351351351351	0	0	0
"Psittacanthus_calyculatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141304347826087	0	0	0	0.358695652173913
"Tillandsia_bartramii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Pithecellobium_mangens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
"Tillandsia_paucifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454545454545455	0	0.0404040404040404	0.00505050505050505	0
"Tillandsia_dasyrifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Groton_suberosus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Justicia_mexicana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152173913043478	0	0.347826086956522	0	0
"Erythrina_lanata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
"Ipomoea_quamoclit"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.1	0	0
"Tabebuia_donnell-smithii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
"Amazilia_rutila"	0.143947655398037	0.00708833151581243	0.0936477644492912	0.0715648854961832	0	0.00627044711014177	0.0505725190839695	0.00776990185387132	0.0230370774263904	0.0331243184296619	0.00749727371864776	0.00531624863685932	0.0162213740458015	0	0.01226826608506	0.0115866957470011	0.0079062159214831	0.00190839694656489	0	0.000272628135223555	0	0	0	0	0	0
"Chlorostilbon_canivetii"	0.105300604766987	0.328530771967271	0.023834934187122	0	0	0	0.000355745286374956	0	0	0	0.0231234436143721	0	0	0.0184987548914977	0	0	0	0	0	0.000355745286374956	0	0	0	0	0	0
"Cynanthus_latirostris"	0.0980629539951574	0	0.0696125907990315	0.0375302663438257	0.189769975786925	0.0850484261501211	0	0	0.00756658595641646	0	0	0	0	0	0.00242130750605327	0	0	0.00968523002421308	0	0.000302663438256659	0	0	0	0	0	0
"Heliomaster_constantii"	0.0367383512544803	0	0	0.0304659498207885	0	0	0.0412186379928315	0.287634408602151	0.0958781362007168	0	0	0	0	0	0.000896057347670251	0	0	0	0.00448028673835125	0	0.00268817204301075	0	0	0	0	0
"Archilochus_colubris"	0	0	0	0.0231660231660232	0	0.285714285714286	0	0	0	0	0	0.191119691119691	0	0	0	0	0	0	0	0	0	0	0	0	0	0
