"Clethrionomys_rutilus"	"Spermophilus_undulatus"	"Microtus_gregalis"	"Tamias_sibiricus"	"Microtus_oeconomus"	"Myopus_schisticolor"	"Sorex_araneus"	"Sciurus_vulgaris"	"Citellophilus_tesquorum"	"Megabothris_advenarius"	"Catallagia_ioffi"	"Amphipsylla_primaris"	"Catallagia_dacenkoi"	"Frontopsylla_luculenta"	"Amalaraeus_penicilliger"	"Megabothris_calcarifer"	"Ceratophyllus_indages"	"Corrodopsylla_birulai"	"Megabothris_rectangulatus"	"Oropsylla_alaskensis"	"Ceratophyllus_paradoxus"	"Amphipsylla_marikovskii"	"Neopsylla_mana"	"Rhadinopsylla_dahurica"	"Rhadinopsylla_pseudodahurica"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0.140277777777778	0.131944444444444	0.0333333333333333	0.0972222222222222	0.00277777777777778	0.0486111111111111	0	0.00277777777777778	0.00972222222222222	0.0111111111111111	0	0.0125	0.00416666666666667	0	0.00277777777777778	0.00277777777777778
"Spermophilus_undulatus"	0	0	0	0	0	0	0	0	0.358173076923077	0	0	0	0	0.0913461538461538	0	0	0	0.0144230769230769	0.00480769230769231	0.03125	0	0	0	0	0
"Microtus_gregalis"	0	0	0	0	0	0	0	0	0	0.0878378378378378	0.0371621621621622	0.165540540540541	0	0.0540540540540541	0.0304054054054054	0.0709459459459459	0	0	0.0439189189189189	0	0	0	0.0101351351351351	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	0	0	0.0212765957446809	0	0	0	0	0.0319148936170213	0.361702127659574	0.0638297872340425	0.0212765957446809	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0.105263157894737	0.0263157894736842	0.0526315789473684	0	0	0.0526315789473684	0.236842105263158	0	0	0.0263157894736842	0	0	0	0	0	0
"Myopus_schisticolor"	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0.15	0	0.15	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Citellophilus_tesquorum"	0	0.486928104575163	0	0	0	0	0.0130718954248366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_advenarius"	0.374074074074074	0	0.0962962962962963	0	0.0296296296296296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0.431818181818182	0	0.05	0.00909090909090909	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_primaris"	0.155844155844156	0	0.318181818181818	0	0.025974025974026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.466666666666667	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_luculenta"	0.0178571428571429	0.339285714285714	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.364583333333333	0	0.09375	0	0.0416666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0	0	0.25	0.0357142857142857	0.214285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0.0263157894736842	0	0	0.447368421052632	0	0	0	0.0263157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.12962962962963	0.111111111111111	0	0.111111111111111	0	0.0925925925925926	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.148148148148148	0.037037037037037	0.240740740740741	0.037037037037037	0.037037037037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_alaskensis"	0	0.40625	0	0	0	0	0.09375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_paradoxus"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_marikovskii"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_mana"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_dahurica"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_pseudodahurica"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
