"Clethrionomys_rutilus"	"Clethrionomys_glareolus"	"Microtus_agrestis"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Myopus_schisticolor"	"Arvicola_terrestris"	"Neomys_fodiens"	"Sicista_betulina"	"Megabothris_rectangulatus"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_uncinatus"	"Amalaraeus_penicilliger"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Rhadinopsylla_integella"	"Palaeopsylla_soricis"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0.230698529411765	0.128676470588235	0.0652573529411765	0.0523897058823529	0.015625	0	0.00551470588235294	0.00183823529411765
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0.129411764705882	0.2	0.0647058823529412	0.0794117647058823	0.0147058823529412	0.00588235294117647	0	0.00588235294117647
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0.297752808988764	0.050561797752809	0.0955056179775281	0.0168539325842697	0.0280898876404494	0.0112359550561798	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0.188888888888889	0.0777777777777778	0.0888888888888889	0.0777777777777778	0.0666666666666667	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0.117647058823529	0.0882352941176471	0.0882352941176471	0.205882352941176	0	0	0	0
"Myopus_schisticolor"	0	0	0	0	0	0	0	0	0	0.357142857142857	0	0	0	0.142857142857143	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0.3	0	0	0.2	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.331134564643799	0.0580474934036939	0.0699208443271768	0.0224274406332454	0.00527704485488127	0.00659630606860158	0.00395778364116095	0	0.00263852242744063	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0.308370044052863	0.149779735682819	0.0198237885462555	0.0154185022026432	0.0066079295154185	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_uncinatus"	0.293388429752066	0.0909090909090909	0.0702479338842975	0.0330578512396694	0.012396694214876	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.276699029126214	0.131067961165049	0.0145631067961165	0.0339805825242718	0.0339805825242718	0	0.00970873786407767	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.242857142857143	0.0714285714285714	0.0714285714285714	0.0857142857142857	0	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0	0.111111111111111	0.111111111111111	0	0	0	0	0.277777777777778	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
