"Nephrosperma_vanhoutteanum"	"Nepenthes_pervillei"	"Erythroxylum_sechellarum"	"Psychotria_pervillei"	"Canthium_bibracteatum"	"Dillenia_suffruticosa"	"Paragenipa_wrightii"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Roscheria_melanochaetes"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_sp1_M_PL_127"	"Xylocopa_caffra"	"Lygistorrhina_sp1_M_PL_127"	"Megachile_seychellensis"	"Unidentified_sp1_M_PL_127"	"Cratopus_aurostriatus"	"Eristalinus_vicarians"	"Leptotes_pirithous"	"Unidentified_sp2_M_PL_127"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0.262295081967213	0.19672131147541	0	0	0.0163934426229508	0.0163934426229508	0	0	0	0	0.00819672131147541
"Nepenthes_pervillei"	0	0	0	0	0	0	0	0	0	0	0.2	0	0.225	0	0.025	0	0	0	0.025	0.025	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0.285714285714286	0.142857142857143	0	0	0	0	0.0714285714285714	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0.15	0.35	0	0	0	0	0	0	0	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0	0	0	0.428571428571429	0	0	0	0.0714285714285714	0	0	0	0	0	0
"Dillenia_suffruticosa"	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0	0	0.428571428571429	0	0	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
"Apis_mellifera"	0.207792207792208	0.051948051948052	0.051948051948052	0.0194805194805195	0.038961038961039	0.00649350649350649	0.0454545454545455	0.038961038961039	0.038961038961039	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.342857142857143	0	0.0571428571428571	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_127"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_127"	0.25	0.125	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_127"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
"Eristalinus_vicarians"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptotes_pirithous"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_127"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
