"Sorex_araneus"	"Neomys_fodiens"	"Microtus_oeconomus"	"Microtus_arvalis"	"Clethrionomys_glareolus"	"Clethrionomys_rutilus"	"Sorex_minutus"	"Apodemus_speciosus"	"Apodemus_agrarius"	"Sicista_subtilis"	"Arvicola_terrestris"	"Sorex_arcticus"	"Sorex_daphaenodon"	"Micromys_minutus"	"Talpa_europaea"	"Microtus_gregalis"	"Microtus_agrestis"	"Cricetus_cricetus"	"Sorex_caecutiens"	"Clethrionomys_rufocanus"	"Sorex_isodon"	"Tamias_sibiricus"	"Sorex_minutissimus"	"Neopsylla_mana"	"Ctenophthalmus_assimilis"	"Megabothris_rectangulatus"	"Amalaraeus_penicilliger"	"Palaeopsylla_soricis"	"Hystrichopsylla_talpae"	"Frontopsylla_elata"	"Megabothris_turbidus"	"Ceratophyllus_indages"
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.409967845659164	0.0409967845659164	0.00803858520900321	0.00401929260450161	0.0209003215434084	0.0144694533762058	0	0.00160771704180064	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.305084745762712	0.152542372881356	0.00847457627118644	0.00564971751412429	0.0282485875706215	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0273972602739726	0.150684931506849	0.181506849315068	0.089041095890411	0.0205479452054795	0.0308219178082192	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0520833333333333	0.208333333333333	0.104166666666667	0.0520833333333333	0.0173611111111111	0.0104166666666667	0.0208333333333333	0.0347222222222222	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116541353383459	0.116541353383459	0.116541353383459	0.056390977443609	0.0300751879699248	0.0300751879699248	0.0112781954887218	0.0225563909774436	0
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0803571428571429	0.120535714285714	0.120535714285714	0.0803571428571429	0.0401785714285714	0.0223214285714286	0.0133928571428571	0.0223214285714286	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394736842105263	0.0631578947368421	0.0263157894736842	0	0.0157894736842105	0	0	0	0
"Apodemus_speciosus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0747126436781609	0.14367816091954	0.0344827586206897	0.0344827586206897	0.0114942528735632	0.0747126436781609	0.109195402298851	0.0172413793103448	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0641025641025641	0.128205128205128	0.0641025641025641	0.0128205128205128	0.128205128205128	0.0192307692307692	0.0641025641025641	0.0192307692307692	0
"Sicista_subtilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282258064516129	0.0725806451612903	0.0403225806451613	0	0	0.0483870967741935	0.0564516129032258	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0327868852459016	0.0655737704918033	0.10655737704918	0.278688524590164	0	0.0163934426229508	0	0	0
"Sorex_arcticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.458333333333333	0.0166666666666667	0	0	0.025	0	0	0	0
"Sorex_daphaenodon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.425925925925926	0	0	0	0.0740740740740741	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.125	0	0.125	0	0	0.125	0
"Talpa_europaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230769230769231	0.192307692307692	0	0.0512820512820513	0	0.0256410256410256	0	0	0
"Microtus_gregalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0.234375	0.078125	0.078125	0.03125	0.046875	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0476190476190476	0.119047619047619	0.166666666666667	0.0476190476190476	0.119047619047619	0	0	0	0
"Cricetus_cricetus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181818181818182	0	0.0909090909090909	0.0909090909090909	0	0.136363636363636	0	0	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277777777777778	0.222222222222222	0	0	0	0	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0	0.166666666666667	0	0	0	0
"Sorex_isodon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"Sorex_minutissimus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
"Neopsylla_mana"	0.261270491803279	0.055327868852459	0.00409836065573771	0.0076844262295082	0.0158811475409836	0.00922131147540984	0.038422131147541	0.00665983606557377	0.00512295081967213	0.0179303278688525	0.00204918032786885	0.0281762295081967	0.0235655737704918	0.00512295081967213	0.00922131147540984	0.00102459016393443	0.00102459016393443	0.00204918032786885	0.00256147540983607	0.00102459016393443	0.00256147540983607	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.06640625	0.0703125	0.0572916666666667	0.078125	0.0403645833333333	0.03515625	0.015625	0.0325520833333333	0.0260416666666667	0.01171875	0.0104166666666667	0.00260416666666667	0	0	0.01953125	0.01953125	0.00651041666666667	0	0.00520833333333333	0	0	0	0.00260416666666667	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.0228310502283105	0.00684931506849315	0.121004566210046	0.0684931506849315	0.0707762557077626	0.0616438356164384	0.0114155251141553	0.0136986301369863	0.0228310502283105	0.0114155251141553	0.0296803652968037	0	0	0.0228310502283105	0	0.0114155251141553	0.0159817351598174	0.0045662100456621	0	0.0045662100456621	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.0183823529411765	0.00735294117647059	0.0955882352941176	0.0551470588235294	0.0551470588235294	0.0661764705882353	0	0.0220588235294118	0.00735294117647059	0	0.125	0	0	0	0.0147058823529412	0.0183823529411765	0.00735294117647059	0.00735294117647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.109243697478992	0.0420168067226891	0.0252100840336134	0.0210084033613445	0.0336134453781513	0.0378151260504202	0.0126050420168067	0.00840336134453781	0.0840336134453782	0	0	0.0126050420168067	0.0336134453781513	0.0420168067226891	0	0.00840336134453781	0.0210084033613445	0	0	0.00840336134453781	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.12	0	0.06	0.02	0.0533333333333333	0.0333333333333333	0	0.0866666666666667	0.02	0.04	0.0133333333333333	0	0	0	0.0133333333333333	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0	0	0	0.0625	0.03125	0.03125	0	0.197916666666667	0.104166666666667	0.0729166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.0256410256410256	0	0	0.128205128205128	0.0769230769230769	0.0641025641025641	0	0.0384615384615385	0.0384615384615385	0	0	0	0	0.128205128205128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
