"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Apodemus_peninsulae"	"Microtus_maximowiczii"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Amphipsylla_marikovskii"	"Catallagia_dacenkoi"	"Catallagia_ioffi"	"Ceratophyllus_indages"	"Amalaraeus_ioffi"	"Catallagia_striata"	"Amalaraeus_penicilliger"	"Hystrichopsylla_microti"	"Neopsylla_acanthina"	"Peromyscopsylla_ostsibirica"	"Ctenophthalmus_pisticus"	"Rhadinopsylla_integella"	"Stenoponia_montana"	"Ctenophthalmus_congeneroides"	"Tarsopsylla_octodecimdentata"	"Frontopsylla_elata"	"Ctenophyllus_armatus"	"Megabothris_bispinosa"	"Nosopsyllus_fasciatus"	"Ceratophyllus_anisus"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0.117591721542803	0.0776105362182502	0.0585606773283161	0.0646754468485419	0.00164628410159925	0.0423330197554092	0.0366886171213547	0.0366886171213547	0.0176387582314205	0.00587958607714017	0.0068203198494826	0.000940733772342427	0.01552210724365	0.0119943555973659	0.00117591721542803	0	0	0.00164628410159925	0.00117591721542803	0.00070555032925682	0.00070555032925682
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0.124398073836276	0.125200642054575	0.0714285714285714	0.0304975922953451	0.00321027287319422	0.0280898876404494	0.0200642054574639	0.0176565008025682	0.0240770465489567	0.0128410914927769	0.0272873194221509	0	0.007223113964687	0.00401284109149278	0	0	0.00240770465489567	0	0.00160513643659711	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0.0143603133159269	0	0	0.00783289817232376	0.322454308093995	0	0	0	0.00261096605744125	0.0652741514360313	0	0.0848563968668407	0	0	0	0	0	0	0	0.00261096605744125	0
"Apodemus_peninsulae"	0	0	0	0	0	0	0.135714285714286	0	0	0	0	0	0	0	0.0214285714285714	0.0642857142857143	0.192857142857143	0.0428571428571429	0	0	0.0285714285714286	0	0.0142857142857143	0	0	0	0
"Microtus_maximowiczii"	0	0	0	0	0	0	0.0434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369565217391304	0	0.0869565217391304	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
"Megabothris_advenarius"	0.363901018922853	0.112809315866084	0.00800582241630277	0.0138282387190684	0.00145560407569141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_marikovskii"	0.339506172839506	0.160493827160494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.368343195266272	0.131656804733728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0.431034482758621	0.0595611285266458	0.00940438871473354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0.0135658914728682	0.00775193798449612	0.478682170542636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_ioffi"	0.418604651162791	0.0813953488372093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_striata"	0.430939226519337	0.069060773480663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.438202247191011	0.0617977528089888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
