"Nephrosperma_vanhoutteanum"	"Deckenia_nobilis"	"Diospyros_seychellarum"	"Phoenicophorium_borsigianum"	"Premna_serratifolia"	"Canthium_bibracteatum"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Apis_mellifera"	"Lasioglossum_mahense"	"Megachile_seychellensis"	"Rhiparida_seychellensis"	"Unidentified_sp2_M_PL_089"	"Hemipyrellia_germana"	"Rhynchium_brunneum"	"Unidentified_sp4_M_PL_089"	"Nectarinia_dussumieri"	"Ceratina_tabescens"	"Lygistorrhina_sp1_M_PL_089"	"Unidentified_sp5_M_PL_089"	"Dichaetomyia_fasciculifera"	"Neophyllomyza_approximatonervis"	"Mabuya_sechellensis"	"Phelsuma_sp1_M_PL_089"	"Chalcidoma_disjunctum"	"Cratopus_aurostriatus"	"Eagris_sabadius"	"Ornidia_obesa"	"Polistes_olivaceus"	"Unidentified_sp1_M_PL_089"	"Unidentified_sp3_M_PL_089"	"Unidentified_sp6_M_PL_089"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0.163366336633663	0.168316831683168	0.0148514851485149	0.0445544554455446	0.0643564356435644	0	0	0.0099009900990099	0	0	0.0198019801980198	0	0	0.0099009900990099	0	0	0	0	0	0	0	0	0.00495049504950495	0
"Deckenia_nobilis"	0	0	0	0	0	0	0	0	0	0	0	0.315789473684211	0.0657894736842105	0	0	0	0.0526315789473684	0	0	0	0	0	0.0526315789473684	0	0	0	0	0	0	0	0	0.0131578947368421	0	0	0
"Diospyros_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0.355263157894737	0.0394736842105263	0.0526315789473684	0.0263157894736842	0	0	0.0263157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.162162162162162	0.189189189189189	0	0.027027027027027	0	0.0135135135135135	0	0.0675675675675676	0	0	0	0	0.027027027027027	0	0	0	0	0.0135135135135135	0	0	0	0	0	0
"Premna_serratifolia"	0	0	0	0	0	0	0	0	0	0	0	0.15625	0.109375	0.03125	0	0	0.046875	0.140625	0	0	0	0	0	0	0.015625	0	0	0	0	0	0	0	0	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0	0	0	0	0.173076923076923	0.0192307692307692	0.192307692307692	0	0	0.0192307692307692	0	0	0	0.0961538461538462	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0	0.346153846153846	0	0.0384615384615385	0	0	0	0	0	0.0769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384615384615385
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.115384615384615	0	0	0	0	0.0384615384615385	0	0	0.153846153846154	0	0	0	0	0	0.0769230769230769	0.0769230769230769	0	0	0.0384615384615385	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.277777777777778	0	0	0.0555555555555556	0	0.111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.1875	0.125	0.0625	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0.0625	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0
"Apis_mellifera"	0.121323529411765	0.0882352941176471	0.0992647058823529	0.0441176470588235	0.0367647058823529	0.0330882352941176	0.0330882352941176	0.0110294117647059	0.0183823529411765	0.0110294117647059	0.00367647058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.257575757575758	0.0378787878787879	0.0227272727272727	0.106060606060606	0.053030303030303	0.00757575757575758	0	0	0	0.0151515151515152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0.0714285714285714	0	0.0952380952380952	0	0.0476190476190476	0.238095238095238	0.0238095238095238	0	0	0.0238095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.321428571428571	0	0.0714285714285714	0.0714285714285714	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_089"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0	0.166666666666667	0	0.0416666666666667	0.125	0.0416666666666667	0	0.0416666666666667	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhynchium_brunneum"	0	0	0.0909090909090909	0	0.409090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_089"	0.142857142857143	0	0	0.357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0	0	0	0.166666666666667	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratina_tabescens"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_089"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_M_PL_089"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dichaetomyia_fasciculifera"	0	0	0	0.333333333333333	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
