"Apodemus_flavicollis"	"Clethrionomys_glareolus"	"Apodemus_sylvaticus"	"Microtus_agrestis"	"Neomys_fodiens"	"Sorex_araneus"	"Ctenophthalmus_agyrtes"	"Palaeopsylla_soricis"	"Nosopsyllus_fasciatus"	"Megabothris_turbidus"	"Peromyscopsylla_silvatica"	"Doratopsylla_dasycnema"	"Ctenophthalmus_uncinatus"	"Hystrichopsylla_talpae"	"Leptopsylla_segnis"	"Amalaraeus_penicilliger"	"Rhadinopsylla_integella"
"Apodemus_flavicollis"	0	0	0	0	0	0	0.382629107981221	0.00704225352112676	0.0446009389671361	0.0446009389671361	0.00469483568075117	0.00938967136150235	0	0	0.00704225352112676	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0.237931034482759	0.0137931034482759	0	0.0448275862068966	0.106896551724138	0	0.0620689655172414	0.0206896551724138	0	0.00689655172413793	0.00689655172413793
"Apodemus_sylvaticus"	0	0	0	0	0	0	0.318181818181818	0.00909090909090909	0.154545454545455	0.00909090909090909	0	0	0	0.00909090909090909	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0.432926829268293	0	0	0.024390243902439	0.0304878048780488	0.0121951219512195	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0.0714285714285714	0.397959183673469	0	0	0	0.0306122448979592	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0.166666666666667	0	0	0	0	0
"Ctenophthalmus_agyrtes"	0.214473684210526	0.0907894736842105	0.0921052631578947	0.0934210526315789	0.00921052631578947	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.0208333333333333	0.0277777777777778	0.0138888888888889	0	0.270833333333333	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_fasciatus"	0.179245283018868	0	0.320754716981132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.25	0.171052631578947	0.0263157894736842	0.0526315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0.0263157894736842	0.407894736842105	0	0.0657894736842105	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doratopsylla_dasycnema"	0.0952380952380952	0	0	0.0476190476190476	0.0714285714285714	0.285714285714286	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_uncinatus"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0	0.375	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_segnis"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
