"Sideroxylon_cinereum"	"Molinaea_alternifolia"	"Aphloia_theiformis"	"Croton_fothergillifolius"	"Syzygium_venosum"	"Roussea_simplex"	"Stillingia_lineata"	"Dracaena_reflexa"	"Bertiera_zaluzania"	"Coffea_mauritiana"	"Chassalia_coriacea"	"Claoxylon_linostachys"	"Psiadia_terebinthina"	"Antidesma_madagascariense"	"Antirhea_borbonica"	"Toddalia_asiatica"	"Erythroxylum_macrocarpum"	"Pandanus_wiehii"	"Agauria_salicifolia"	"Flagellaria_indica"	"Polyscias_mauritiana"	"Stomorhina_lunata"	"Technomyrmex_albipes"	"Brachymyrmex_sp1_M_PL_063"	"Apis_mellifera"	"Pachycerina_crinicornis"	"Musca_domestica"	"Fannia_pusio"	"Chaetocnema_sp1_M_PL_063"	"Ophyra_capensis"	"Panara_naso"	"Polistes_hebraeus"	"Allograpta_nasuta"	"Lygistorrhina_sp1_M_PL_063"	"Stomoxys_calcitrans"	"Ischiodon_aegyptius"	"Nacoleia_sp1_M_PL_063"	"Chrysomya_megacephala"	"Dioxyna_sororcula"	"Eristalinus_flaveolus"	"Melanostoma_bituberculatum"	"Phelsuma_cepediana"	"Phorinia_sp1_M_PL_063"	"Sarcophaga_arno"	"Cephonodes_trochilus"	"Ornidia_obesa"	"Graphomya_maculata"	"Lecithoceridae_sp1_M_PL_063"	"Nacoleia_sp2_M_PL_063"	"Psilopa_iceryae"	"Syritta_nigrofemorata"	"Syritta_sp1_M_PL_063"	"Cryptinae_sp1_M_PL_063"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_063"	"Homoneura_sp1_M_PL_063"	"Hydrillodes_sp1_M_PL_063"	"Leptotes_pirithous"	"Macroglossum_milvus"	"Mauritiborium_undulatus"	"Orthellia_albigena"	"Remigia_frugalis"	"Scatopsidae_sp1_M_PL_063"	"Stomoxys_niger"	"Tarundia_servillei"	"Trichoplusia_indicator"	"Zosterops_mauritianus"
"Sideroxylon_cinereum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153846153846154	0	0	0.0769230769230769	0	0.0164835164835165	0.0824175824175824	0	0.032967032967033	0	0	0	0.0384615384615385	0.0164835164835165	0.0164835164835165	0	0.0384615384615385	0	0	0	0	0	0.0164835164835165	0	0.00549450549450549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00549450549450549	0	0	0	0	0	0
"Molinaea_alternifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0928571428571429	0.0642857142857143	0	0	0.1	0.0357142857142857	0.0142857142857143	0	0.0571428571428571	0	0	0	0	0.0214285714285714	0	0.0214285714285714	0	0.00714285714285714	0.00714285714285714	0.0428571428571429	0.00714285714285714	0.00714285714285714	0	0	0	0	0	0.00714285714285714	0	0	0	0	0.00714285714285714	0.00714285714285714	0	0	0	0	0	0	0	0	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216417910447761	0.0149253731343284	0.0149253731343284	0.0447761194029851	0.00746268656716418	0.0895522388059701	0	0	0	0.0149253731343284	0.0298507462686567	0	0	0	0.00746268656716418	0	0	0	0.0149253731343284	0	0	0.0223880597014925	0	0	0.00746268656716418	0	0	0.00746268656716418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00746268656716418	0	0	0
"Croton_fothergillifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144444444444444	0.0888888888888889	0.0777777777777778	0	0.0333333333333333	0.0111111111111111	0	0	0	0	0	0.0222222222222222	0	0.0111111111111111	0.0333333333333333	0	0	0.0333333333333333	0.0222222222222222	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0
"Syzygium_venosum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0454545454545455	0	0.303030303030303	0.0606060606060606	0	0.0151515151515152	0	0	0	0	0.0757575757575758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Roussea_simplex"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357142857142857	0	0.0714285714285714	0	0	0.0357142857142857	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.08	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0
"Dracaena_reflexa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0.0476190476190476	0.0238095238095238	0.0238095238095238	0	0	0	0.0238095238095238	0	0.0476190476190476	0	0	0.0238095238095238	0	0	0	0	0	0	0	0	0.0476190476190476	0.0238095238095238	0	0.0238095238095238	0	0	0.0238095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095238095238	0
"Bertiera_zaluzania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0.333333333333333	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333
"Coffea_mauritiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384615384615385	0.307692307692308	0	0.115384615384615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384615384615385	0	0	0	0	0	0	0	0	0	0
