"Microtus_arvalis"	"Lagurus_lagurus"	"Marmota_bobak"	"Arvicola_terrestris"	"Allocricetulus_eversmanni"	"Apodemus_uralensis"	"Microtus_gregalis"	"Spermophilus_major"	"Sorex_araneus"	"Clethrionomys_glareolus"	"Microtus_oeconomus"	"Spermophilus_pygmaeus"	"Allactaga_major"	"Cricetus_cricetus"	"Spermophilus_fulvus"	"Micromys_minutus"	"Ctenophthalmus_breviatus"	"Ctenophthalmus_assimilis"	"Citellophilus_tesquorum"	"Neopsylla_pleskei"	"Frontopsylla_elata"	"Oropsylla_ilovaiskii"	"Amalaraeus_penicilliger"	"Peromyscopsylla_bidentata"	"Corrodopsylla_birulai"	"Mesopsylla_hebes"	"Amphipsylla_prima"	"Frontopsylla_semura"	"Palaeopsylla_soricis"	"Leptopsylla_segnis"	"Neopsylla_setosa"	"Oropsylla_silantiewi"	"Amphipsylla_kalabukhovi"	"Amphipsylla_kuznetzovi"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133474576271186	0.120762711864407	0.048728813559322	0.13135593220339	0.048728813559322	0	0	0.0127118644067797	0	0	0	0	0	0	0	0	0	0.00423728813559322
"Lagurus_lagurus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36734693877551	0.0102040816326531	0.0714285714285714	0.0102040816326531	0	0	0	0	0	0	0.0408163265306122	0	0	0	0	0	0	0
"Marmota_bobak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157894736842105	0	0.315789473684211	0	0	0	0	0	0	0	0	0	0	0	0	0.0263157894736842	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0743243243243243	0.331081081081081	0.0135135135135135	0.0472972972972973	0.0337837837837838	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allocricetulus_eversmanni"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146551724137931	0.0517241379310345	0.0862068965517241	0.155172413793103	0	0	0	0	0	0	0	0.0431034482758621	0	0	0	0	0.0172413793103448	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118181818181818	0.172727272727273	0.0636363636363636	0.0818181818181818	0.0454545454545455	0	0	0.0181818181818182	0	0	0	0	0	0	0	0	0	0
"Microtus_gregalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0392156862745098	0.313725490196078	0	0.0294117647058824	0.0588235294117647	0	0.0588235294117647	0	0	0	0	0	0	0	0	0	0	0
"Spermophilus_major"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.13	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0256410256410256	0.217948717948718	0	0	0	0	0	0	0.166666666666667	0	0	0	0.0897435897435897	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0303030303030303	0	0.0909090909090909	0.0303030303030303	0	0.166666666666667	0.121212121212121	0	0	0.0303030303030303	0	0	0.0303030303030303	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0416666666666667	0.375	0	0	0.0416666666666667	0	0	0	0.0416666666666667	0	0	0	0	0	0	0	0	0
"Spermophilus_pygmaeus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714285714	0	0.238095238095238	0	0	0	0	0	0	0	0	0	0	0	0.0476190476190476	0	0	0
"Allactaga_major"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0.0666666666666667	0	0	0	0.366666666666667	0	0	0	0	0	0	0	0
"Cricetus_cricetus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714285714	0	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0
