"Ficus_gul"	"Homalanthus_sp1_M_SD_002"	"Gastonia_sp1_M_SD_002"	"Ficus_odoardi"	"Chisocheton_sp1_M_SD_002"	"Ficus_275"	"Schefflera_sp1_M_SD_002"	"Dysoxylum_sp1_M_SD_002"	"Cissus_hypoglauca"	"Endospermum_sp1_M_SD_002"	"Elmerrillia_sp1_M_SD_002"	"Ficus_371"	"Sloanea_sogerensis"	"Ficus_181"	"Pandanus_sp1_M_SD_002"	"Syzygium_sp1_M_SD_002"	"Ficus_217"	"Myristica_sp1_M_SD_002"	"Ficus_246"	"Aglaia_sp1_M_SD_002"	"Ficus_202"	"Zingiberaceae_sp1_M_SD_002"	"Cissus_aristata"	"Ficus_drupacea"	"Sloanea_aberrans"	"Uvaria_sp1_M_SD_002"	"Aporusa_sp1_M_SD_002"	"Canthium_sp1_M_SD_002"	"Glochidion_sp1_M_SD_002"	"Piper_sp1_M_SD_002"	"Sterculia_sp1_M_SD_002"	"Manucodia_keraudrenii"	"Diphyllodes_magnificus"	"Paradisaea_raggiana"	"Parotia_lawesii"	"Lophorina_superba"	"Manucodia_chalybatus"	"Paradisaea_rudolphi"	"Ptiloris_magnificus"	"Epimachus_albertisii"
"Ficus_202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.125	0	0	0	0.125	0	0	0
"Zingiberaceae_sp1_M_SD_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.125	0.125	0	0
"Cissus_aristata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0
"Ficus_drupacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Sloanea_aberrans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
"Uvaria_sp1_M_SD_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Aporusa_sp1_M_SD_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Canthium_sp1_M_SD_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
"Glochidion_sp1_M_SD_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
"Piper_sp1_M_SD_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Sterculia_sp1_M_SD_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
"Manucodia_keraudrenii"	0.222701149425287	0.00574712643678161	0.0244252873563218	0.0790229885057471	0.0100574712643678	0.0574712643678161	0	0.0014367816091954	0.0186781609195402	0.0028735632183908	0.0114942528735632	0.00862068965517241	0.0028735632183908	0.0100574712643678	0	0.0114942528735632	0.0129310344827586	0.00431034482758621	0.00574712643678161	0	0.0028735632183908	0	0	0.0028735632183908	0	0.0028735632183908	0	0	0	0.0014367816091954	0	0	0	0	0	0	0	0	0	0
"Diphyllodes_magnificus"	0.0153256704980843	0.199233716475096	0.111111111111111	0.0153256704980843	0.024904214559387	0.00957854406130268	0.00383141762452107	0.0229885057471264	0.00766283524904215	0.028735632183908	0.0229885057471264	0	0.00766283524904215	0	0.00957854406130268	0	0	0.00191570881226054	0.00383141762452107	0	0.00191570881226054	0.00383141762452107	0.00191570881226054	0	0.00383141762452107	0	0	0.00191570881226054	0.00191570881226054	0	0	0	0	0	0	0	0	0	0	0
"Paradisaea_raggiana"	0.0991189427312775	0.165198237885463	0.052863436123348	0.0440528634361234	0.0286343612334802	0.0286343612334802	0	0.0374449339207048	0.0110132158590308	0.00440528634361234	0.00440528634361234	0.0066079295154185	0.00220264317180617	0	0.00440528634361234	0.00220264317180617	0	0.00220264317180617	0	0.0066079295154185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parotia_lawesii"	0.0465116279069767	0.0387596899224806	0.0852713178294574	0.0232558139534884	0.0387596899224806	0.00387596899224806	0.182170542635659	0.00387596899224806	0.00775193798449612	0.00775193798449612	0.00775193798449612	0.0155038759689922	0.00775193798449612	0.00775193798449612	0	0.00387596899224806	0	0.0116279069767442	0	0.00387596899224806	0	0	0	0	0	0	0	0	0	0	0.00387596899224806	0	0	0	0	0	0	0	0	0
"Lophorina_superba"	0.00769230769230769	0.130769230769231	0	0.00769230769230769	0.176923076923077	0.0153846153846154	0	0	0.00769230769230769	0.0692307692307692	0.0153846153846154	0.0307692307692308	0.0153846153846154	0	0.0153846153846154	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0
"Manucodia_chalybatus"	0.211864406779661	0	0	0.161016949152542	0.00847457627118644	0.0677966101694915	0	0	0	0	0.00847457627118644	0.00847457627118644	0	0	0	0	0	0	0.00847457627118644	0	0.00847457627118644	0.00847457627118644	0.00847457627118644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradisaea_rudolphi"	0.0087719298245614	0.201754385964912	0.0263157894736842	0	0.0263157894736842	0.0350877192982456	0.087719298245614	0	0.0263157894736842	0	0	0.0614035087719298	0	0.0087719298245614	0.0087719298245614	0	0	0	0	0	0	0.0087719298245614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ptiloris_magnificus"	0	0.114285714285714	0.1	0.0285714285714286	0.228571428571429	0	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Epimachus_albertisii"	0	0	0	0	0.3125	0	0	0	0.0625	0	0.0625	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
