"Apodemus_uralensis"	"Cricetulus_migratorius"	"Clethrionomys_centralis"	"Sicista_tianshanica"	"Spermophilus_relictus"	"Alticola_argentatus"	"Sciurus_vulgaris"	"Ellobius_tancrei"	"Microtus_oeconomus"	"Pectinoctenus_nemorosa"	"Frontopsylla_ornata"	"Neopsylla_teratura"	"Neopsylla_mana"	"Amalaraeus_penicilliger"	"Amphipsylla_anceps"	"Callopsylla_caspia"	"Megabothris_rectangulatus"	"Frontopsylla_elata"	"Amphipsylla_dumalis"	"Paraneopsylla_tiflovi"	"Amphipsylla_primaris"	"Neopsylla_pleskei"	"Neopsylla_setosa"	"Amphipsylla_kuznetzovi"	"Leptopsylla_nana"	"Frontopsylla_elatoides"	"Rhadinopsylla_li"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_rossica"	"Amphipsylla_asiatica"	"Ctenophthalmus_breviatus"	"Oropsylla_silantiewi"	"Frontopsylla_protera"	"Amphipsylla_schelkovnikovi"	"Ctenophthalmus_arvalis"	"Hystrichopsylla_talpae"	"Palaeopsylla_soricis"	"Pectinoctenus_pectiniceps"
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0.260722347629797	0.165349887133183	0.00282167042889391	0.031038374717833	0.00507900677200903	0.00112866817155756	0.00959367945823928	0.00451467268623025	0	0	0	0.00225733634311512	0	0	0.00564334085778781	0	0	0.00112866817155756	0	0.00112866817155756	0.00225733634311512	0.00338600451467269	0.00169300225733634	0	0	0.00112866817155756	0	0	0.00112866817155756
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0.0159010600706714	0.00353356890459364	0.146643109540636	0.00706713780918728	0.0282685512367491	0.15017667844523	0.03886925795053	0.0212014134275618	0	0.0477031802120141	0.00353356890459364	0.00353356890459364	0	0	0	0.0212014134275618	0	0	0	0	0.00353356890459364	0	0	0.00353356890459364	0.00530035335689046	0	0	0	0
"Clethrionomys_centralis"	0	0	0	0	0	0	0	0	0	0.0553359683794466	0.0513833992094862	0.00592885375494071	0.0276679841897233	0.142292490118577	0	0.0197628458498024	0.075098814229249	0.0711462450592885	0	0.00592885375494071	0.00395256916996047	0	0	0.0138339920948617	0.00395256916996047	0	0.00395256916996047	0	0.0118577075098814	0	0	0	0	0	0	0.00395256916996047	0.00395256916996047	0
"Sicista_tianshanica"	0	0	0	0	0	0	0	0	0	0.0342465753424658	0.420091324200913	0.0091324200913242	0.00684931506849315	0	0	0	0.0228310502283105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00684931506849315	0	0	0	0	0
"Spermophilus_relictus"	0	0	0	0	0	0	0	0	0	0	0	0.183417085427136	0.135678391959799	0.00753768844221105	0	0	0	0	0	0	0	0.0653266331658292	0.0527638190954774	0	0	0.0301507537688442	0.0175879396984925	0	0	0	0	0.00753768844221105	0	0	0	0	0	0
"Alticola_argentatus"	0	0	0	0	0	0	0	0	0	0.0123456790123457	0.0246913580246914	0	0.037037037037037	0.0432098765432099	0	0.123456790123457	0	0	0	0.154320987654321	0.104938271604938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
"Ellobius_tancrei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_nemorosa"	0.447674418604651	0.00872093023255814	0.0271317829457364	0.0145348837209302	0	0.00193798449612403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
