"Kunzea_muelleri"	"Aciphylla_glacialis"	"Hypochoeris_radicata"	"Orites_lancifolia"	"Prostanthera_cuneata"	"Craspedia_sp1_M_PL_019"	"Gentianella_diemensis"	"Wahlenbergia_ceracea"	"Microseris_lanceolata"	"Helichrysum_scorpioides"	"Baeckia_gunniana"	"Celmisia_longifolia"	"Epacris_petrophila"	"Oxylobium_ellipticum"	"Senecio_lautus"	"Euphrasia_collina"	"Helipterum_albicans"	"Senecio_gunnii"	"Achillea_millefolium"	"Richea_continentis"	"Leucopogon_montanus"	"Phebalium_ovatifolium"	"Helichrysum_alpinum"	"Brachycome_scapigera"	"Pentachondra_pumila"	"Pimelea_ligustrina"	"Prasophyllum_alpinum"	"Asperula_gunnii"	"Leptorhynchos_squamatus"	"Neopaxia_australasica"	"Olearia_phlogopappa"	"Epilobium_gunnianum"	"Brachycome_stolonifera"	"Epacris_microphylla"	"Senecio_pectinatus"	"Stylidium_graminifolium"	"Aciphylla_simplicifolia"	"Brachycome_scapiformis"	"Brachycome_sp1_M_PL_019"	"Stackhousia_pulvinaris"	"Leioproctus_sp1_M_PL_019"	"Incurviseta_sp1_M_PL_019"	"Unientified_sp1_M_PL_019"	"Lasioglossum_sp6_M_PL_019"	"Dilophus_sp1_M_PL_019"	"Exonera_sp1_M_PL_019"	"Calliphora_sp2_M_PL_019"	"Musca_vetustissima"	"Poecilohetaerus_sp1_M_PL_019"	"Comptosia_sylvana"	"Melangyna_sp1_M_PL_019"	"Pelecorhychus_rubidus"	"Tephritis_sp2_M_PL_019"	"Prosena_sp1_M_PL_019"	"Lasioglossum_sp8_M_PL_019"	"Tephritis_sp1_M_PL_019"	"Lasioglossum_sp1_M_PL_019"	"Coenosia_sp2_M_PL_019"	"Unidentified_sp1_M_PL_019"	"Empis_sp3_M_PL_019"	"Lasioglossum_sp2_M_PL_019"	"Senostoma_sp2_M_PL_019"	"Villa_sp1_M_PL_019"	"Alophera_sp1_M_PL_019"	"Calliphora_sp3_M_PL_019"	"Eristalis_tenax"	"Lasioglossum_sp9_M_PL_019"	"Leioproctus_sp2_M_PL_019"	"Unidentified_sp5_M_PL_019"	"Empis_sp5_M_PL_019"	"Sapromyza_sp1_M_PL_019"	"Apis_mellifera"	"Euryglossa_sp1_M_PL_019"	"Lasioglossum_sp3_M_PL_019"	"Lasioglossum_sp5_M_PL_019"	"Leioproctus_sp4_M_PL_019"	"Rivellia_sp1_M_PL_019"	"Scaptomyza_australis"	"Senostoma_sp3_M_PL_019"	"Tabanus_froggatti"	"Unidentified_sp8_M_PL_019"	"Unientified_sp2_M_PL_019"	"Unientified_sp3_M_PL_019"	"Calliphora_stygia"	"Coenosia_sp1_M_PL_019"	"Empis_sp4_M_PL_019"	"Euryglossa_sp2_M_PL_019"	"Helina_sp1_M_PL_019"	"Helina_sp2_M_PL_019"	"Hydrellia_sp1_M_PL_019"	"Lasioglossum_sp4_M_PL_019"	"Senostoma_sp1_M_PL_019"	"Unidentified_sp6_M_PL_019"	"Unidentified_sp7_M_PL_019"	"Calliphora_fulvicoxa"	"Calliphora_hilli"	"Calliphora_sp1_M_PL_019"	"Chaetophthalamus_dorsalis"	"Chloromerus_sp1_M_PL_019"	"Diostracus_sp1_M_PL_019"	"Empis_sp2_M_PL_019"	"Empis_sp6_M_PL_019"	"Euryglossa_sp3_M_PL_019"	"Hylaeus_semipersonatus"	"Hylaeus_sp1_M_PL_019"	"Hyphesma_sp1_M_PL_019"	"Incurviseta_sp2_M_PL_019"	"Lasioglossum_sp10_M_PL_019"	"Lasioglossum_sp11_M_PL_019"	"Lasioglossum_sp7_M_PL_019"	"Leioproctus_sp3_M_PL_019"	"Leioproctus_sp5_M_PL_019"	"Limnophora_sp1_M_PL_019"	"Megachile_sp1_M_PL_019"	"Phytoliriomyza_sp1_M_PL_019"	"Prohardya_carinata"	"Rutilia_sp1_M_PL_019"	"Scaptia_alpina"	"Sphenella_marginata"	"Syrphus_sp1_M_PL_019"	"Tapeigaster_nigricornis"	"Unidentified_sp2_M_PL_019"	"Unidentified_sp3_M_PL_019"	"Unidentified_sp4_M_PL_019"	"Unientified_sp4_M_PL_019"
"Kunzea_muelleri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.497311827956989	0	0	0.00268817204301075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aciphylla_glacialis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0952380952380952	0.282312925170068	0	0	0	0	0.0102040816326531	0.0272108843537415	0.054421768707483	0	0	0	0	0	0.00340136054421769	0	0	0.00680272108843537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00340136054421769	0	0	0	0	0.00680272108843537	0	0	0	0	0	0	0.00680272108843537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00340136054421769	0	0
"Hypochoeris_radicata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.008	0.196	0.204	0.004	0	0	0.004	0	0	0	0	0.004	0	0.016	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Orites_lancifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223958333333333	0.015625	0.03125	0.0104166666666667	0	0.0364583333333333	0.0208333333333333	0.0104166666666667	0.0104166666666667	0.00520833333333333	0.00520833333333333	0.0364583333333333	0	0	0	0	0	0	0.0104166666666667	0	0	0	0	0	0.0104166666666667	0	0	0	0	0	0	0	0	0	0	0.0104166666666667	0	0	0	0	0	0	0	0.0104166666666667	0	0	0.00520833333333333	0.00520833333333333	0	0	0.00520833333333333	0	0.00520833333333333	0	0	0	0.00520833333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00520833333333333	0	0	0	0.00520833333333333	0.00520833333333333	0	0	0.00520833333333333	0	0	0	0.00520833333333333	0
"Prostanthera_cuneata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0740740740740741	0	0.0432098765432099	0.0740740740740741	0	0.234567901234568	0	0	0	0	0.00617283950617284	0	0	0.00617283950617284	0.0123456790123457	0	0	0	0	0	0	0	0	0	0.00617283950617284	0	0	0.00617283950617284	0	0.00617283950617284	0.0123456790123457	0	0.00617283950617284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00617283950617284	0	0	0	0	0	0	0.00617283950617284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Craspedia_sp1_M_PL_019"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0194805194805195	0.266233766233766	0.00649350649350649	0.038961038961039	0	0	0	0	0	0	0	0	0.025974025974026	0.0194805194805195	0.00649350649350649	0.038961038961039	0.00649350649350649	0	0	0	0	0.00649350649350649	0	0.00649350649350649	0	0.012987012987013	0	0.00649350649350649	0	0	0.00649350649350649	0	0	0	0.00649350649350649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00649350649350649	0	0.00649350649350649	0	0	0	0	0	0	0.00649350649350649	0	0	0	0	0	0	0	0	0	0	0	0.00649350649350649	0	0	0	0	0	0	0	0	0	0	0	0
"Gentianella_diemensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0	0.427272727272727	0	0.00909090909090909	0.0181818181818182	0.00909090909090909	0	0	0	0	0	0	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0	0	0	0	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Wahlenbergia_ceracea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254545454545455	0.0181818181818182	0.0636363636363636	0.0727272727272727	0.0272727272727273	0	0	0	0	0	0.00909090909090909	0	0	0	0	0	0.00909090909090909	0	0	0.00909090909090909	0	0	0	0	0	0	0	0.00909090909090909	0	0.00909090909090909	0	0	0	0	0.00909090909090909	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microseris_lanceolata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108695652173913	0.423913043478261	0	0.0217391304347826	0	0	0	0	0	0	0	0	0	0	0	0	0.0108695652173913	0	0	0	0	0	0	0	0	0	0	0.0108695652173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108695652173913	0	0	0	0	0	0	0.0108695652173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Helichrysum_scorpioides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.464285714285714	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
