"Barnadesia_spinosa"	"Siphocampylus_paramicola"	"Brachyotum_lindenii"	"Disterigma_codonanthum"	"Puya_clava-herculis"	"Siphocampylus_giganteus"	"Macleania_rupestris"	"Guzmania_candelabrum"	"Desfontainea_spinosa"	"Guzmania_bakeri"	"Espeletia_sp1_M_PL_068"	"Gaultheria_erecta"	"Disterigma_sp1_M_PL_068"	"Tillandsia_orbicularis"	"Gaiadendron_punctatum"	"Racinaea_tetrantha"	"Brachyotum_ledifolium"	"Vaccinium_floribundum"	"Bomarea_sp1_M_PL_068"	"Brachyotum_sp1_M_PL_068"	"Fuchsia_corollata"	"Bomarea_linifolia"	"Centropogon_sp1_M_PL_068"	"Elleanthus_sp1_M_PL_068"	"Passiflora_mixta"	"Tillandsia_complanata"	"Tristerix_longebracteatus"	"Gaultheria_insipida"	"Bejaria_aestuans"	"Diplostephium_sp1_M_PL_068"	"Pernettya_prostrata"	"Eriocnemis_mosquera"	"Aglaeactis_cupripennis"	"Pterophanes_cyanopterus"	"Chalcostigma_herrani"	"Metallura_tyrianthina"	"Eriocnemis_derbyi"	"Lafresnaya_lafresnayi"	"Coeligena_lutetiae"	"Ensifera_ensifera"
"Elleanthus_sp1_M_PL_068"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0.1	0	0	0	0	0
"Passiflora_mixta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0.375
"Tillandsia_complanata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0	0	0.125	0	0	0	0
"Tristerix_longebracteatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
"Gaultheria_insipida"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0
"Bejaria_aestuans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Diplostephium_sp1_M_PL_068"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"Pernettya_prostrata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
"Eriocnemis_mosquera"	0.00652173913043478	0.0130434782608696	0.0739130434782609	0.0478260869565217	0.0108695652173913	0.0108695652173913	0.0521739130434783	0.0478260869565217	0.05	0.0521739130434783	0	0.0108695652173913	0.0152173913043478	0.0239130434782609	0	0.00652173913043478	0.0108695652173913	0.0108695652173913	0.00652173913043478	0.0152173913043478	0	0.0108695652173913	0.00217391304347826	0.00869565217391304	0.00217391304347826	0.00652173913043478	0	0	0.00217391304347826	0.00217391304347826	0	0	0	0	0	0	0	0	0	0
"Aglaeactis_cupripennis"	0.23394495412844	0.119266055045872	0.0137614678899083	0	0.00458715596330275	0.100917431192661	0	0	0	0	0	0	0	0	0	0	0.0137614678899083	0	0.00917431192660551	0	0.00458715596330275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pterophanes_cyanopterus"	0	0.19047619047619	0	0	0.238095238095238	0.0238095238095238	0.00793650793650794	0	0	0	0	0	0	0	0	0	0.00793650793650794	0	0	0	0	0	0	0	0	0	0.0317460317460317	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chalcostigma_herrani"	0	0.0258620689655172	0.120689655172414	0.0431034482758621	0	0.00862068965517241	0.0172413793103448	0.00862068965517241	0	0	0.137931034482759	0.00862068965517241	0	0	0.0862068965517241	0	0	0.00862068965517241	0	0	0	0.00862068965517241	0	0.00862068965517241	0	0	0	0.00862068965517241	0	0	0.00862068965517241	0	0	0	0	0	0	0	0	0
"Metallura_tyrianthina"	0.105769230769231	0.00961538461538462	0	0.134615384615385	0	0	0.00961538461538462	0.00961538461538462	0	0	0	0.0673076923076923	0.0480769230769231	0	0	0.0480769230769231	0	0.0192307692307692	0	0	0.0288461538461538	0	0	0	0	0.00961538461538462	0	0.00961538461538462	0	0	0	0	0	0	0	0	0	0	0	0
"Eriocnemis_derbyi"	0.130952380952381	0.119047619047619	0	0.0357142857142857	0	0.0357142857142857	0.0357142857142857	0.0476190476190476	0.0119047619047619	0.0119047619047619	0	0	0	0	0	0.0238095238095238	0	0	0.0238095238095238	0	0	0	0.0238095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lafresnaya_lafresnayi"	0.275	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coeligena_lutetiae"	0	0	0	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ensifera_ensifera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
