"Dracaena_reflexa"	"Stillingia_lineata"	"Myonima_violacea"	"Psiadia_terebinthina"	"Bertiera_zaluzania"	"Erythroxylum_macrocarpum"	"Homalanthus_populifolius"	"Croton_fothergillifolius"	"Molinaea_alternifolia"	"Olea_lancea"	"Psidium_cattleianum"	"Faujasiopsis_flexuosa"	"Claoxylon_linostachys"	"Aphloia_theiformis"	"Flagellaria_indica"	"Chassalia_coriacea"	"Antirhea_borbonica"	"Chaetocnema_sp1_M_PL_075"	"Stomorhina_lunata"	"Apis_mellifera"	"Technomyrmex_albipes"	"Dysauxes_florida"	"Allograpta_nasuta"	"Ophyra_capensis"	"Dioxyna_sororcula"	"Pachycerina_crinicornis"	"Ischiodon_aegyptius"	"Nacoleia_sp1_M_PL_075"	"Brachymyrmex_sp1_M_PL_075"	"Lygistorrhina_sp1_M_PL_075"	"Musca_domestica"	"Polistes_hebraeus"	"Melanostoma_bituberculatum"	"Panara_naso"	"Paragus_borbonicus"	"Chrysomya_megacephala"	"Fannia_pusio"	"Melanostoma_annulipes"	"Cerambycidae_sp1_M_PL_075"	"Episyrphus_sp1_M_PL_075"	"Eristalinus_flaveolus"	"Ornidia_obesa"	"Stomoxys_calcitrans"	"Agathidinae_sp1_M_PL_075"	"Cerambycidae_sp2_M_PL_075"	"Eumolpinae_sp1_M_PL_075"	"Eumolpinae_sp2_M_PL_075"	"Gelechioidea_sp1_M_PL_075"	"Henotesia_narcissus"	"Leptotes_pirithous"	"Mauritiborium_undulatus"	"Nacoleia_sp2_M_PL_075"	"Phorinia_sp1_M_PL_075"	"Stomoxys_niger"	"Syritta_sp1_M_PL_075"	"Villa_unifasciata"
"Dracaena_reflexa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.16	0	0.03	0.06	0	0	0.02	0.06	0.04	0	0	0	0	0	0	0	0.03	0	0.01	0	0.01	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180851063829787	0.0212765957446809	0	0.0425531914893617	0	0.0531914893617021	0.106382978723404	0	0.0319148936170213	0	0	0	0	0.0106382978723404	0	0.0106382978723404	0	0	0	0.0212765957446809	0	0.0106382978723404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106382978723404	0
"Myonima_violacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0609756097560976	0.158536585365854	0.146341463414634	0.0121951219512195	0	0	0	0	0	0.0609756097560976	0.0121951219512195	0	0.0121951219512195	0	0	0	0	0	0	0	0	0	0	0.024390243902439	0	0	0	0	0	0	0.0121951219512195	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0571428571428571	0.157142857142857	0	0	0.1	0	0	0.142857142857143	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bertiera_zaluzania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147058823529412	0.235294117647059	0.176470588235294	0.0147058823529412	0.0294117647058824	0	0	0.0147058823529412	0.0147058823529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erythroxylum_macrocarpum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155172413793103	0.103448275862069	0	0	0.0172413793103448	0.0517241379310345	0	0	0.0172413793103448	0.0172413793103448	0	0	0	0	0	0	0.0172413793103448	0	0	0	0	0	0.0172413793103448	0	0.0172413793103448	0	0	0	0	0.0172413793103448	0.0172413793103448	0	0	0.0172413793103448	0	0.0172413793103448	0	0	0.0172413793103448
"Homalanthus_populifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307692307692308	0.0384615384615385	0	0	0	0.0192307692307692	0	0.0192307692307692	0.0192307692307692	0	0	0	0	0.0384615384615385	0	0	0	0	0	0.0192307692307692	0.0384615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Croton_fothergillifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.04	0	0.02	0.02	0	0	0.04	0.08	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0.02	0	0	0	0
"Molinaea_alternifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.12	0.06	0.02	0	0.02	0.12	0	0	0.02	0	0	0	0.04	0.04	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0
"Olea_lancea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421052631578947	0.0263157894736842	0.0263157894736842	0	0	0.0263157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
