"Meriones_persicus"	"Meriones_libycus"	"Meriones_tristrami"	"Microtus_socialis"	"Apodemus_fulvipectus"	"Microtus_arvalis"	"Cricetulus_migratorius"	"Allactaga_elater"	"Arvicola_terrestris"	"Dryomys_nitedula"	"Xenopsylla_conformis"	"Nosopsyllus_iranus"	"Nosopsyllus_laeviceps"	"Stenoponia_tripectinata"	"Rhadinopsylla_ucrainica"	"Nosopsyllus_consimilis"	"Ctenophthalmus_secundus"	"Leptopsylla_taschenbergi"	"Amphipsylla_schelkovnikovi"	"Mesopsylla_apscheronica"	"Ctenophthalmus_bogatschevi"	"Amphipsylla_rossica"	"Ctenophthalmus_proximus"	"Nosopsyllus_mokrzeckyi"	"Myoxopsylla_jordani"	"Ceratophyllus_sciurorum"	"Callopsylla_caspia"	"Megabothris_turbidus"	"Neopsylla_pleskei"	"Stenoponia_ivanovi"
"Meriones_persicus"	0	0	0	0	0	0	0	0	0	0	0.26652574942352	0.182744043043812	0	0.0303612605687932	0.0103766333589547	0.0090315142198309	0.000960799385088393	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_libycus"	0	0	0	0	0	0	0	0	0	0	0.201115241635688	0.117472118959108	0.101486988847584	0.0141263940520446	0.0576208178438662	0.00669144981412639	0.00148698884758364	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_tristrami"	0	0	0	0	0	0	0	0	0	0	0.0933794466403162	0.241106719367589	0.0508893280632411	0.0825098814229249	0.0276679841897233	0.00444664031620553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_socialis"	0	0	0	0	0	0	0	0	0	0	0.00819672131147541	0.055327868852459	0.0450819672131148	0	0.0204918032786885	0.204918032786885	0.153688524590164	0	0.00409836065573771	0	0	0.00409836065573771	0	0	0	0	0.00409836065573771	0	0	0
"Apodemus_fulvipectus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0454545454545455	0.0101010101010101	0.338383838383838	0.0505050505050505	0	0	0	0.0151515151515152	0.0101010101010101	0	0.0202020202020202	0	0.0101010101010101	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358695652173913	0	0	0	0	0.0978260869565217	0.0326086956521739	0	0	0	0	0	0	0	0.0108695652173913
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0.133333333333333	0.0416666666666667	0	0	0.0333333333333333	0	0.025	0.0166666666666667	0.233333333333333	0	0	0	0	0	0	0	0	0	0.0166666666666667	0
"Allactaga_elater"	0	0	0	0	0	0	0	0	0	0	0	0.0862068965517241	0	0	0	0	0	0	0	0.413793103448276	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214285714285714	0.285714285714286	0	0	0	0	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
"Xenopsylla_conformis"	0.324520355638746	0.126579316799251	0.044220870379036	0.000935891436593355	0	0	0.00374356574637342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_iranus"	0.265345982142857	0.0881696428571429	0.136160714285714	0.00753348214285714	0	0	0.00139508928571429	0.00139508928571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_laeviceps"	0	0.342964824120603	0.129396984924623	0.0276381909547739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_tripectinata"	0.21763085399449	0.0523415977961433	0.230027548209366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_ucrainica"	0.0967741935483871	0.277777777777778	0.100358422939068	0.017921146953405	0	0	0.00716845878136201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.0943775100401606	0.036144578313253	0.0180722891566265	0.200803212851406	0.0180722891566265	0.132530120481928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_secundus"	0.0280898876404494	0.0224719101123595	0	0.421348314606742	0.0112359550561798	0	0.0168539325842697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0	0	0	0	0.485507246376812	0	0.0144927536231884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_schelkovnikovi"	0	0	0	0.025	0.125	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mesopsylla_apscheronica"	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_bogatschevi"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0	0	0	0.125	0	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_proximus"	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_mokrzeckyi"	0	0	0	0	0.166666666666667	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myoxopsylla_jordani"	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_sciurorum"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_ivanovi"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
