"Clethrionomys_glareolus"	"Apodemus_uralensis"	"Microtus_arvalis"	"Sorex_araneus"	"Crocidura_suaveolens"	"Arvicola_terrestris"	"Cricetus_cricetus"	"Microtus_oeconomus"	"Allocricetulus_eversmanni"	"Micromys_minutus"	"Lagurus_lagurus"	"Sicista_subtilis"	"Ctenophthalmus_wagneri"	"Nosopsyllus_consimilis"	"Megabothris_turbidus"	"Amphipsylla_rossica"	"Nosopsyllus_mokrzeckyi"	"Leptopsylla_taschenbergi"	"Amalaraeus_penicilliger"	"Peromyscopsylla_bidentata"	"Ctenophthalmus_breviatus"	"Palaeopsylla_soricis"	"Corrodopsylla_birulai"	"Megabothris_walkeri"	"Leptopsylla_segnis"	"Hystrichopsylla_talpae"
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0.277548428072404	0.0535090504922198	0.128771038424897	0.022864401397269	0.00111146395681169	0.00111146395681169	0.00682756430612893	0	0.00206414734836456	0.000476341695776437	0.000476341695776437	0.00365195300095268	0.0012702445220705	0.000317561130517625
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0.226731078904992	0.143800322061192	0.0666666666666667	0.00660225442834139	0.0193236714975845	0.0154589371980676	0.00402576489533011	0.00531400966183575	0.00466988727858293	0.00273752012882448	0	0.00112721417069243	0.00273752012882448	0.000805152979066023
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0.233238904627007	0.091123701605288	0.0457979225684608	0.0835694050991501	0.00377714825306893	0	0.00519357884796978	0.0207743153918791	0.0056657223796034	0.000944287063267233	0	0.00141643059490085	0.0028328611898017	0.0056657223796034
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0.347507331378299	0.00879765395894428	0.0293255131964809	0.00586510263929619	0	0	0.00439882697947214	0	0.00293255131964809	0.0366568914956012	0.0527859237536657	0.00293255131964809	0	0.00879765395894428
"Crocidura_suaveolens"	0	0	0	0	0	0	0	0	0	0	0	0	0.30952380952381	0.166666666666667	0	0	0	0	0	0.0158730158730159	0	0	0.00793650793650794	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0.2375	0	0.0375	0.0375	0	0	0.025	0	0.125	0	0	0.0375	0	0
"Cricetus_cricetus"	0	0	0	0	0	0	0	0	0	0	0	0	0.380952380952381	0.119047619047619	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0.0714285714285714	0.0476190476190476	0	0	0	0	0	0	0	0.0476190476190476	0	0
"Allocricetulus_eversmanni"	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0.277777777777778	0	0	0	0	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0.285714285714286	0.214285714285714	0	0	0	0	0	0	0	0	0	0	0	0
"Lagurus_lagurus"	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0
"Sicista_subtilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_wagneri"	0.219322459222083	0.176662484316186	0.0619824341279799	0.0297365119196989	0.00489335006273526	0.00238393977415307	0.00200752823086575	0.00175658720200753	0.000501882057716437	0.000501882057716437	0.000250941028858218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.115017064846416	0.304778156996587	0.0658703071672355	0.00204778156996587	0.00716723549488055	0	0.00170648464163823	0	0.00170648464163823	0.00102389078498294	0.00068259385665529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.30037037037037	0.153333333333333	0.0359259259259259	0.00740740740740741	0	0.00111111111111111	0	0.00111111111111111	0	0	0	0.000740740740740741	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0.194070080862534	0.055256064690027	0.238544474393531	0.00539083557951483	0	0.00404312668463612	0	0.00269541778975741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_mokrzeckyi"	0.0259259259259259	0.444444444444444	0.0296296296296296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0.0339805825242718	0.466019417475728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.255952380952381	0.148809523809524	0.0654761904761905	0.0178571428571429	0	0.0119047619047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0	0.208860759493671	0.278481012658228	0	0.0126582278481013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_breviatus"	0.0984848484848485	0.21969696969697	0.0909090909090909	0.0151515151515152	0	0.0757575757575758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.0319148936170213	0.180851063829787	0.0212765957446809	0.265957446808511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.0375	0	0	0.45	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
