"Elmerrillia_tsiampacca"	"Cinnamomum_culilaban"	"Piper_plagiophyllum"	"Ficus_nodosa"	"Pipturus_argenteus"	"Castanopsis_acuminatissima"	"Caldcluvia_brassii"	"Aleurites_moluccana"	"Melicope_denhamii"	"Cordia_dicotoma"	"Coenobius_kleinhoviae"	"Micromolpus_sp._3"	"Rhyparida_coriacea"	"Rhyparida_sp._5"	"Rhyparida_sp._6"	"Rhyparida_sp._7"	"Rhyparida_sp._8"	"Rhyparidella_wauensis"	"Rhyparidella_sp._10"	"Rhyparidella_sp._11"	"Rhyparidella_sp._12"	"Rhyparidella_sp._13"	"Rhyparidella_sp._14"	"Rhyparidella_sp._15"	"Rhyparidella_sp._16"	"Rhyparidella_sp._17"	"Rhyparidella_sp._18"	"Rhyparidella_sp._19"	"Stethotes_integra"	"Stethotes_lateralis"	"Stethotes_suturalis"	"Stethotes_sp._25"	"Stethotes_sp._26"	"Thyrasia_sp._27"	"Atysa_sp._29"	"Aulacophora_sp._30"	"Momaea_sp._32"	"Neolepta_sp._34"	"Neolepta_sp._35"	"Neolepta_sp._36"	"Neolepta_sp._40"	"Oides_sp._41"	"Sastra_sp._42"	"Crepidodera_sp._44"	"Manobia_sp._45"	"Xenidea_sp._46"
"Elmerrillia_tsiampacca"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0.25	0.0357142857142857	0	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0
"Cinnamomum_culilaban"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175438596491228	0	0	0.0263157894736842	0	0	0	0.043859649122807	0.0789473684210526	0	0.043859649122807	0	0.201754385964912	0	0.0350877192982456	0	0	0.0350877192982456	0	0	0.0087719298245614	0	0	0	0	0	0	0	0.0087719298245614	0	0	0
"Piper_plagiophyllum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107142857142857	0	0	0	0.025	0.00178571428571429	0	0.00178571428571429	0.00178571428571429	0	0	0.00178571428571429	0.0357142857142857	0	0.00178571428571429	0	0	0	0.00178571428571429	0	0	0	0	0	0	0	0.3375	0	0.0803571428571429
"Ficus_nodosa"	0	0	0	0	0	0	0	0	0	0	0.0072463768115942	0	0.0199275362318841	0	0	0	0	0.0960144927536232	0	0.00543478260869565	0	0	0.0706521739130435	0.0833333333333333	0	0.0072463768115942	0.164855072463768	0.0036231884057971	0	0	0	0	0	0	0.0326086956521739	0.0072463768115942	0	0	0	0	0	0	0	0	0.00181159420289855	0
"Pipturus_argenteus"	0	0	0	0	0	0	0	0	0	0	0	0	0.00412087912087912	0	0	0	0.032967032967033	0.15521978021978	0	0.0137362637362637	0.021978021978022	0.0315934065934066	0.0123626373626374	0	0.00137362637362637	0.0260989010989011	0	0.00274725274725275	0.0521978021978022	0.0260989010989011	0	0	0.0123626373626374	0	0	0	0	0.00549450549450549	0	0	0.00137362637362637	0.0398351648351648	0.00686813186813187	0.00137362637362637	0.0521978021978022	0
"Castanopsis_acuminatissima"	0	0	0	0	0	0	0	0	0	0	0	0.0170454545454545	0	0	0	0	0	0	0	0	0	0.0909090909090909	0.0454545454545455	0	0.198863636363636	0	0.0284090909090909	0	0.00568181818181818	0	0.00568181818181818	0	0	0.0227272727272727	0	0.00568181818181818	0	0	0	0.0795454545454545	0	0	0	0	0	0
"Caldcluvia_brassii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170967741935484	0	0.109677419354839	0	0	0.132258064516129	0	0	0	0	0	0	0	0.00645161290322581	0	0	0	0.0451612903225806	0	0	0	0	0	0.00645161290322581	0	0.0193548387096774	0.00967741935483871	0	0	0	0	0	0
"Aleurites_moluccana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121951219512195	0	0	0	0.024390243902439	0.0609756097560976	0	0.0487804878048781	0	0.353658536585366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melicope_denhamii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00301204819277108	0.00301204819277108	0	0	0	0.137048192771084	0.00150602409638554	0	0.305722891566265	0	0.0256024096385542	0	0	0.00150602409638554	0.00301204819277108	0	0	0	0	0	0.0180722891566265	0	0	0	0	0.00150602409638554	0	0	0	0
"Cordia_dicotoma"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209302325581395	0.0697674418604651	0	0.0232558139534884	0	0.197674418604651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
