"Lasiopodomys_brandtii"	"Spermophilus_undulatus"	"Marmota_sibirica"	"Ellobius_tancrei"	"Alticola_argentatus"	"Allactaga_sibirica"	"Phodopus_sungorus"	"Amphipsylla_primaris"	"Neopsylla_mana"	"Citellophilus_tesquorum"	"Oropsylla_silantiewi"	"Frontopsylla_hetera"	"Rhadinopsylla_dahurica"	"Amalaraeus_penicilliger"	"Neopsylla_pleskei"	"Rhadinopsylla_li"	"Oropsylla_alaskensis"	"Amphipsylla_dumalis"	"Rhadinopsylla_rothschildi"	"Frontopsylla_elatoides"	"Paradoxopsyllus_scorodumovi"	"Ctenophyllus_hirticrus"	"Paramonopsyllus_scalonae"	"Frontopsylla_elata"	"Pectinoctenus_pavlovskii"	"Frontopsylla_luculenta"	"Ophthalmopsylla_praefecta"
"Lasiopodomys_brandtii"	0	0	0	0	0	0	0	0.243616661022689	0.152861496782933	0.00247206230951575	0.000338638672536404	0.0308499830680664	0.0323061293599729	0.0155773789366746	0.0149339654588554	0.00257365391127667	0.000304774805282763	0	0.00396207246867592	0	0	0	0	0	0.000135455469014561	6.77277345072807e-05	0
"Spermophilus_undulatus"	0	0	0	0	0	0	0	0.00161216029479503	0.00875172731460157	0.318747121142331	0.00414555504375864	0.0112851220635652	0	0	0.000921234454168586	0.0642561031782589	0.061262091202211	0	0	0.0191156149239982	0.00621833256563795	0.00161216029479503	0.00115154306771073	0.000921234454168586	0	0	0
"Marmota_sibirica"	0	0	0	0	0	0	0	0	0.0033921302578019	0.00407055630936228	0.487449118046133	0.00237449118046133	0	0	0	0	0	0	0	0	0.00067842605156038	0.00203527815468114	0	0	0	0	0
"Ellobius_tancrei"	0	0	0	0	0	0	0	0.00961538461538462	0.00961538461538462	0	0	0	0	0	0	0	0	0.480769230769231	0	0	0	0	0	0	0	0	0
"Alticola_argentatus"	0	0	0	0	0	0	0	0.0263157894736842	0.473684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allactaga_sibirica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
"Phodopus_sungorus"	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_primaris"	0.499167360532889	0.000485706355814599	0	0.000208159866777685	0.000138773244518457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_mana"	0.490545533579657	0.00412953705716149	0.00108672027820039	0.000326016083460117	0.00391219300152141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_tesquorum"	0.0248468345813479	0.471068754254595	0.00408441116405718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_silantiewi"	0.00341296928327645	0.00614334470989761	0.490443686006826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_hetera"	0.470072239422085	0.0252837977296182	0.00361197110423117	0	0	0	0.00103199174406605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_dahurica"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0.495505617977528	0.00449438202247191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_li"	0.107042253521127	0.392957746478873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_alaskensis"	0.0163636363636364	0.483636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_dumalis"	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_rothschildi"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elatoides"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradoxopsyllus_scorodumovi"	0	0.46551724137931	0.0344827586206897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophyllus_hirticrus"	0	0.269230769230769	0.230769230769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paramonopsyllus_scalonae"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pavlovskii"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_luculenta"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ophthalmopsylla_praefecta"	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
