"Microtus_arvalis"	"Clethrionomys_centralis"	"Spermophilus_undulatus"	"Apodemus_uralensis"	"Apodemus_agrarius"	"Sorex_araneus"	"Sicista_tianshanica"	"Dryomys_nitedula"	"Arvicola_terrestris"	"Neomys_fodiens"	"Cricetulus_migratorius"	"Cricetus_cricetus"	"Marmota_baibacina"	"Spermophilus_erythrogenys"	"Ctenophthalmus_assimilis"	"Neopsylla_mana"	"Megabothris_rectangulatus"	"Citellophilus_tesquorum"	"Amphipsylla_rossica"	"Hystrichopsylla_talpae"	"Nosopsyllus_consimilis"	"Pectinoctenus_nemorosa"	"Frontopsylla_elata"	"Frontopsylla_protera"	"Amalaraeus_penicilliger"	"Neopsylla_teratura"	"Palaeopsylla_soricis"	"Frontopsylla_elatoides"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_arvalis"	"Amphipsylla_sibirica"	"Frontopsylla_ornata"	"Oropsylla_silantiewi"	"Amphipsylla_primaris"	"Corrodopsylla_birulai"	"Rhadinopsylla_angusta"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275077559462254	0.0508445363667701	0.0356773526370217	0	0.0361944157187177	0.0180972078593588	0.0284384694932782	0.00206825232678387	0.0298173043778008	0.0062047569803516	0.00706652878317821	0.00413650465356774	0.00206825232678387	0.00172354360565322	0	0.00172354360565322	0	0.000861771802826612	0	0	0	0
"Clethrionomys_centralis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139246323529412	0.0349264705882353	0.0845588235294118	0	0.0546875	0.0946691176470588	0.0197610294117647	0.0101102941176471	0.0147058823529412	0.0248161764705882	0.0101102941176471	0.00505514705882353	0	0.000919117647058824	0	0	0.00505514705882353	0.00137867647058824	0	0	0	0
"Spermophilus_undulatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0801393728222996	0	0.351045296167247	0	0	0.0400696864111498	0	0	0.00174216027874564	0.00174216027874564	0.014808362369338	0	0.0104529616724739	0	0	0	0	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0429553264604811	0.0189003436426117	0.013745704467354	0	0.00859106529209622	0.013745704467354	0.0532646048109966	0.271477663230241	0.0240549828178694	0.0343642611683849	0.00859106529209622	0.00515463917525773	0	0	0	0.00515463917525773	0	0	0	0	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046875	0.01171875	0.01171875	0	0	0.01953125	0.02734375	0.2890625	0.03125	0.04296875	0.01953125	0	0	0	0	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0588235294117647	0.0196078431372549	0	0	0	0	0	0	0	0.107843137254902	0	0	0.294117647058824	0	0	0	0	0	0	0	0.0196078431372549	0
"Sicista_tianshanica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0869565217391304	0.0326086956521739	0.0434782608695652	0	0	0.0326086956521739	0.0326086956521739	0.0217391304347826	0.0652173913043478	0.0978260869565217	0.0869565217391304	0	0	0	0	0	0	0	0	0	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0.0333333333333333	0	0.0333333333333333	0	0.0666666666666667	0	0	0.0222222222222222	0	0	0	0	0.255555555555556	0	0	0	0	0.0222222222222222	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241935483870968	0.032258064516129	0.0645161290322581	0	0.032258064516129	0.0645161290322581	0	0	0.0645161290322581	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211538461538462	0	0	0	0	0	0	0	0	0.134615384615385	0	0	0.115384615384615	0	0	0	0	0	0	0	0	0.0384615384615385
