"Microtus_oeconomus"	"Sorex_arcticus"	"Clethrionomys_rutilus"	"Sorex_caecutiens"	"Sorex_roboratus"	"Neomys_fodiens"	"Lemmus_sibiricus"	"Clethrionomys_rufocanus"	"Arvicola_terrestris"	"Microtus_middendorffi"	"Sorex_minutus"	"Corrodopsylla_birulai"	"Peromyscopsylla_bidentata"	"Megabothris_rectangulatus"	"Amphipsylla_sibirica"	"Amalaraeus_penicilliger"	"Catallagia_dacenkoi"	"Megabothris_calcarifer"	"Catallagia_ioffi"	"Rhadinopsylla_integella"	"Amphalius_runatus"
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0.0860719874804382	0.196400625978091	0.136150234741784	0.0539906103286385	0.00156494522691706	0.0117370892018779	0.0140845070422535	0	0	0
"Sorex_arcticus"	0	0	0	0	0	0	0	0	0	0	0	0.410358565737052	0.0249003984063745	0.0229083665338645	0.0348605577689243	0	0.00199203187250996	0	0	0.00199203187250996	0.00298804780876494
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0.0441640378548896	0.0189274447949527	0.0804416403785489	0.15615141955836	0.17981072555205	0	0.0157728706624606	0.00473186119873817	0	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0.43801652892562	0.00413223140495868	0.012396694214876	0.0371900826446281	0	0.00413223140495868	0	0	0.00413223140495868	0
"Sorex_roboratus"	0	0	0	0	0	0	0	0	0	0	0	0.456989247311828	0	0.00537634408602151	0.0268817204301075	0	0.00537634408602151	0	0	0.00537634408602151	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0.481981981981982	0	0.00900900900900901	0.00900900900900901	0	0	0	0	0	0
"Lemmus_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0.0617977528089888	0	0	0	0.438202247191011	0	0	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0.0855263157894737	0.0986842105263158	0.0855263157894737	0.105263157894737	0.0131578947368421	0.0592105263157895	0	0.0394736842105263	0	0.0131578947368421
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0.0434782608695652	0	0.239130434782609	0.217391304347826	0	0	0	0	0	0
"Microtus_middendorffi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.0515463917525773	0.193064667291471	0.0131208997188379	0.0993439550140581	0.0796626054358013	0.0501405810684161	0.00515463917525773	0.00609184629803187	0.000937207122774133	0	0.000937207122774133	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.411475409836066	0.040983606557377	0.019672131147541	0.00327868852459016	0	0	0	0.0245901639344262	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.308510638297872	0.0407801418439716	0.0904255319148936	0.0106382978723404	0.00354609929078014	0.00354609929078014	0	0.0230496453900709	0.0195035460992908	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.128252788104089	0.0650557620817844	0.184014869888476	0.033457249070632	0.0185873605947955	0.00371747211895911	0	0.0297397769516729	0.0185873605947955	0.0185873605947955	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.00510204081632653	0	0.290816326530612	0	0	0	0.198979591836735	0.00510204081632653	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.25	0.0333333333333333	0	0.0333333333333333	0.0333333333333333	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0.321428571428571	0	0.178571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0	0	0.166666666666667	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0	0.166666666666667	0	0.166666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphalius_runatus"	0	0.3	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
