"Marmota_caudata"	"Cricetulus_migratorius"	"Microtus_juldaschi"	"Alticola_argentatus"	"Oropsylla_silantiewi"	"Citellophilus_lebedewi"	"Amphipsylla_anceps"	"Callopsylla_caspia"	"Rhadinopsylla_li"	"Neopsylla_meridiana"	"Amalaraeus_penicilliger"	"Amphipsylla_primaris"	"Amphipsylla_montana"	"Leptopsylla_nana"	"Neopsylla_pleskei"	"Amphipsylla_phaiomydis"	"Paraneopsylla_ioffi"	"Rhadinopsylla_dahurica"	"Pectinoctenus_pamirensis"	"Neopsylla_teratura"	"Frontopsylla_elata"	"Frontopsylla_protera"	"Paradoxopsyllus_naryni"
"Marmota_caudata"	0	0	0	0	0.382152493689616	0.117277395769867	2.61119331534511e-05	3.04639220123596e-05	0.000504830707633388	0	0	0	0	0	0	0	8.70397771781704e-06	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0.158756137479542	0.072013093289689	0.00327332242225859	0.085924713584288	0.00654664484451719	0.0490998363338789	0.0572831423895254	0.013911620294599	0.0204582651391162	0	0.013911620294599	0.00327332242225859	0.00736497545008183	0.00409165302782324	0	0.0016366612111293	0.00245499181669394
"Microtus_juldaschi"	0	0	0	0	0.0235849056603774	0	0.0471698113207547	0.0424528301886792	0.00471698113207547	0.044811320754717	0.191037735849057	0.0660377358490566	0.00471698113207547	0.0117924528301887	0	0.035377358490566	0	0.0141509433962264	0	0	0.00943396226415094	0.00471698113207547	0
"Alticola_argentatus"	0	0	0	0	0	0	0.0283018867924528	0.216981132075472	0.0283018867924528	0	0.00943396226415094	0	0.0613207547169811	0.0990566037735849	0.0141509433962264	0.0330188679245283	0.00943396226415094	0	0	0	0	0	0
"Oropsylla_silantiewi"	0.499943066009269	0	5.69339907311463e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_lebedewi"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_anceps"	0.0132743362831858	0.429203539823009	0.0442477876106195	0.0132743362831858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0.0220125786163522	0.276729559748428	0.0566037735849057	0.144654088050314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_li"	0.453125	0.015625	0.0078125	0.0234375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_meridiana"	0	0.423387096774194	0.0766129032258065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0	0.043956043956044	0.445054945054945	0.010989010989011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_primaris"	0	0.340909090909091	0.159090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_montana"	0	0.411764705882353	0.0117647058823529	0.0764705882352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_nana"	0	0.197674418604651	0.0581395348837209	0.244186046511628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0	0.446428571428571	0	0.0535714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_phaiomydis"	0	0	0.340909090909091	0.159090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paraneopsylla_ioffi"	0.0476190476190476	0.404761904761905	0	0.0476190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_dahurica"	0	0.2	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pamirensis"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_teratura"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_protera"	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradoxopsyllus_naryni"	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
