"Fuchsia_regia"	"Gaylussacia_brasiliensis"	"Aechmea_cylindrata"	"Nematanthus_australis"	"Vriesea_altodaserrae"	"Aegiphila_obducta"	"Nidularium_inocentii"	"Thalurania_glaucopis"	"Clytolaema_rubricauda"	"Stephanoxis_lalandi"	"Amazilia_versicolor"
"Fuchsia_regia"	0	0	0	0	0	0	0	0.24406528189911	0.25	0.00593471810089021	0
"Gaylussacia_brasiliensis"	0	0	0	0	0	0	0	0	0	0.5	0
"Aechmea_cylindrata"	0	0	0	0	0	0	0	0.156716417910448	0.0186567164179104	0.238805970149254	0.0858208955223881
"Nematanthus_australis"	0	0	0	0	0	0	0	0.419847328244275	0.0381679389312977	0.0419847328244275	0
"Vriesea_altodaserrae"	0	0	0	0	0	0	0	0.277777777777778	0.222222222222222	0	0
"Aegiphila_obducta"	0	0	0	0	0	0	0	0	0.5	0	0
"Nidularium_inocentii"	0	0	0	0	0	0	0	0.5	0	0	0
"Thalurania_glaucopis"	0.337782340862423	0	0.0431211498973306	0.112936344969199	0.00513347022587269	0	0.00102669404517454	0	0	0	0
"Clytolaema_rubricauda"	0.465469613259669	0	0.0069060773480663	0.0138121546961326	0.00552486187845304	0.00828729281767956	0	0	0	0	0
"Stephanoxis_lalandi"	0.0160642570281124	0.333333333333333	0.1285140562249	0.0220883534136546	0	0	0	0	0	0	0
"Amazilia_versicolor"	0	0	0.5	0	0	0	0	0	0	0	0
